,shorthand,region,country,coordinates,product,technology,annual_production_capacity,year,capacity_factor,ppa_allowed
11,Alum,Africa,Cameroon,"3.819955, 10.124405",Aluminium,Carbon Anode + Grid,0.1,1954,0.49,FALSE
12,Alum,Canada,Canada,"46.694846, -71.948122",Aluminium,Carbon Anode + PPA+Grid,0.287,1992,0,FALSE
13,Alum,Canada,Canada,"49.254464, -68.149013",Aluminium,Carbon Anode + PPA+Grid,0.312,1957,0,FALSE
14,Alum,Canada,Canada,"50.158517, -66.440542",Aluminium,Carbon Anode + PPA+Grid,0.622,1992,1.01,FALSE
15,Alum,Canada,Canada,"48.585317, -71.689234",Aluminium,Carbon Anode + Hydro,0.473,2000,1,FALSE
16,Alum,Canada,Canada,"48.430413, -71.165668",Aluminium,Carbon Anode + Hydro,0.174,1926,0.97,FALSE
17,Alum,Canada,Canada,"48.430413, -71.165668",Aluminium,Carbon Anode + Hydro,0.06,1926,0.97,FALSE
18,Alum,Canada,Canada,"48.305907, -70.925449",Aluminium,Carbon Anode + Hydro,0.233,1980,1,FALSE
19,Alum,Canada,Canada,"54.014473, -128.701677",Aluminium,Carbon Anode + Hydro,0.432,1954,0.76,FALSE
20,Alum,Canada,Canada,"48.300538, -71.129035",Aluminium,Carbon Anode + Hydro,0.257,1989,0.97,FALSE
21,Alum,Canada,Canada,"46.380570, -72.383278",Aluminium,Carbon Anode + PPA+Grid,0.462,1986,0.87,FALSE
