region,year,value
China,2020,0.0
Rest of Asia,2020,253.33333333333334
North America,2020,380.0
Russia,2020,0.0
Europe,2020,0.0
India,2020,0.0
Middle East,2020,0.0
Africa,2020,0.0
Latin America,2020,0.0
Oceania,2020,126.66666666666667
China,2021,400.0
Rest of Asia,2021,0.0
North America,2021,0.0
Russia,2021,0.0
Europe,2021,0.0
India,2021,0.0
Middle East,2021,0.0
Africa,2021,0.0
Latin America,2021,0.0
Oceania,2021,0.0
China,2022,120.0
Rest of Asia,2022,350.6666666666667
North America,2022,526.0
Russia,2022,0.0
Europe,2022,0.0
India,2022,0.0
Middle East,2022,0.0
Africa,2022,0.0
Latin America,2022,0.0
Oceania,2022,175.33333333333334
China,2023,0.0
Rest of Asia,2023,1506.6666666666667
North America,2023,1500.0
Russia,2023,0.0
Europe,2023,0.0
India,2023,0.0
Middle East,2023,0.0
Africa,2023,0.0
Latin America,2023,0.0
Oceania,2023,753.3333333333334
China,2024,0.0
Rest of Asia,2024,2786.6666666666665
North America,2024,3780.0
Russia,2024,0.0
Europe,2024,5336.0
India,2024,0.0
Middle East,2024,0.0
Africa,2024,0.0
Latin America,2024,0.0
Oceania,2024,1393.3333333333333
China,2025,0.0
Rest of Asia,2025,4361.333333333334
North America,2025,6542.000000000001
Russia,2025,0.0
Europe,2025,9840.000000000002
India,2025,0.0
Middle East,2025,2920.0
Africa,2025,0.0
Latin America,2025,1200.0000000000002
Oceania,2025,2180.666666666667
China,2026,1600.0
Rest of Asia,2026,6013.333333333335
North America,2026,6220.000000000001
Russia,2026,0.0
Europe,2026,9000.0
India,2026,0.0
Middle East,2026,0.0
Africa,2026,0.0
Latin America,2026,0.0
Oceania,2026,3006.666666666667
China,2027,4120.0
Rest of Asia,2027,10297.333333333334
North America,2027,43852.00000000001
Russia,2027,668.0
Europe,2027,106524.0
India,2027,1878.0
Middle East,2027,2842.0000000000005
Africa,2027,870.0
Latin America,2027,2178.0000000000005
Oceania,2027,5148.666666666667
China,2028,6628.0
Rest of Asia,2028,14998.666666666668
North America,2028,69124.00000000001
Russia,2028,1098.0
Europe,2028,145706.0
India,2028,3090.0
Middle East,2028,4704.0
Africa,2028,1432.0000000000002
Latin America,2028,3614.0000000000005
Oceania,2028,7499.333333333332
China,2029,9884.0
Rest of Asia,2029,19986.666666666668
North America,2029,105015.99999999999
Russia,2029,1740.0
Europe,2029,207230.00000000003
India,2029,4892.0
Middle East,2029,7444.0
Africa,2029,2266.0
Latin America,2029,5714.0
Oceania,2029,9993.333333333332
China,2030,368032.00000000006
Rest of Asia,2030,47276.00000000001
North America,2030,32440.000000000004
