uuid,product,region,technology,technology_classification,annual_production_capacity,annual_production_volume,cuf,year_commissioned,asset_lifetime,retrofit_status,rebuild_status,greenfield_status,stay_same_status
e4d8b35d5a784fc3886eb2bb4047bf6b,Aluminium,China - South,Carbon Anode + Grid,transition,0.22,0.21648,0.984,2002,0,False,False,False,False
e5f86f825720431da8e1bf0f207c0932,Aluminium,China - South,Carbon Anode + Grid,transition,0.5,0.457,0.914,2009,0,False,False,False,False
ec6521e3cfe64535a7a432cc3970dbdb,Aluminium,China - South,Carbon Anode + Grid,transition,0.075,0.036524999999999995,0.487,2011,0,False,False,False,False
1562424b99f0408d9ec63ff02fff354f,Aluminium,China - South,Carbon Anode + Coal,initial,0.3,0.29819999999999997,0.994,2016,30,False,False,False,False
02c3d645fd8a4d2eb689f76fb6f5f3be,Aluminium,China - South,Carbon Anode + Grid,transition,0.25,0.269,1.076,2018,0,False,False,False,False
bc94c1cdf17244608fb81d292e350e2b,Aluminium,China - South,Carbon Anode + Grid,transition,0.13,0.1274,0.98,2018,0,False,False,False,False
a050ffb71ebc4f87b789a472afbe92df,Aluminium,China - South,Carbon Anode + Grid,transition,0.2,0.19920000000000002,0.996,2016,0,False,False,False,False
58a3269ba9954693b5037bccc8334297,Aluminium,China - South,Carbon Anode + Coal,initial,0.4,0.38480000000000003,0.962,2017,30,False,False,False,False
8d0b0adf79104ae3b3b8c857996ecbd6,Aluminium,China - North,Carbon Anode + Coal,initial,0.42,0.30282,0.721,2006,30,False,False,False,False
87148a0a7e144d5fad8836e0896e4ff9,Aluminium,China - North,Carbon Anode + Coal,initial,0.22,0.12583999999999998,0.572,1996,30,False,False,False,False
c0a9fe1ce4f9429ebb1d1acb377e89d8,Aluminium,China - North,Carbon Anode + Grid,transition,0.1,0.0,0.0,2004,0,False,False,False,False
744e5c8d75374188929d67c0de82af96,Aluminium,China - North,Carbon Anode + Grid,transition,0.06,0.042359999999999995,0.706,2004,0,False,False,False,False
d7d30dd4db4044fbb598f47c4b273485,Aluminium,China - North,Carbon Anode + Grid,transition,0.5,0.288,0.576,2018,0,False,False,False,False
4f290badb1b14308ba3a849bf7ab1436,Aluminium,China - North West,Carbon Anode + Grid,transition,0.54,0.1566,0.29,1974,0,False,False,False,False
43fd67d0149248dc8da45e738ede5d19,Aluminium,China - North West,Carbon Anode + Coal,initial,0.42,0.40152,0.956,1958,30,False,False,False,False
dffe856ca2a24a35a5dfe8f7a9742b05,Aluminium,China - North West,Carbon Anode + Grid,transition,0.39,0.34125,0.875,1967,0,False,False,False,False
16cd8e67848c4a9b87fed6e03d01de96,Aluminium,China - North West,Carbon Anode + Coal,initial,1.35,1.3081500000000001,0.969,2011,30,False,False,False,False
747c867ced524342b297d07585cb75b3,Aluminium,China - North West,Carbon Anode + Grid,transition,0.1,0.11170000000000001,1.117,1997,0,False,False,False,False
e511e8f3b49646838398810cb2cb1386,Aluminium,China - North West,Carbon Anode + Grid,transition,0.07,0.0,0.0,2018,0,False,False,False,False
53a0a74823204a3890f9ac712324aecd,Aluminium,China - North,Carbon Anode + Coal,initial,0.56,0.5644800000000001,1.008,2003,30,False,False,False,False
a05c557a2ba440c3ae5845fc4552df2b,Aluminium,China - North,Carbon Anode + Coal,initial,0.88,0.86064,0.978,2003,30,False,False,False,False
e34f780206544e98bcbb7a160eaf3cb3,Aluminium,China - North,Carbon Anode + Coal,initial,0.5,0.44,0.88,2018,30,False,False,False,False
33b6d65c7d094648b902f0eb3c8df7c2,Aluminium,China - North,Carbon Anode + Coal,initial,0.86,0.9116000000000001,1.06,2004,30,False,False,False,False
9483b83a160f4a76b7a1686374609c07,Aluminium,China - North,Carbon Anode + Coal,initial,0.287,0.28470399999999996,0.992,2014,30,False,False,False,False
276d353178264f488c2c44ac24298957,Aluminium,China - North,Carbon Anode + Coal,initial,1.0003,1.0003,1.0,2013,30,False,False,False,False
66c8666e4c564a438b5cf98ea840efca,Aluminium,China - North,Carbon Anode + Coal,initial,0.75,0.73425,0.979,2017,30,False,False,False,False
76125a760fe845f783291418d5227159,Aluminium,China - North,Carbon Anode + Coal,initial,0.77,0.46662,0.606,2018,30,False,False,False,False
1a41c0997960457a865866ddc10c01fc,Aluminium,China - North,Carbon Anode + Grid,transition,0.5,0.499,0.998,2018,0,False,False,False,False
7779879e440e4be68e2e942b11f41951,Aluminium,China - Central,Carbon Anode + PPA+Grid,transition,0.13,0.12909,0.993,2003,0,False,False,False,False
d074f34dded945c3a0b1e5601caf33eb,Aluminium,China - Central,Carbon Anode + PPA+Grid,transition,0.13,0.12961,0.997,2003,0,False,False,False,False
430b1aed45cf4e8e843542cb80939a6c,Aluminium,China - Central,Carbon Anode + PPA+Grid,transition,0.12,0.09935999999999999,0.828,2000,0,False,False,False,False
b372f2bf3db74e2bbdae3e71e632f567,Aluminium,China - Central,Carbon Anode + PPA+Grid,transition,0.2,0.19840000000000002,0.992,1991,0,False,False,False,False
8f643b80d84f4edcadf2503f370db8aa,Aluminium,China - Central,Carbon Anode + PPA+Grid,transition,0.42,0.24149999999999996,0.575,2019,0,False,False,False,False
7105450877a041d084a444ed22dc34b3,Aluminium,China - North West,Carbon Anode + Coal,initial,0.63,0.59976,0.952,2012,30,False,False,False,False
c881c4fe38244bdbbf81cfc56952b748,Aluminium,China - North West,Carbon Anode + Coal,initial,0.3,0.3066,1.022,2018,30,False,False,False,False
7fb7e59ab0534cc68771ed660d55ddc0,Aluminium,China - North,Carbon Anode + PPA+Grid,transition,0.06,0.05502,0.917,1970,0,False,False,False,False
b81c3b9661ad4c4184442050aedf23c6,Aluminium,China - North,Carbon Anode + Coal,initial,0.066,0.035640000000000005,0.54,1997,30,False,False,False,False
f865708a204547dcb21977c7a07f0606,Aluminium,China - North East,Carbon Anode + Grid,transition,0.8,0.3512,0.439,2015,0,False,False,False,False
80290e1696474086ba8e27459515d5fa,Aluminium,China - North West,Carbon Anode + Coal,initial,1.9,1.805,0.95,2010,30,False,False,False,False
77d5f5997feb4d459521b2882ec2c090,Aluminium,China - North West,Carbon Anode + Coal,initial,1.2,1.1987999999999999,0.999,2011,30,False,False,False,False
b23a9d4d5df44eca9b222191ad38bc11,Aluminium,China - North West,Carbon Anode + Coal,initial,0.245,0.23838499999999999,0.973,2022,30,False,False,False,False
d51af90f8f1a42e29bae70e24cd342a9,Aluminium,China - North West,Carbon Anode + Grid,transition,0.18,0.18036,1.002,1970,0,False,False,False,False
ead16e377c504b0a8c5401e07787c78f,Aluminium,China - North West,Carbon Anode + Coal,initial,0.8,0.8752000000000001,1.094,2012,30,False,False,False,False
cbba5a0a46c24b218daf2f369552981f,Aluminium,China - North West,Carbon Anode + Coal,initial,0.82,0.8060599999999999,0.983,2012,30,False,False,False,False
f0be2e094b4d459b91e31ab0084aaac2,Aluminium,China - North West,Carbon Anode + Coal,initial,0.84,0.75936,0.904,2012,30,False,False,False,False
69214992e2ea4d4e836860447ad22eb4,Aluminium,China - North West,Carbon Anode + Coal,initial,0.45,0.44730000000000003,0.994,2013,30,False,False,False,False
a0988e0e4d0b4a20a6611af36d2c1fb5,Aluminium,China - East,Carbon Anode + Grid,transition,0.075,0.0705,0.94,1960,0,False,False,False,False
a8aeb0bdf7a34bfc9246c668a8a0e0be,Aluminium,China - Central,Carbon Anode + Grid,transition,0.1,0.0953,0.953,2013,0,False,False,False,False
957551237e6e42689f6bf69b9289a37f,Aluminium,China - Central,Carbon Anode + Grid,transition,0.08,0.043680000000000004,0.546,1996,0,False,False,False,False
29f66f0db6d34f9593a6fd034d99ffad,Aluminium,China - Central,Carbon Anode + Coal,initial,0.34,0.32062,0.943,2013,30,False,False,False,False
