,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Natural Gas SMR + ammonia synthesis,257.363431054,249.73803602299998,221.862640992,206.912640992,217.512640992,243.06264099199998,218.761060868,223.808690682,212.281715527,200.729345341,187.276975155,164.35,143.45,117.8,95.94999999999999,68.39999999999999,46.55,33.25,23.75,13.299999999999999,6.6499999999999995,3.8,3.8,2.8499999999999996,1.9,0.95,0.0,0.0,0.0,0.0,0.0
1,Coal Gasification + ammonia synthesis,77.89999999999999,76.95,57.8,56.849999999999994,55.9,54.949999999999996,45.0,65.5,67.45,65.55,63.65,58.9,55.099999999999994,51.3,47.5,43.699999999999996,38.949999999999996,30.4,21.849999999999998,13.299999999999999,6.6499999999999995,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,0.0,0.0,13.299999999999999,23.75,29.45,36.1,34.199999999999996,33.25,33.25,34.199999999999996,34.199999999999996,34.199999999999996,34.199999999999996,34.199999999999996,34.199999999999996,30.4,26.599999999999998,19.95,13.299999999999999,8.549999999999999,5.699999999999999,4.75,1.9,1.9,0.0,0.0,0.0,0.0,0.95,1.9,0.95
7,Electrolyser + SMR + ammonia synthesis,0.0,0.0,2.8499999999999996,3.8,3.8,3.8,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Electrolyser + Coal Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Electrolyser - grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
15,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.95,0.95,0.95,1.9,2.8499999999999996,3.8,3.8,3.8,3.8,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
16,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.175395031,4.7753950309999995,8.600790062,13.376185093,17.201580124,37.151580124,54.251580124,59.951580123999996,84.65158012399999,102.70158012399999,125.501580124,151.151580124,172.051580124,192.951580124,218.60158012399998,247.10158012399998,274.444129937,277.751580124,282.211298157,284.49107444,287.701580124,294.251580124,310.751580124,316.201580124
17,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.175395031,6.700790061999999,9.576185093,14.351580124,19.126975155,44.776975154999995,58.076975155,100.826975155,124.576975155,152.126975155,174.92697515499998,197.726975155,220.526975155,249.976975155,273.726975155,295.576975155,279.976975155,289.176975155,294.887997868,295.37451539,300.426975155,308.176975155,318.37697515499997,313.62697515499997
2,Coal Gasification+ CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
