product,scenario,region,year,value
Ammonia,NZ+Circular,Russia,2023,5.9
Ammonia,NZ+Circular,Europe,2023,34.5
Ammonia,NZ+Circular,China,2023,19.7
Ammonia,NZ+Circular,India,2023,26.1
Ammonia,NZ+Circular,Rest of Asia,2023,57.4
Ammonia,NZ+Circular,Oceania,2023,3.0
Ammonium nitrate,NZ+Circular,Global,2023,22.1029
Ammonium nitrate,NZ+Circular,North America,2023,2.1459
Ammonium nitrate,NZ+Circular,Latin America,2023,1.3109
Ammonium nitrate,NZ+Circular,Africa,2023,1.2123
Ammonium nitrate,NZ+Circular,Middle East,2023,2.557
Ammonium nitrate,NZ+Circular,Russia,2023,1.5891
Ammonium nitrate,NZ+Circular,Europe,2023,1.9862
Ammonium nitrate,NZ+Circular,China,2023,4.7966
Ammonium nitrate,NZ+Circular,India,2023,2.1306
Ammonium nitrate,NZ+Circular,Rest of Asia,2023,4.0891
Ammonium nitrate,NZ+Circular,Oceania,2023,0.2854
Urea,NZ+Circular,Global,2023,106.9342
Urea,NZ+Circular,North America,2023,10.38168631
Urea,NZ+Circular,Latin America,2023,6.341931649
Urea,NZ+Circular,Africa,2023,5.864904386
Urea,NZ+Circular,Middle East,2023,12.37065369
Urea,NZ+Circular,Russia,2023,7.688028544
Urea,NZ+Circular,Europe,2023,9.609078794
Urea,NZ+Circular,China,2023,23.20601598
Urea,NZ+Circular,India,2023,10.307808
Urea,NZ+Circular,Rest of Asia,2023,19.78332551
Urea,NZ+Circular,Oceania,2023,1.380798226
Ammonia,NZ+Circular,Global,2024,208.3
Ammonia,NZ+Circular,North America,2024,21.4
Ammonia,NZ+Circular,Latin America,2024,15.5
Ammonia,NZ+Circular,Africa,2024,12.6
Ammonia,NZ+Circular,Middle East,2024,8.1
Ammonia,NZ+Circular,Russia,2024,5.9
Ammonia,NZ+Circular,Europe,2024,36.4
Ammonia,NZ+Circular,China,2024,19.7
Ammonia,NZ+Circular,India,2024,26.7
Ammonia,NZ+Circular,Rest of Asia,2024,58.9
Ammonia,NZ+Circular,Oceania,2024,3.0
Ammonium nitrate,NZ+Circular,Global,2024,22.4738
Ammonium nitrate,NZ+Circular,North America,2024,2.1674
Ammonium nitrate,NZ+Circular,Latin America,2024,1.3652
Ammonium nitrate,NZ+Circular,Africa,2024,1.2603
Ammonium nitrate,NZ+Circular,Middle East,2024,2.6525
Ammonium nitrate,NZ+Circular,Russia,2024,1.5877
