variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
emissions_ch4_scope1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_ch4_scope2,20.41283957170766,14.62857691218683,17.598111607244334,14.634012236112278,13.372691157321176,13.178412091449212,11.56461998512067,13.085627863507904,11.508253698802248,10.033290106947147,8.643185179108402,7.049113369711463,5.555331540338649,4.167501042403188,2.2000666149761625,1.3509493283329048,0.573751450078669,0.20684596689545434,0.007967269222296939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_ch4_scope3_downstream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_ch4_scope3_upstream,1.5866181966458395,1.2722198738719948,1.3994236172555305,1.4148541904167289,1.4874099337617237,1.6988843479451603,1.5992941050930576,1.691331544105764,1.6530168539022616,1.5529475368394436,1.4231760860082467,1.3178388816701463,1.2105708492930078,1.1125042316973583,1.0296507135980264,0.8966833867692089,0.8284071050340677,0.7797281265001331,0.7435873931746552,0.7465341430461964,0.7500763812153171,0.751935576345006,0.7601210854312924,0.7461776823728586,0.750839722422894,0.750128489125499,0.7545321354324693,0.7739745891249816,0.7768554792323453,0.7788600365524795,0.7594175828599671
emissions_co2_scope1,193.0602954079898,147.4648909259225,169.565885466476,158.53399192103018,161.52619886832863,178.55090651090086,160.71644212245184,172.57313161310927,157.45398256314752,141.22269309575438,123.45189386038554,102.89707103748299,80.89919046203896,57.33854661537229,35.3629642633337,23.26382013212813,14.131883622764155,8.287349606964144,3.5818021061236496,3.448787103406195,3.452724919628835,3.4566627358514754,3.460600552074115,3.4567473461567553,3.4567473461567553,3.4597386042657017,3.4696298983483413,3.483374398348342,3.483374398348342,3.486403557189661,3.472659057189661
emissions_co2_scope1_captured,0.0,2.468121835245915,3.421020446745915,7.1130113220112205,8.811364690591828,10.82735092967244,18.600631390783654,24.63693476096474,33.76761275350561,38.467125769458924,40.885547135666314,41.23995888566631,42.693046231670074,45.183201811670074,45.94957932965516,41.29274584366268,39.696864690784174,40.471211643593755,40.020982043594564,40.073628186312014,40.109068532315774,40.144508878319535,40.179949224323295,40.00782537106705,40.00782537106705,40.060471513784506,40.14949316052827,40.41063866052827,40.41063866052827,40.468192678513354,40.20704717851335
emissions_co2_scope2,20.41283957170766,14.62857691218683,17.598111607244334,14.634012236112278,13.372691157321176,13.178412091449212,11.56461998512067,13.085627863507904,11.508253698802248,10.033290106947147,8.643185179108402,7.049113369711463,5.555331540338649,4.167501042403188,2.2000666149761625,1.3509493283329048,0.573751450078669,0.20684596689545434,0.007967269222296939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_co2_scope3_downstream,27.232076742444445,25.244076822555556,27.684298964666667,28.14874340911111,29.554298964666668,30.01874340911111,30.483187853555552,30.947632298000002,31.17985452022222,31.644298964666664,32.108743409111106,32.34096563133333,32.80541007577778,33.037632298,33.502076742444444,33.037632298,33.26985452022222,33.502076742444444,33.96652118688889,34.19874340911111,34.43096563133333,34.663187853555556,34.895410075777775,32.73207674244444,32.87874340911111,33.110965631333336,33.257632298,35.82429896466667,35.79985452022222,36.28874340911111,33.89318785355555
emissions_co2_scope3_upstream,5.64185733952657,23.54040593294842,24.401677466042617,25.75005313554262,27.862931615542607,31.548969585542594,30.36964393945426,30.685624331541277,30.169618955655647,28.99610694177585,27.00636084306287,25.944241216833404,24.729282394033408,22.99899799403342,22.17481635405105,20.14003478766868,19.27784372306944,18.22036119964634,16.95429618975814,16.948516199758142,16.97607270155814,17.050040153758143,17.09210007755814,16.56111519755814,16.563542497558142,16.530954037558143,16.562201247558143,17.309563247558142,17.330005347558142,17.40975598555814,16.662393985558143
emissions_n2o_scope1,0.0,0.007216673225640982,0.007216673225640982,0.008660007870769178,0.008660007870769178,0.008660007870769178,0.010103342515897376,0.010103342515897376,0.010103342515897376,0.011546677161025573,0.011546677161025573,0.011546677161025573,0.011546677161025573,0.01299001180615377,0.020206685031794753,0.03031002754769213,0.03175336219282033,0.03175336219282033,0.03031002754769213,0.03031002754769213,0.03175336219282033,0.03175336219282033,0.03175336219282033,0.031221607323562568,0.03266494196869076,0.03266494196869076,0.03266494196869076,0.03319669683794852,0.03319669683794852,0.03464003148307672,0.03410827661381896
