product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity
Ammonia,Natural Gas SMR + CCS + ammonia synthesis,Africa,30,0.06,End-state,8,2025
Ammonia,Natural Gas SMR + CCS + ammonia synthesis,Latin America,30,0.06,End-state,8,2025
Ammonia,Natural Gas SMR + CCS + ammonia synthesis,Oceania,30,0.06,End-state,8,2025
Ammonia,Electrolyser + SMR + ammonia synthesis,China,30,0.06,Transition,8,2020
Ammonia,Electrolyser + SMR + ammonia synthesis,Rest of Asia,30,0.06,Transition,8,2020
Ammonia,Electrolyser + SMR + ammonia synthesis,North America,30,0.06,Transition,8,2020
Ammonia,Electrolyser + SMR + ammonia synthesis,Russia,30,0.06,Transition,8,2020
Ammonia,Electrolyser + SMR + ammonia synthesis,Europe,30,0.06,Transition,8,2020
Ammonia,Electrolyser + SMR + ammonia synthesis,India,30,0.06,Transition,8,2020
Ammonia,Electrolyser + SMR + ammonia synthesis,Middle East,30,0.06,Transition,8,2020
Ammonia,Electrolyser + SMR + ammonia synthesis,Africa,30,0.06,Transition,8,2020
Ammonia,Electrolyser + SMR + ammonia synthesis,Latin America,30,0.06,Transition,8,2020
Ammonia,Electrolyser + SMR + ammonia synthesis,Oceania,30,0.06,Transition,8,2020
Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,China,30,0.06,Transition,8,2020
Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,Rest of Asia,30,0.06,Transition,8,2020
Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,North America,30,0.06,Transition,8,2020
Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,Russia,30,0.06,Transition,8,2020
Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,Europe,30,0.06,Transition,8,2020
Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,India,30,0.06,Transition,8,2020
Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,Middle East,30,0.06,Transition,8,2020
Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,Africa,30,0.06,Transition,8,2020
Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,Latin America,30,0.06,Transition,8,2020
Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,Oceania,30,0.06,Transition,8,2020
Ammonia,GHR + CCS + ammonia synthesis,China,30,0.06,End-state,7,2025
Ammonia,GHR + CCS + ammonia synthesis,Rest of Asia,30,0.06,End-state,7,2025
Ammonia,GHR + CCS + ammonia synthesis,North America,30,0.06,End-state,7,2025
Ammonia,GHR + CCS + ammonia synthesis,Russia,30,0.06,End-state,7,2025
Ammonia,GHR + CCS + ammonia synthesis,Europe,30,0.06,End-state,7,2025
Ammonia,GHR + CCS + ammonia synthesis,India,30,0.06,End-state,7,2025
Ammonia,GHR + CCS + ammonia synthesis,Middle East,30,0.06,End-state,7,2025
Ammonia,GHR + CCS + ammonia synthesis,Africa,30,0.06,End-state,7,2025
Ammonia,GHR + CCS + ammonia synthesis,Latin America,30,0.06,End-state,7,2025
Ammonia,GHR + CCS + ammonia synthesis,Oceania,30,0.06,End-state,7,2025
Ammonia,Electrolyser - grid PPA + ammonia synthesis,China,30,0.06,End-state,8,2025
Ammonia,Electrolyser - grid PPA + ammonia synthesis,Rest of Asia,30,0.06,End-state,8,2025
Ammonia,Electrolyser - grid PPA + ammonia synthesis,North America,30,0.06,End-state,8,2025
Ammonia,Electrolyser - grid PPA + ammonia synthesis,Russia,30,0.06,End-state,8,2025
Ammonia,Electrolyser - grid PPA + ammonia synthesis,Europe,30,0.06,End-state,8,2025
Ammonia,Electrolyser - grid PPA + ammonia synthesis,India,30,0.06,End-state,8,2025
Ammonia,Electrolyser - grid PPA + ammonia synthesis,Middle East,30,0.06,End-state,8,2025
Ammonia,Electrolyser - grid PPA + ammonia synthesis,Africa,30,0.06,End-state,8,2025
Ammonia,Electrolyser - grid PPA + ammonia synthesis,Latin America,30,0.06,End-state,8,2025
Ammonia,Electrolyser - grid PPA + ammonia synthesis,Oceania,30,0.06,End-state,8,2025
Ammonia,Biomass Digestion + ammonia synthesis,China,30,0.06,End-state,3,2030
Ammonia,Biomass Digestion + ammonia synthesis,Rest of Asia,30,0.06,End-state,3,2030
Ammonia,Biomass Digestion + ammonia synthesis,North America,30,0.06,End-state,3,2030
Ammonia,Biomass Digestion + ammonia synthesis,Russia,30,0.06,End-state,3,2030
Ammonia,Biomass Digestion + ammonia synthesis,Europe,30,0.06,End-state,3,2030
Ammonia,Biomass Digestion + ammonia synthesis,India,30,0.06,End-state,3,2030
Ammonia,Biomass Digestion + ammonia synthesis,Middle East,30,0.06,End-state,3,2030
Ammonia,Biomass Digestion + ammonia synthesis,Africa,30,0.06,End-state,3,2030
Ammonia,Biomass Digestion + ammonia synthesis,Latin America,30,0.06,End-state,3,2030
Ammonia,Biomass Digestion + ammonia synthesis,Oceania,30,0.06,End-state,3,2030
Ammonia,Biomass Gasification + ammonia synthesis,China,30,0.06,End-state,3,2030
Ammonia,Biomass Gasification + ammonia synthesis,Rest of Asia,30,0.06,End-state,3,2030
Ammonia,Biomass Gasification + ammonia synthesis,North America,30,0.06,End-state,3,2030
Ammonia,Biomass Gasification + ammonia synthesis,Russia,30,0.06,End-state,3,2030
Ammonia,Biomass Gasification + ammonia synthesis,Europe,30,0.06,End-state,3,2030
Ammonia,Biomass Gasification + ammonia synthesis,India,30,0.06,End-state,3,2030
Ammonia,Biomass Gasification + ammonia synthesis,Middle East,30,0.06,End-state,3,2030
Ammonia,Biomass Gasification + ammonia synthesis,Africa,30,0.06,End-state,3,2030
