product,scenario,region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonium nitrate,NZ+Circular,China,3.259369095,3.290259916,3.436226149,3.747110025,3.666181422,3.810914769,3.60467035,3.478691534,3.486716764,3.627674124,3.670767487,3.671178354,3.67158922,3.672000087,3.672410953,3.672821819,3.673735457,3.674649094,3.675562731,3.676476369,3.677390006,3.678780323,3.680170641,3.681560959,3.682951276,3.684341594,3.684490291,3.684638988,3.684787685,3.684936382,3.685085079
Ammonium nitrate,NZ+Circular,India,1.383100326,1.399607578,1.464427134,1.599158623,1.567553688,1.631634017,1.546405399,1.495048557,1.500435009,1.562135271,1.582223515,1.607699183,1.629534888,1.65085459,1.671640377,1.691883497,1.70874975,1.724025997,1.738207616,1.751489246,1.76396579,1.776374382,1.788153742,1.799313161,1.809845605,1.819757958,1.828416753,1.836461917,1.84388937,1.85070801,1.856918734
Ammonium nitrate,NZ+Circular,Rest of Asia,2.425156805,2.473979199,2.566857605,2.776011841,2.746366449,2.862456349,2.780282719,2.739697135,2.774941697,2.908507117,2.949489854,3.052063947,3.131140066,3.207848566,3.282155882,3.354047892,3.418633048,3.478979166,3.535966893,3.58993831,3.641058364,3.690730547,3.737871847,3.782513879,3.824632319,3.864254541,3.8999895,3.933248388,3.964022546,3.992336116,4.018198062
Ammonium nitrate,NZ+Circular,Oceania,0.175776755,0.178393865,0.187074653,0.204632541,0.201042557,0.20960449,0.199129426,0.192928233,0.193918676,0.202050345,0.204879886,0.21198437,0.218091373,0.224073259,0.229924465,0.23564195,0.240348169,0.244594476,0.248524524,0.252195029,0.255633824,0.259027026,0.262242015,0.265281582,0.268143818,0.27083077,0.273245671,0.275487368,0.277554717,0.279450441,0.281174813
Urea,NZ+Circular,Global, 74.8 , 77.4 , 79.0 , 82.7 , 81.4 , 83.8 , 83.3 , 83.5 , 85.0 , 87.0 , 88.2 , 89.7 , 91.3 , 92.8 , 94.3 , 95.8 , 97.3 , 98.7 , 100.0 , 101.4 , 102.6 , 103.9 , 105.1 , 106.3 , 107.4 , 108.5 , 109.5 , 110.5 , 111.4 , 112.3 , 113.1 
Urea,NZ+Circular,North America, 6.4 , 6.7 , 6.6 , 6.8 , 6.8 , 7.0 , 7.3 , 7.7 , 8.3 , 8.5 , 8.6 , 8.8 , 8.9 , 9.0 , 9.1 , 9.1 , 9.2 , 9.3 , 9.4 , 9.4 , 9.5 , 9.6 , 9.6 , 9.7 , 9.8 , 9.8 , 9.9 , 9.9 , 9.9 , 10.0 , 10.0 
Urea,NZ+Circular,Latin America, 5.3 , 5.4 , 5.2 , 5.0 , 5.0 , 5.0 , 5.3 , 5.3 , 5.1 , 5.0 , 5.0 , 5.1 , 5.4 , 5.6 , 5.8 , 6.0 , 6.3 , 6.5 , 6.7 , 6.9 , 7.1 , 7.3 , 7.5 , 7.7 , 7.9 , 8.0 , 8.2 , 8.4 , 8.6 , 8.7 , 8.9 
Urea,NZ+Circular,Africa, 3.1 , 2.9 , 2.8 , 2.6 , 2.7 , 2.7 , 3.6 , 4.0 , 4.8 , 4.6 , 4.7 , 4.8 , 5.0 , 5.2 , 5.4 , 5.6 , 5.8 , 5.9 , 6.1 , 6.3 , 6.5 , 6.7 , 6.8 , 7.0 , 7.2 , 7.3 , 7.5 , 7.6 , 7.8 , 7.9 , 8.1 
Urea,NZ+Circular,Middle East, 7.8 , 8.5 , 8.7 , 8.9 , 8.9 , 9.0 , 9.4 , 9.9 , 10.1 , 9.8 , 9.9 , 10.1 , 10.5 , 10.9 , 11.3 , 11.7 , 12.0 , 12.4 , 12.8 , 13.1 , 13.5 , 13.8 , 14.2 , 14.5 , 14.8 , 15.2 , 15.5 , 15.8 , 16.1 , 16.4 , 16.6 
Urea,NZ+Circular,Russia, 4.6 , 4.8 , 4.8 , 5.0 , 5.0 , 5.3 , 5.5 , 5.8 , 6.0 , 6.4 , 6.5 , 6.6 , 6.6 , 6.6 , 6.6 , 6.6 , 6.7 , 6.7 , 6.8 , 6.9 , 6.9 , 7.0 , 7.1 , 7.1 , 7.2 , 7.2 , 7.3 , 7.3 , 7.3 , 7.4 , 7.4 
Urea,NZ+Circular,Europe, 8.5 , 9.6 , 9.6 , 9.1 , 8.7 , 8.6 , 8.1 , 8.1 , 7.8 , 7.9 , 8.0 , 8.2 , 8.2 , 8.3 , 8.3 , 8.4 , 8.4 , 8.5 , 8.5 , 8.6 , 8.6 , 8.6 , 8.7 , 8.7 , 8.7 , 8.8 , 8.8 , 8.8 , 8.8 , 8.8 , 8.8 
Urea,NZ+Circular,China, 17.6 , 17.8 , 18.6 , 20.4 , 20.0 , 20.8 , 19.6 , 18.9 , 18.9 , 19.7 , 19.9 , 19.9 , 19.9 , 19.9 , 19.9 , 19.9 , 19.9 , 19.9 , 20.0 , 20.0 , 20.0 , 20.0 , 20.0 , 20.0 , 20.0 , 20.0 , 20.0 , 20.0 , 20.0 , 20.0 , 20.0 
Urea,NZ+Circular,India, 7.5 , 7.6 , 7.9 , 8.7 , 8.5 , 8.9 , 8.4 , 8.1 , 8.1 , 8.4 , 8.5 , 8.7 , 8.8 , 8.9 , 9.0 , 9.1 , 9.2 , 9.3 , 9.4 , 9.5 , 9.5 , 9.6 , 9.7 , 9.7 , 9.8 , 9.8 , 9.9 , 9.9 , 10.0 , 10.0 , 10.1 
Urea,NZ+Circular,Rest of Asia, 13.0 , 13.3 , 13.8 , 15.0 , 14.8 , 15.4 , 14.9 , 14.7 , 14.8 , 15.6 , 15.8 , 16.4 , 16.8 , 17.2 , 17.6 , 18.0 , 18.4 , 18.7 , 19.0 , 19.3 , 19.6 , 19.9 , 20.2 , 20.4 , 20.6 , 20.9 , 21.1 , 21.3 , 21.4 , 21.6 , 21.7 
Urea,NZ+Circular,Oceania, 0.9 , 1.0 , 1.0 , 1.1 , 1.1 , 1.1 , 1.1 , 1.0 , 1.0 , 1.1 , 1.1 , 1.1 , 1.2 , 1.2 , 1.2 , 1.3 , 1.3 , 1.3 , 1.3 , 1.4 , 1.4 , 1.4 , 1.4 , 1.4 , 1.4 , 1.5 , 1.5 , 1.5 , 1.5 , 1.5 , 1.5 
