product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,annual_production_capacity,capacity_factor
Ammonia,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,India,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,Middle East,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,Africa,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,Latin America,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,Oceania,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,China,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,Rest of Asia,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,North America,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,Russia,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,Europe,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,India,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,Middle East,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,Africa,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,Latin America,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,Oceania,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,China,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,Rest of Asia,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,North America,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,Russia,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,Europe,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,India,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,Middle East,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,Africa,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,Latin America,30,0.06,end-state,8,2025,10,0.95
Ammonia,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,Oceania,30,0.06,end-state,8,2025,10,0.95
