product,driver,region,unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonia,Fertiliser,Global,Mt Ammonia,36.7915207,37.50358006,38.26244689,39.0062794,39.73497223,40.44847675,40.65472932,40.83110098,40.97815413,41.09639135,41.18633201,41.63650925,42.06855811,42.48265794,42.87874319,43.25693593,43.54471381,43.81339485,44.06313749,44.29412022,44.50645345,44.62853402,44.73126786,44.81488872,44.87965869,44.92569982,45.14617046,45.35038951,45.53838227,45.7101479,45.86577796
Ammonia,Fertiliser,North America,Mt Ammonia,3.622593406,3.692712249,3.740454465,3.786916058,3.832041932,3.875838101,3.871437062,3.86488729,3.856238807,3.845515648,3.832785434,3.853986924,3.873757632,3.892072991,3.908983007,3.924447245,3.931988219,3.93806397,3.942706708,3.945940552,3.947783832,3.941934637,3.934668934,3.926057856,3.916086597,3.904821286,3.908953834,3.911856779,3.913543961,3.914029294,3.913322182
Ammonia,Fertiliser,Latin America,Mt Ammonia,2.068641369,2.108679533,2.211623489,2.313339287,2.413823595,2.51308539,2.579896747,2.6432755,2.703264307,2.759904881,2.813226325,2.890210911,2.965434547,3.038894327,3.110577691,3.180475867,3.243188004,3.303845326,3.362463456,3.419063002,3.473612462,3.520451008,3.565071057,3.607448838,3.647595729,3.68551553,3.737215962,3.787144402,3.835319183,3.881706771,3.926299143
Ammonia,Fertiliser,Africa,Mt Ammonia,1.920787892,1.957961547,2.049209136,2.139334587,2.228349711,2.316256276,2.374315984,2.429312936,2.481285539,2.530265194,2.576304783,2.644073456,2.710236448,2.774841909,2.837833372,2.899233974,2.954102191,3.007149123,3.05837188,3.107773139,3.155346077,3.195965092,3.234598965,3.271220141,3.30588529,3.338549871,3.383715846,3.427312672,3.469330874,3.509744577,3.548583814
Ammonia,Fertiliser,Middle East,Mt Ammonia,4.071991179,4.150783866,4.332756467,4.512429456,4.689810775,4.864901537,4.977468849,5.083889909,5.184224245,5.27855991,5.366977075,5.500787166,5.631384036,5.758758914,5.882909282,6.003818708,6.111280901,6.215061957,6.315173532,6.411610004,6.504368043,6.582861684,6.657338472,6.727837194,6.794352703,6.856891254,6.945155988,7.03026303,7.112176355,7.190882703,7.266359082
Ammonia,Fertiliser,Russia,Mt Ammonia,2.739718694,2.792738956,2.799580531,2.80435354,2.807180964,2.808124695,2.798339623,2.79465504,2.793004177,2.791794875,2.790253057,2.810830577,2.830299102,2.848660283,2.865920101,2.882096752,2.892354545,2.901475151,2.909490097,2.916378422,2.922173107,2.922183384,2.921086447,2.918880883,2.915603527,2.911263595,2.91834682,2.92445911,2.929619988,2.933824047,2.93707646
Ammonia,Fertiliser,Europe,Mt Ammonia,3.375857701,3.441193324,3.473713863,3.505092882,3.535314446,3.564371815,3.549305236,3.532578065,3.514226801,3.494302782,3.472836138,3.482331483,3.490618975,3.497723298,3.503648304,3.508405336,3.506175836,3.502775122,3.498244993,3.492594083,3.485841831,3.472429895,3.457949434,3.442429514,3.425893681,3.408360276,3.404392787,3.399463617,3.393564777,3.386714616,3.378924115
Ammonia,Fertiliser,China,Mt Ammonia,8.417367263,8.433188972,8.729061783,9.025983448,9.323953966,9.622973338,9.804411638,9.980152616,10.15019627,10.3145426,10.47319161,10.33889895,10.20493102,10.07128785,9.937969422,9.804975742,9.656203961,9.508154317,9.360826808,9.214221434,9.068338196,8.908851794,8.750464293,8.593175695,8.436985998,8.281895204,8.16276333,8.043748985,7.92485217,7.806072885,7.687411129
Ammonia,Fertiliser,India,Mt Ammonia,3.571876356,3.641009088,3.70096827,3.75996755,3.817956208,3.874901675,3.875697156,3.871732159,3.86440786,3.854300548,3.841717161,4.025035514,4.207844411,4.390143852,4.571933837,4.753214367,4.925771141,5.097195047,5.267486083,5.43664425,5.604669548,5.762296291,5.918199103,6.072377983,6.224832932,6.375563949,6.552554472,6.729360617,6.905982385,7.082419774,7.258672786
Ammonia,Fertiliser,Rest of Asia Ammonium nitrated Pacific,Mt Ammonia,6.548740861,6.813045215,6.755213245,6.691801216,6.622703107,6.547841584,6.375400762,6.194832337,6.008742252,5.818249585,5.623994317,5.68019943,5.729232536,5.771226147,5.806129142,5.834068863,5.845316153,5.849672966,5.847166767,5.837936864,5.822060571,5.790298873,5.752103193,5.707612005,5.656970995,5.600239365,5.561327064,5.516250488,5.465035685,5.407724552,5.344380111
