,product,region,technology,daily_production_capacity,capacity_factor,asset_lifetime,retrofit_status,uuid
0,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,599c0f494479447f9d2ac08119a198e4
1,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,5c0bbb2313f94d5d8d8bc9865c5ee008
2,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,e4e41d6f8f8444118255a4e18288ee0c
3,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,2dd54c5bf73e439081501736ca340753
4,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,e1434553dcfe47bb89bb26eafdb444dd
5,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,4126c206aaf744818583f2bfd0491acc
6,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,e5de8fa7e7de4ec4b9d44f32d4e1dfab
7,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,6862fa9a83c44613b568b6fd971af37e
8,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,271a00a5d1134537b3bcbded5459c93d
9,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,c5090e3af1dc42d08f5ae0be998162f5
10,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,e5b98c97128a427d901a30df6fdae50b
11,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,114df0e4794a40dfb030446af1c4ce45
12,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,fcf4a952189c45ac9f0b8142920d3dfb
13,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,27c63d6eafa44373a591b8d7beedff15
14,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,8a76328833a946e8b2176e64e3928d4d
15,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,8c8aaaa648534e45b96235c41f4cd058
16,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,cf34c1809c534e6aa50b8848aa6668d5
17,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,e9cb60c0c01647f08355fb20aeb1cbff
18,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,91ea7cfb2a284d1796632318a9ad55c0
19,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,c620c5b35162451cb1c2595297add014
20,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,35b8be26a7414611ac4771c9804823b8
21,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,2a908d8c69cc45f99f8dc097fbe95094
22,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,6bdae45235dd44f080238cbd605f8536
23,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,5b81e38916b340159db2dfcffa5e5d61
24,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,c4b5134a67bb458cbd970e8dafa3f261
25,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,4011a481c53645a6a188217e1786adfe
26,Ammonia,China,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,7c8bdc57e8324bf889ac77f74294f8ab
27,Ammonia,China,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,34b4d024480c413195120f4f64cfb159
28,Ammonia,China,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,bfe7f41bae2c419f9dd5f2a873bddf19
29,Ammonia,China,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,fa74bca3a4da4fabaadae637ba4f8f6e
30,Ammonia,China,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,0b8547397ff54244a9a76f9e3fb34bec
31,Ammonia,China,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,f78cd295cf474783b89c2d85ee57889a
32,Ammonia,China,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,70040465db0a400bb00813fa0128584e
33,Ammonia,China,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,e2b879faa52240fba5be5f6797c78b6d
34,Ammonia,China,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,0701b79e0e034e44940fa9087b80ae93
35,Ammonia,North America,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,619acadee03341949bf7a9b3ce66eccf
36,Ammonia,North America,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,cd55cd2f4980409fa1fc6af4bb2f5ec4
37,Ammonia,North America,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,51eb31c37ce747aaa3a2c4d05d8cbd36
38,Ammonia,North America,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,703027db002d4207b98a4d472642ce84
39,Ammonia,North America,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,55f1b8ed33f64f24a19ff69b86df1d63
40,Ammonia,North America,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,704292cfcf294c18a4b3d943d9b313be
41,Ammonia,North America,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,5d52a6e10bb14a44ad4caa8709fc9ff9
42,Ammonia,North America,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,4a23f6c0d74a4a8da24e2f79dc2f8148
