product,technology_origin,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Ammonia,Biomass Digestion + ammonia synthesis,2027,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2034,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2034,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2034,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2034,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2034,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2034,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2034,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2034,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2034,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2034,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2035,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2035,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2035,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2035,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2035,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2035,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2035,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2035,Oceania,0,0,0,0,0
