product,region,year,value
Clinker,China,2020,1789.7220000000002
Clinker,Rest of Asia,2020,228.98799999999997
Clinker,North America,2020,74.57175
Clinker,Russia,2020,76.8315
Clinker,Europe,2020,140.1045
Clinker,India,2020,250.83225000000002
Clinker,Middle East,2020,178.52025
Clinker,Africa,2020,155.92274999999998
Clinker,Latin America,2020,146.88374999999996
Clinker,Oceania,2020,114.49399999999999
Clinker,Global,2020,3156.8707500000005
Clinker,China,2021,1784.9829568529965
Clinker,Rest of Asia,2021,234.97271766695044
Clinker,North America,2021,76.02018813958463
Clinker,Russia,2021,77.91891343313634
Clinker,Europe,2021,140.09467189816647
Clinker,India,2021,266.0443716360761
Clinker,Middle East,2021,180.71087618716786
Clinker,Africa,2021,174.5598812685464
Clinker,Latin America,2021,150.83880863647067
Clinker,Oceania,2021,117.48635883347522
Clinker,Global,2021,3203.6297445525706
Clinker,China,2022,1780.2564623196604
Clinker,Rest of Asia,2022,241.1138489693451
Clinker,North America,2022,77.49675989604431
Clinker,Russia,2022,79.02171727222031
Clinker,Europe,2022,140.08484448575823
Clinker,India,2022,282.1790566373923
Clinker,Middle East,2022,182.9283835998096
Clinker,Africa,2022,195.4246711816526
Clinker,Latin America,2022,154.90036298004247
Clinker,Oceania,2022,120.55692448467255
Clinker,Global,2022,3253.963031826598
Clinker,China,2023,1775.5424831722478
Clinker,Rest of Asia,2023,247.41548185697792
Clinker,North America,2023,79.00201172032982
Clinker,Russia,2023,80.14012934111543
Clinker,Europe,2023,140.07501776272693
Clinker,India,2023,299.29225532982997
Clinker,Middle East,2023,185.17310209807533
Clinker,Africa,2023,218.78338727616077
Clinker,Latin America,2023,159.07128058254554
Clinker,Oceania,2023,123.70774092848896
Clinker,Global,2023,3308.2028900684986
Clinker,China,2024,1770.8409862710027
Clinker,Rest of Asia,2024,253.88181112028647
Clinker,North America,2024,80.53650067733615
Clinker,Russia,2024,81.27437054659508
Clinker,Europe,2024,140.06519172902412
Clinker,India,2024,317.4433112359701
Clinker,Middle East,2024,187.44536558983688
Clinker,Africa,2024,244.93412350960352
Clinker,Latin America,2024,163.35450620881423
Clinker,Oceania,2024,126.94090556014324
Clinker,Global,2024,3366.7170724486127
Clinker,China,2025,1766.1519385639172
Clinker,Rest of Asia,2025,260.51714118268694
Clinker,North America,2025,82.10079465206165
Clinker,Russia,2025,82.42466492197588
Clinker,Europe,2025,140.05536638460165
Clinker,India,2025,336.69516686091606
Clinker,Middle East,2025,189.74551208035743
Clinker,Africa,2025,274.210604407964
Clinker,Latin America,2025,167.75306391575978
Clinker,Oceania,2025,130.25857059134347
Clinker,Global,2025,3429.912823561585
Clinker,China,2026,1761.475307086505
Clinker,Rest of Asia,2026,267.32588896588715
Clinker,North America,2026,83.69547255977136
Clinker,Russia,2026,83.59123967136796
Clinker,Europe,2026,140.04554172941096
Clinker,India,2026,357.1145819583255
Clinker,Middle East,2026,192.07388372257057
Clinker,Africa,2026,306.9864439155322
Clinker,Latin America,2026,172.2700591874249
Clinker,Oceania,2026,133.66294448294357
Clinker,Global,2026,3498.2413632797384
Clinker,China,2027,1756.8110589615646
Clinker,Rest of Asia,2027,274.3125868300869
Clinker,North America,2027,85.32112456024247
Clinker,Russia,2027,84.77432521455226
Clinker,Europe,2027,140.0357177634038
Clinker,India,2027,378.7723650335341
Clinker,Middle East,2027,194.43082686797675
Clinker,Africa,2027,343.679913296479
Clinker,Latin America,2027,176.90868112752744
Clinker,Oceania,2027,137.15629341504345
Clinker,Global,2027,3572.2028930704105
Clinker,China,2028,1752.1591613989538
Clinker,Rest of Asia,2028,281.4818855910215
Clinker,North America,2028,86.97835227617117
