product,year,region,technology,ch4_scope1,co2_scope1,ch4_scope1_captured,co2_scope1_captured,ch4_scope2,co2_scope2,ch4_scope3_upstream,co2_scope3_upstream,co2e_scope1,co2e_scope1_captured,co2e_scope2,co2e_scope3_upstream
Clinker,2020,Africa,Dry kiln alternative fuels + direct separation + storage,0.0,0.03388706000000008,0.0,-0.64385414,0.0,0.04870402435292148,0.0,0.0,0.03388706000000008,-0.64385414,0.04870402435292148,0.0
Clinker,2020,Africa,Dry kiln alternative fuels + direct separation + usage,0.0,0.03388706000000008,0.0,-0.64385414,0.0,0.04870402435292148,0.0,0.0,0.03388706000000008,-0.64385414,0.04870402435292148,0.0
Clinker,2020,Africa,Dry kiln alternative fuels + oxyfuel + storage,0.0,0.03388706000000008,0.0,-0.64385414,0.0,0.04870402435292148,0.0,0.0,0.03388706000000008,-0.64385414,0.04870402435292148,0.0
Clinker,2020,Africa,Dry kiln alternative fuels + oxyfuel + usage,0.0,0.03388706000000008,0.0,-0.64385414,0.0,0.04870402435292148,0.0,0.0,0.03388706000000008,-0.64385414,0.04870402435292148,0.0
Clinker,2020,Africa,Dry kiln alternative fuels + post combustion + storage,0.0,0.03388706000000008,0.0,-0.64385414,0.0,0.04870402435292148,0.0,0.0,0.03388706000000008,-0.64385414,0.04870402435292148,0.0
Clinker,2020,Africa,Dry kiln alternative fuels + post combustion + usage,0.0,0.03388706000000008,0.0,-0.64385414,0.0,0.04870402435292148,0.0,0.0,0.03388706000000008,-0.64385414,0.04870402435292148,0.0
Clinker,2020,Africa,Dry kiln alternative fuels 43%,0.0,0.70647091,0.0,-0.0,0.0,0.04625770349501219,0.00035949899999999994,0.0,0.70647091,-0.0,0.04625770349501219,0.010713070199999999
Clinker,2020,Africa,Dry kiln alternative fuels 90%,0.0,0.6777412,0.0,-0.0,0.0,0.04870402435292148,0.0,0.0,0.6777412,-0.0,0.04870402435292148,0.0
Clinker,2020,Africa,Dry kiln coal,0.0,0.8193221776,0.0,-0.0,0.0,0.045368132273954254,0.0009614030400000002,0.0,0.8193221776,-0.0,0.045368132273954254,0.028649810592000006
Clinker,2020,Africa,Dry kiln coal + direct separation + storage,0.0,0.040966108880000074,0.0,-0.77835606872,0.0,0.045368132273954254,0.0009614030400000002,0.0,0.040966108880000074,-0.77835606872,0.045368132273954254,0.028649810592000006
Clinker,2020,Africa,Dry kiln coal + direct separation + usage,0.0,0.040966108880000074,0.0,-0.77835606872,0.0,0.045368132273954254,0.0009614030400000002,0.0,0.040966108880000074,-0.77835606872,0.045368132273954254,0.028649810592000006
Clinker,2020,Africa,Dry kiln coal + oxyfuel + storage,0.0,0.040966108880000074,0.0,-0.77835606872,0.0,0.045368132273954254,0.0009614030400000002,0.0,0.040966108880000074,-0.77835606872,0.045368132273954254,0.028649810592000006
Clinker,2020,Africa,Dry kiln coal + oxyfuel + usage,0.0,0.040966108880000074,0.0,-0.77835606872,0.0,0.045368132273954254,0.0009614030400000002,0.0,0.040966108880000074,-0.77835606872,0.045368132273954254,0.028649810592000006
Clinker,2020,Africa,Dry kiln coal + post combustion + storage,0.0,0.040966108880000074,0.0,-0.77835606872,0.0,0.045368132273954254,0.0009614030400000002,0.0,0.040966108880000074,-0.77835606872,0.045368132273954254,0.028649810592000006
Clinker,2020,Africa,Dry kiln coal + post combustion + usage,0.0,0.040966108880000074,0.0,-0.77835606872,0.0,0.045368132273954254,0.0009614030400000002,0.0,0.040966108880000074,-0.77835606872,0.045368132273954254,0.028649810592000006
Clinker,2020,Africa,Dry kiln natural gas,0.0,0.7058365,0.0,-0.0,0.0,0.045368132273954254,0.005115018293545722,0.031092618492655252,0.7058365,-0.0,0.045368132273954254,0.18352016364031776
Clinker,2020,Africa,Dry kiln natural gas + direct separation + storage,0.0,0.035291825000000054,0.0,-0.6705446749999999,0.0,0.045368132273954254,0.005115018293545722,0.031092618492655252,0.035291825000000054,-0.6705446749999999,0.045368132273954254,0.18352016364031776
Clinker,2020,Africa,Dry kiln natural gas + direct separation + usage,0.0,0.035291825000000054,0.0,-0.6705446749999999,0.0,0.045368132273954254,0.005115018293545722,0.031092618492655252,0.035291825000000054,-0.6705446749999999,0.045368132273954254,0.18352016364031776
Clinker,2020,Africa,Dry kiln natural gas + oxyfuel + storage,0.0,0.035291825000000054,0.0,-0.6705446749999999,0.0,0.045368132273954254,0.005115018293545722,0.031092618492655252,0.035291825000000054,-0.6705446749999999,0.045368132273954254,0.18352016364031776
Clinker,2020,Africa,Dry kiln natural gas + oxyfuel + usage,0.0,0.035291825000000054,0.0,-0.6705446749999999,0.0,0.045368132273954254,0.005115018293545722,0.031092618492655252,0.035291825000000054,-0.6705446749999999,0.045368132273954254,0.18352016364031776
Clinker,2020,Africa,Dry kiln natural gas + post combustion + storage,0.0,0.035291825000000054,0.0,-0.6705446749999999,0.0,0.045368132273954254,0.005115018293545722,0.031092618492655252,0.035291825000000054,-0.6705446749999999,0.045368132273954254,0.18352016364031776
Clinker,2020,Africa,Dry kiln natural gas + post combustion + usage,0.0,0.035291825000000054,0.0,-0.6705446749999999,0.0,0.045368132273954254,0.005115018293545722,0.031092618492655252,0.035291825000000054,-0.6705446749999999,0.045368132273954254,0.18352016364031776
Clinker,2020,Africa,Dry kiln reference plant,0.0,0.8095674376141409,0.0,-0.0049211399858591996,0.0,0.045368132273954254,0.0009614030400000002,0.0,0.8095674376141409,-0.0049211399858591996,0.045368132273954254,0.028649810592000006
