product,scenario,region,year,value
Ammonium nitrate,BAU,Europe,2023,4.66745061
Ammonium nitrate,BAU,China,2023,12.01917706
Ammonium nitrate,BAU,India,2023,5.006846731
Ammonium nitrate,BAU,Rest of Asia,2023,8.910934095
Ammonium nitrate,BAU,Oceania,2023,0.621948114
Urea,BAU,Global,2023,189.0219791
Urea,BAU,North America,2023,18.35115727
Urea,BAU,Latin America,2023,11.21029683
Urea,BAU,Africa,2023,10.36708099
Urea,BAU,Middle East,2023,21.86694961
Urea,BAU,Russia,2023,13.58972104
Urea,BAU,Europe,2023,16.98545987
Urea,BAU,China,2023,43.73934865
Urea,BAU,India,2023,18.2205665
Urea,BAU,Rest of Asia,2023,32.42804822
Urea,BAU,Oceania,2023,2.263350084
Ammonia,BAU,Global,2024,67.2819326
Ammonia,BAU,North America,2024,6.488671628
Ammonia,BAU,Latin America,2024,4.087248771
Ammonia,BAU,Africa,2024,3.773191893
Ammonia,BAU,Middle East,2024,7.941103636
Ammonia,BAU,Russia,2024,4.753307976
Ammonia,BAU,Europe,2024,5.986232653
Ammonia,BAU,China,2024,15.78794717
Ammonia,BAU,India,2024,6.464820731
Ammonia,BAU,Rest of Asia,2024,11.21400718
Ammonia,BAU,Oceania,2024,0.78540096
Ammonium nitrate,BAU,Global,2024,52.81315679
Ammonium nitrate,BAU,North America,2024,5.093302448
Ammonium nitrate,BAU,Latin America,2024,3.208298303
Ammonium nitrate,BAU,Africa,2024,2.961778405
Ammonium nitrate,BAU,Middle East,2024,6.233393352
Ammonium nitrate,BAU,Russia,2024,3.731123493
Ammonium nitrate,BAU,Europe,2024,4.698911453
Ammonium nitrate,BAU,China,2024,12.39279695
Ammonium nitrate,BAU,India,2024,5.074580614
Ammonium nitrate,BAU,Rest of Asia,2024,8.802468905
Ammonium nitrate,BAU,Oceania,2024,0.616502862
Urea,BAU,Global,2024,192.193947
Urea,BAU,North America,2024,18.5351901
Urea,BAU,Latin America,2024,11.67541483
Urea,BAU,Africa,2024,10.77829686
Urea,BAU,Middle East,2024,22.68412919
Urea,BAU,Russia,2024,13.5780437
Urea,BAU,Europe,2024,17.09994997
Urea,BAU,China,2024,45.09900004
Urea,BAU,India,2024,18.46705891
Urea,BAU,Rest of Asia,2024,32.03332929
Urea,BAU,Oceania,2024,2.243534104
Ammonia,BAU,Global,2025,68.36254774
Ammonia,BAU,North America,2025,6.550609282
Ammonia,BAU,Latin America,2025,4.247401477
Ammonia,BAU,Africa,2025,3.914737784
Ammonia,BAU,Middle East,2025,8.222239508
Ammonia,BAU,Russia,2025,4.746051618
Ammonia,BAU,Europe,2025,6.024195666
Ammonia,BAU,China,2025,16.26392455
Ammonia,BAU,India,2025,6.549026615
Ammonia,BAU,Rest of Asia,2025,11.0666005
Ammonia,BAU,Oceania,2025,0.777760743
Ammonium nitrate,BAU,Global,2025,53.66138892
Ammonium nitrate,BAU,North America,2025,5.141920597
Ammonium nitrate,BAU,Latin America,2025,3.334010655
Ammonium nitrate,BAU,Africa,2025,3.072885281
Ammonium nitrate,BAU,Middle East,2025,6.454071806
Ammonium nitrate,BAU,Russia,2025,3.725427593
Ammonium nitrate,BAU,Europe,2025,4.728710635
Ammonium nitrate,BAU,China,2025,12.76641684
Ammonium nitrate,BAU,India,2025,5.140678278
Ammonium nitrate,BAU,Rest of Asia,2025,8.686761579
Ammonium nitrate,BAU,Oceania,2025,0.610505651
Urea,BAU,Global,2025,195.280774
Urea,BAU,North America,2025,18.71211786
Urea,BAU,Latin America,2025,12.13289843
Urea,BAU,Africa,2025,11.18262923
Urea,BAU,Middle East,2025,23.48720679
Urea,BAU,Russia,2025,13.55731558
Urea,BAU,Europe,2025,17.20839307
Urea,BAU,China,2025,46.45865142
Urea,BAU,India,2025,18.7075969
Urea,BAU,Rest of Asia,2025,31.61225528
Urea,BAU,Oceania,2025,2.221709472
Ammonia,BAU,Global,2026,69.41326082
Ammonia,BAU,North America,2026,6.610032216
Ammonia,BAU,Latin America,2026,4.404876107
Ammonia,BAU,Africa,2026,4.053870667
Ammonia,BAU,Middle East,2026,8.498453913
Ammonia,BAU,Russia,2026,4.77784212
Ammonia,BAU,Europe,2026,6.060029282
Ammonia,BAU,China,2026,16.73990194
Ammonia,BAU,India,2026,6.617305835
Ammonia,BAU,Rest of Asia,2026,10.8852614
Ammonia,BAU,Oceania,2026,0.765687337
Ammonium nitrate,BAU,Global,2026,54.48614933
Ammonium nitrate,BAU,North America,2026,5.188564809
Ammonium nitrate,BAU,Latin America,2026,3.457620842
Ammonium nitrate,BAU,Africa,2026,3.182098059
Ammonium nitrate,BAU,Middle East,2026,6.67088714
Ammonium nitrate,BAU,Russia,2026,3.750381644
Ammonium nitrate,BAU,Europe,2026,4.75683834
Ammonium nitrate,BAU,China,2026,13.14003673
Ammonium nitrate,BAU,India,2026,5.194274259
Ammonium nitrate,BAU,Rest of Asia,2026,8.54441891
Ammonium nitrate,BAU,Oceania,2026,0.601028594
Urea,BAU,Global,2026,198.2821845
Urea,BAU,North America,2026,18.88186222
Urea,BAU,Latin America,2026,12.58273198
Urea,BAU,Africa,2026,11.58006873
Urea,BAU,Middle East,2026,24.27622599
Urea,BAU,Russia,2026,13.64812662
Urea,BAU,Europe,2026,17.31075344
Urea,BAU,China,2026,47.8183028
Urea,BAU,India,2026,18.90263965
Urea,BAU,Rest of Asia,2026,31.09425179
Urea,BAU,Oceania,2026,2.18722123
Ammonia,BAU,Global,2027,70.43412404
Ammonia,BAU,North America,2027,6.666975523
Ammonia,BAU,Latin America,2027,4.559680978
Ammonia,BAU,Africa,2027,4.190593067
Ammonia,BAU,Middle East,2027,8.769769216
Ammonia,BAU,Russia,2027,4.820812445
Ammonia,BAU,Europe,2027,6.093738245
Ammonia,BAU,China,2027,17.21587933
Ammonia,BAU,India,2027,6.678783001
Ammonia,BAU,Rest of Asia,2027,10.68615782
Ammonia,BAU,Oceania,2027,0.751734415
Ammonium nitrate,BAU,Global,2027,55.28747901
Ammonium nitrate,BAU,North America,2027,5.233262631
Ammonium nitrate,BAU,Latin America,2027,3.579135394
Ammonium nitrate,BAU,Africa,2027,3.289418721
Ammonium nitrate,BAU,Middle East,2027,6.883856909
Ammonium nitrate,BAU,Russia,2027,3.784111331
Ammonium nitrate,BAU,Europe,2027,4.783298293
Ammonium nitrate,BAU,China,2027,13.51365662
Ammonium nitrate,BAU,India,2027,5.242530947
Ammonium nitrate,BAU,Rest of Asia,2027,8.388131952
Ammonium nitrate,BAU,Oceania,2027,0.590076206
Urea,BAU,Global,2027,201.1983274
Urea,BAU,North America,2027,19.04452341
Urea,BAU,Latin America,2027,13.02493924
Urea,BAU,Africa,2027,11.97062258
Urea,BAU,Middle East,2027,25.05125068
Urea,BAU,Russia,2027,13.77087333
Urea,BAU,Europe,2027,17.40704465
Urea,BAU,China,2027,49.17795418
Urea,BAU,India,2027,19.07825201
Urea,BAU,Rest of Asia,2027,30.52550322
Urea,BAU,Oceania,2027,2.147364065
Ammonia,BAU,Global,2028,71.4251835
Ammonia,BAU,North America,2028,6.72144879
Ammonia,BAU,Latin America,2028,4.711806896
Ammonia,BAU,Africa,2028,4.32489649
Ammonia,BAU,Middle East,2028,9.036135861
Ammonia,BAU,Russia,2028,4.86822406
Ammonia,BAU,Europe,2028,6.125319685
Ammonia,BAU,China,2028,17.69185672
Ammonia,BAU,India,2028,6.7356875
Ammonia,BAU,Rest of Asia,2028,10.473276
Ammonia,BAU,Oceania,2028,0.736531509
Ammonium nitrate,BAU,Global,2028,56.06541413
Ammonium nitrate,BAU,North America,2028,5.276021586
Ammonium nitrate,BAU,Latin America,2028,3.698547095
Ammonium nitrate,BAU,Africa,2028,3.3948406
Ammonium nitrate,BAU,Middle East,2028,7.092942214
Ammonium nitrate,BAU,Russia,2028,3.821327221
Ammonium nitrate,BAU,Europe,2028,4.80808824
Ammonium nitrate,BAU,China,2028,13.88727652
Ammonium nitrate,BAU,India,2028,5.287198305
Ammonium nitrate,BAU,Rest of Asia,2028,8.221029716
Ammonium nitrate,BAU,Oceania,2028,0.578142639
Urea,BAU,Global,2028,204.0293345
Urea,BAU,North America,2028,19.20012881
Urea,BAU,Latin America,2028,13.45949395
Urea,BAU,Africa,2028,12.35426651
Urea,BAU,Middle East,2028,25.8121393
Urea,BAU,Russia,2028,13.9063068
Urea,BAU,Europe,2028,17.4972585
Urea,BAU,China,2028,50.53760557
Urea,BAU,India,2028,19.24080234
Urea,BAU,Rest of Asia,2028,29.91739645
Urea,BAU,Oceania,2028,2.103936262
Ammonia,BAU,Global,2029,72.38638192
Ammonia,BAU,North America,2029,6.773416235
Ammonia,BAU,Latin America,2029,4.861242611
Ammonia,BAU,Africa,2029,4.456759746
Ammonia,BAU,Middle East,2029,9.297552438
Ammonia,BAU,Russia,2029,4.917413024
Ammonia,BAU,Europe,2029,6.154796746
Ammonia,BAU,China,2029,18.1678341
Ammonia,BAU,India,2029,6.788889786
Ammonia,BAU,Rest of Asia,2029,10.2481513
Ammonia,BAU,Oceania,2029,0.720325924
Ammonium nitrate,BAU,Global,2029,56.81990974
Ammonium nitrate,BAU,North America,2029,5.31681359
Ammonium nitrate,BAU,Latin America,2029,3.815847112
Ammonium nitrate,BAU,Africa,2029,3.498347062
Ammonium nitrate,BAU,Middle East,2029,7.298141948
Ammonium nitrate,BAU,Russia,2029,3.859938248
Ammonium nitrate,BAU,Europe,2029,4.831226348
Ammonium nitrate,BAU,China,2029,14.26089641
Ammonium nitrate,BAU,India,2029,5.328959601
Ammonium nitrate,BAU,Rest of Asia,2029,8.044317406
Ammonium nitrate,BAU,Oceania,2029,0.565422016
Urea,BAU,Global,2029,206.7750421
Urea,BAU,North America,2029,19.34857621
Urea,BAU,Latin America,2029,13.88636397
Urea,BAU,Africa,2029,12.73093999
Urea,BAU,Middle East,2029,26.55888782
Urea,BAU,Russia,2029,14.04681735
Urea,BAU,Europe,2029,17.58146108
Urea,BAU,China,2029,51.89725695
Urea,BAU,India,2029,19.39277713
Urea,BAU,Rest of Asia,2029,29.27431737
Urea,BAU,Oceania,2029,2.057644259
Ammonia,BAU,Global,2030,73.31768942
Ammonia,BAU,North America,2030,6.822918145
Ammonia,BAU,Latin America,2030,5.007953946
Ammonia,BAU,Africa,2030,4.586198981
Ammonia,BAU,Middle East,2030,9.554003453
Ammonia,BAU,Russia,2030,4.967058172
Ammonia,BAU,Europe,2030,6.182155801
Ammonia,BAU,China,2030,18.64381149
Ammonia,BAU,India,2030,6.838817925
