,product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
43,Alumina,H2-Boiler + H2-Calciner,China - North West,25,0.06,end-state,,2030,,2020
44,Alumina,MVR-Fossil-Boiler + Elec-Calciner,China - North West,20,0.06,end-state,,2030,,2020
45,Alumina,MVR-Fossil-Boiler + Gas-Calciner,China - North West,25,0.06,transition,,2027,,2020
46,Alumina,MVR-Fossil-Boiler + Oil-Calciner,China - North West,25,0.06,transition,,2027,,2020
47,Alumina,MVR-Fossil-Boiler + H2-Calciner,China - North West,25,0.06,end-state,,2030,,2020
48,Alumina,Gas-Boiler + Elec-Calciner,China - North East,20,0.06,transition,,2030,,2020
49,Alumina,Gas-Boiler + Gas-Calciner,China - North East,25,0.06,initial,,2020,,2020
50,Alumina,Gas-Boiler + Oil-Calciner,China - North East,25,0.06,initial,,2020,,2020
51,Alumina,Gas-Boiler + H2-Calciner,China - North East,25,0.06,transition,,2030,,2020
52,Alumina,Oil-Boiler + Elec-Calciner,China - North East,20,0.06,transition,,2030,,2020
53,Alumina,Oil-Boiler + Gas-Calciner,China - North East,25,0.06,initial,,2020,,2020
54,Alumina,Oil-Boiler + Oil-Calciner,China - North East,25,0.06,initial,,2020,,2020
55,Alumina,Oil-Boiler + H2-Calciner,China - North East,25,0.06,transition,,2030,,2020
56,Alumina,Coal-Boiler + Elec-Calciner,China - North East,20,0.06,transition,,2030,,2020
57,Alumina,Coal-Boiler + Gas-Calciner,China - North East,25,0.06,initial,,2020,,2020
58,Alumina,Coal-Boiler + Oil-Calciner,China - North East,25,0.06,initial,,2020,,2020
59,Alumina,Coal-Boiler + H2-Calciner,China - North East,25,0.06,transition,,2030,,2020
60,Alumina,Elec-Boiler + Elec-Calciner,China - North East,20,0.06,end-state,,2030,,2020
61,Alumina,Elec-Boiler + Gas-Calciner,China - North East,25,0.06,transition,,2020,,2020
62,Alumina,Elec-Boiler + Oil-Calciner,China - North East,25,0.06,transition,,2020,,2020
63,Alumina,Elec-Boiler + H2-Calciner,China - North East,25,0.06,end-state,,2030,,2020
64,Alumina,H2-Boiler + Elec-Calciner,China - North East,20,0.06,end-state,,2030,,2020
65,Alumina,H2-Boiler + Gas-Calciner,China - North East,25,0.06,transition,,2027,,2020
66,Alumina,H2-Boiler + Oil-Calciner,China - North East,25,0.06,transition,,2027,,2020
67,Alumina,H2-Boiler + H2-Calciner,China - North East,25,0.06,end-state,,2030,,2020
68,Alumina,MVR-Fossil-Boiler + Elec-Calciner,China - North East,20,0.06,end-state,,2030,,2020
69,Alumina,MVR-Fossil-Boiler + Gas-Calciner,China - North East,25,0.06,transition,,2027,,2020
70,Alumina,MVR-Fossil-Boiler + Oil-Calciner,China - North East,25,0.06,transition,,2027,,2020
71,Alumina,MVR-Fossil-Boiler + H2-Calciner,China - North East,25,0.06,end-state,,2030,,2020
72,Alumina,Gas-Boiler + Elec-Calciner,China - Central,20,0.06,transition,,2030,,2020
73,Alumina,Gas-Boiler + Gas-Calciner,China - Central,25,0.06,initial,,2020,,2020
74,Alumina,Gas-Boiler + Oil-Calciner,China - Central,25,0.06,initial,,2020,,2020
75,Alumina,Gas-Boiler + H2-Calciner,China - Central,25,0.06,transition,,2030,,2020
76,Alumina,Oil-Boiler + Elec-Calciner,China - Central,20,0.06,transition,,2030,,2020
77,Alumina,Oil-Boiler + Gas-Calciner,China - Central,25,0.06,initial,,2020,,2020
78,Alumina,Oil-Boiler + Oil-Calciner,China - Central,25,0.06,initial,,2020,,2020
79,Alumina,Oil-Boiler + H2-Calciner,China - Central,25,0.06,transition,,2030,,2020
80,Alumina,Coal-Boiler + Elec-Calciner,China - Central,20,0.06,transition,,2030,,2020
81,Alumina,Coal-Boiler + Gas-Calciner,China - Central,25,0.06,initial,,2020,,2020
82,Alumina,Coal-Boiler + Oil-Calciner,China - Central,25,0.06,initial,,2020,,2020
83,Alumina,Coal-Boiler + H2-Calciner,China - Central,25,0.06,transition,,2030,,2020
