product,driver,region,unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonium nitrate,Fert Optimization,India,Mt AN,0.00,0.13,0.28,0.42,0.57,0.72,0.89,1.08,1.27,1.46,1.66,1.56,1.46,1.35,1.25,1.15,1.12,1.10,1.08,1.05,1.03,1.09,1.15,1.21,1.27,1.33,1.47,1.62,1.76,1.90,2.04
Ammonium nitrate,Fert Optimization,Rest of Asia and Pacific,Mt AN,0.00,-0.34,-0.39,-0.44,-0.49,-0.53,-0.44,-0.34,-0.24,-0.13,-0.03,0.05,0.14,0.23,0.33,0.44,0.63,0.82,1.01,1.22,1.43,1.70,1.97,2.25,2.53,2.82,3.19,3.56,3.94,4.33,4.72
Ammonium nitrate,Fert Optimization,Oceania,Mt AN,0.00,-0.02,-0.03,-0.04,-0.04,-0.05,-0.04,-0.03,-0.03,-0.02,-0.01,-0.02,-0.03,-0.04,-0.04,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.04,-0.03,-0.03,-0.02,-0.01,0.01,0.02,0.03,0.05
Urea,Fert Optimization,Global,Mt Urea,0.00,-1.25,-2.67,-4.02,-5.31,-6.52,-8.90,-11.21,-13.46,-15.63,-17.74,-20.67,-23.54,-26.34,-29.07,-31.73,-35.26,-38.73,-42.12,-45.45,-48.71,-52.86,-56.95,-60.97,-64.91,-68.79,-73.58,-78.29,-82.94,-87.51,-92.02
Urea,Fert Optimization,North America,Mt Urea,0.00,-0.16,-0.23,-0.30,-0.36,-0.42,-0.58,-0.73,-0.88,-1.02,-1.16,-1.35,-1.55,-1.73,-1.91,-2.09,-2.35,-2.60,-2.85,-3.09,-3.32,-3.64,-3.95,-4.26,-4.57,-4.86,-5.25,-5.63,-6.01,-6.38,-6.74
Urea,Fert Optimization,Latin America,Mt Urea,0.00,0.08,-0.08,-0.23,-0.38,-0.52,-0.78,-1.03,-1.27,-1.51,-1.74,-2.04,-2.34,-2.62,-2.91,-3.19,-3.55,-3.91,-4.26,-4.61,-4.95,-5.41,-5.86,-6.30,-6.74,-7.17,-7.66,-8.15,-8.63,-9.10,-9.57
Urea,Fert Optimization,Africa,Mt Urea,0.00,0.41,0.61,0.82,1.03,1.24,1.25,1.26,1.27,1.28,1.30,0.84,0.39,-0.05,-0.49,-0.91,-1.37,-1.83,-2.27,-2.71,-3.14,-3.57,-4.00,-4.43,-4.84,-5.25,-5.71,-6.17,-6.61,-7.05,-7.49
Urea,Fert Optimization,Middle East,Mt Urea,0.00,-0.20,-0.80,-1.39,-1.97,-2.53,-3.20,-3.86,-4.51,-5.15,-5.77,-6.47,-7.16,-7.84,-8.50,-9.16,-9.89,-10.60,-11.31,-12.00,-12.68,-13.42,-14.16,-14.88,-15.59,-16.29,-17.07,-17.84,-18.60,-19.34,-20.07
Urea,Fert Optimization,Russia,Mt Urea,0.00,-0.13,-0.08,-0.02,0.05,0.13,0.03,-0.09,-0.22,-0.35,-0.49,-0.66,-0.84,-1.01,-1.17,-1.33,-1.55,-1.77,-1.97,-2.18,-2.38,-2.64,-2.89,-3.14,-3.38,-3.62,-3.92,-4.22,-4.51,-4.80,-5.09
Urea,Fert Optimization,Europe,Mt Urea,0.00,-0.15,-0.18,-0.20,-0.22,-0.23,-0.34,-0.44,-0.53,-0.63,-0.71,-0.80,-0.89,-0.97,-1.05,-1.13,-1.30,-1.47,-1.63,-1.79,-1.95,-2.21,-2.48,-2.73,-2.99,-3.24,-3.58,-3.93,-4.26,-4.60,-4.92
Urea,Fert Optimization,China,Mt Urea,0.00,0.05,-0.98,-2.01,-3.05,-4.08,-5.32,-6.56,-7.80,-9.04,-10.27,-10.00,-9.74,-9.47,-9.20,-8.93,-8.85,-8.77,-8.69,-8.61,-8.53,-8.63,-8.74,-8.84,-8.95,-9.05,-9.36,-9.66,-9.97,-10.27,-10.58
Urea,Fert Optimization,India,Mt Urea,0.00,0.53,1.10,1.67,2.25,2.83,3.12,3.42,3.73,4.04,4.35,3.38,2.40,1.43,0.46,-0.51,-1.57,-2.63,-3.69,-4.75,-5.80,-6.93,-8.05,-9.18,-10.30,-11.43,-12.67,-13.91,-15.15,-16.39,-17.63
Urea,Fert Optimization,Rest of Asia and Pacific,Mt Urea,0.00,-1.57,-1.89,-2.19,-2.46,-2.71,-2.85,-2.94,-3.00,-3.01,-3.00,-3.23,-3.43,-3.61,-3.76,-3.89,-4.16,-4.41,-4.64,-4.84,-5.01,-5.38,-5.73,-6.04,-6.33,-6.59,-6.99,-7.35,-7.69,-8.00,-8.28
Urea,Fert Optimization,Oceania,Mt Urea,0.00,-0.11,-0.14,-0.17,-0.20,-0.23,-0.24,-0.25,-0.25,-0.25,-0.25,-0.32,-0.39,-0.46,-0.53,-0.60,-0.67,-0.74,-0.81,-0.88,-0.95,-1.02,-1.09,-1.16,-1.23,-1.29,-1.37,-1.44,-1.51,-1.58,-1.65
