variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
emissions_ch4_scope1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_ch4_scope2,18.179876030433487,17.478666580299095,16.656903688675783,15.893243410180842,15.150331689563101,14.500504166941498,12.765990073707528,11.332159731094668,10.07883932024208,8.854312194579725,7.854719886443146,7.049228001492465,6.335176866124255,5.652731220667968,5.007094636654874,4.4265941765605605,4.0822297339131675,3.7390227968531495,3.405840717334051,3.0819083254431554,2.7622387312873116,2.4694878500658115,2.1790918596692532,1.8914857240241894,1.6092308272166476,1.337569984273503,1.072198206951413,0.8050085842121245,0.5404107860042161,0.2745971012750365,0.0075597354324025935
emissions_ch4_scope3_downstream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_ch4_scope3_upstream,1.171351971775952,1.2017634628930247,1.2131333458403053,1.2209056320082323,1.2377466717762609,1.2532626615890885,1.188523836774828,1.1693356934618577,1.1720666843229235,1.150779683495483,1.191931035520639,1.1800529599321286,1.205641149149361,1.2280428547929088,1.2620469923035749,1.2595612334221868,1.268786868555349,1.275283821729805,1.2915751822857247,1.2994928211736807,1.3121925131686665,1.32298033902985,1.3353082586188598,1.3472381494617889,1.3505152402572371,1.3527622505123542,1.3580265527394733,1.3594317685995019,1.3666062265431773,1.3691401363943456,1.3749421509715962
emissions_co2_scope1,119.4512832205749,121.47921636564638,122.05493553382352,121.51848988545612,121.44930885217279,121.92501017262457,105.84735582023986,98.22950321263325,93.34190217187107,88.09302732102053,85.50269082896524,79.52384073342357,75.69362444019019,72.12647679539147,69.52193388397905,66.62112912268047,66.29546817754918,65.88759667696893,65.56712399300433,65.25915346982073,64.99122540513781,64.7706536985699,64.502725633887,64.1770646887557,63.83423996823811,63.71796635784434,63.72315461901102,63.67579826089604,63.7683853386784,63.826118219126776,63.88385109957514
emissions_co2_scope1_captured,0.0,1.9212522894722943,2.645124923049442,4.369616685225405,5.725787738781609,7.049362127420028,13.165846119048732,16.475596015304777,22.71582986242005,29.484954314486618,35.76402263549854,37.879621044035595,43.47168028691889,48.070885605223715,53.271571177260284,53.74614105698689,54.48770436221928,54.93637894366564,55.72463659939825,56.17840742690489,56.99256038091773,57.785914282710614,58.600067236723454,59.34163054195585,59.48171359345648,59.60099759273715,59.64769194323736,59.66849099545734,60.05476842024379,60.12735806902424,60.1999477178047
emissions_co2_scope2,18.179876030433487,17.478666580299095,16.656903688675783,15.893243410180842,15.150331689563101,14.500504166941498,12.765990073707528,11.332159731094668,10.07883932024208,8.854312194579725,7.854719886443146,7.049228001492465,6.335176866124255,5.652731220667968,5.007094636654874,4.4265941765605605,4.0822297339131675,3.7390227968531495,3.405840717334051,3.0819083254431554,2.7622387312873116,2.4694878500658115,2.1790918596692532,1.8914857240241894,1.6092308272166476,1.337569984273503,1.072198206951413,0.8050085842121245,0.5404107860042161,0.2745971012750365,0.0075597354324025935
emissions_co2_scope3_downstream,47.118437809092626,47.118437809092626,47.118437809092626,47.118437809092626,47.118437809092626,48.036329454724296,48.648257218478754,49.566148864110424,50.178076627864876,50.79000439161933,51.707896037251,52.31982380100545,52.9317515647599,53.543679328514344,54.1556070922688,54.76753485602325,55.07349873790047,55.68542650165492,56.297354265409375,56.60331814728659,57.21524591104105,57.52120979291828,58.13313755667272,58.43910143854995,58.745065320427166,59.0510292023044,59.356993084181624,59.66295696605885,59.96892084793607,60.274884729813294,60.58084861169052
emissions_co2_scope3_upstream,4.058264965407383,20.40170166427608,20.647979220379426,21.011168174533,21.297147218327897,21.902127846945433,21.072020846674146,21.279308120199556,22.925346350407704,24.58522281358925,26.412017041317373,26.36482747402481,27.751447819879445,28.849217502059116,30.24249812749726,30.3834272687477,30.48339667012067,30.626500814036717,30.69653285729089,30.707847375404253,30.91324226312604,31.04257420048476,31.224401380751328,31.249799262160504,31.228185572453864,31.319347513284374,31.339124501808104,31.42916961216439,31.55220507327398,31.64231232656357,31.68348201987692
emissions_n2o_scope1,0.0,0.005056310731879305,0.007584466097818957,0.012640776829698263,0.02022524292751722,0.025281553659396522,0.053091262684732694,0.06573203951443096,0.07331650561224992,0.08342912707600852,0.08848543780788783,0.09354174853976714,0.0960699039057068,0.0960699039057068,0.0960699039057068,0.0960699039057068,0.0960699039057068,0.09859805927164644,0.09859805927164644,0.09859805927164644,0.1011262146375861,0.1011262146375861,0.1011262146375861,0.10365437000352574,0.10365437000352574,0.10365437000352574,0.10365437000352574,0.10365437000352574,0.10618252536946539,0.10618252536946539,0.10618252536946539
