product,year,region,scope,scenario,unit,name,emissivity_type,emission_factor_ch4
Ammonia,2020,Saudi Arabia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,Saudi Arabia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,Saudi Arabia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,Saudi Arabia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007469250991350508
Ammonium nitrate,2020,Saudi Arabia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007469250991350508
Urea,2020,Saudi Arabia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007469250991350508
Ammonia,2020,Namibia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,Namibia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,Namibia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,Namibia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016931540197106056
Ammonium nitrate,2020,Namibia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016931540197106056
Urea,2020,Namibia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016931540197106056
Ammonia,2020,Australia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,Australia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,Australia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,Australia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00033077207537772133
Ammonium nitrate,2020,Australia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00033077207537772133
Urea,2020,Australia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00033077207537772133
Ammonia,2021,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,China,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Ammonium nitrate,2021,China,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Urea,2021,China,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Ammonia,2021,North America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00037687889666911817
Ammonium nitrate,2021,North America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00037687889666911817
Urea,2021,North America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00037687889666911817
Ammonia,2021,Rest of Asia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Ammonium nitrate,2021,Rest of Asia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Urea,2021,Rest of Asia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Ammonia,2021,Russia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Ammonium nitrate,2021,Russia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Urea,2021,Russia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Ammonia,2021,Europe,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0004018912564706285
Ammonium nitrate,2021,Europe,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0004018912564706285
Urea,2021,Europe,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0004018912564706285
Ammonia,2021,India,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Ammonium nitrate,2021,India,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Urea,2021,India,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031968000506576885
Ammonia,2021,Middle East,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007319865971523498
Ammonium nitrate,2021,Middle East,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007319865971523498
Urea,2021,Middle East,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007319865971523498
Ammonia,2021,Africa,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016592909393163934
Ammonium nitrate,2021,Africa,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016592909393163934
Urea,2021,Africa,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016592909393163934
Ammonia,2021,Latin America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007180498655569702
Ammonium nitrate,2021,Latin America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007180498655569702
Urea,2021,Latin America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007180498655569702
Ammonia,2021,Oceania,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003241566338701669
Ammonium nitrate,2021,Oceania,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003241566338701669
Urea,2021,Oceania,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003241566338701669
Ammonia,2021,Brazil,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,Brazil,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,Brazil,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,Brazil,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007180498655569702
Ammonium nitrate,2021,Brazil,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007180498655569702
Urea,2021,Brazil,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007180498655569702
Ammonia,2021,Saudi Arabia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,Saudi Arabia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,Saudi Arabia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,Saudi Arabia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007319865971523498
Ammonium nitrate,2021,Saudi Arabia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007319865971523498
Urea,2021,Saudi Arabia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007319865971523498
Ammonia,2021,Namibia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,Namibia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,Namibia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,Namibia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016592909393163934
Ammonium nitrate,2021,Namibia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016592909393163934
Urea,2021,Namibia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016592909393163934
Ammonia,2021,Australia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonium nitrate,2021,Australia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Urea,2021,Australia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003332
Ammonia,2021,Australia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003241566338701669
Ammonium nitrate,2021,Australia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003241566338701669
Urea,2021,Australia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003241566338701669
Ammonia,2022,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,China,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Ammonium nitrate,2022,China,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Urea,2022,China,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Ammonia,2022,North America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003691874906146464
Ammonium nitrate,2022,North America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003691874906146464
Urea,2022,North America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003691874906146464
Ammonia,2022,Rest of Asia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Ammonium nitrate,2022,Rest of Asia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Urea,2022,Rest of Asia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Ammonia,2022,Russia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Ammonium nitrate,2022,Russia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Urea,2022,Russia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Ammonia,2022,Europe,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00039368939409367687
Ammonium nitrate,2022,Europe,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00039368939409367687
Urea,2022,Europe,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00039368939409367687
Ammonia,2022,India,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Ammonium nitrate,2022,India,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Urea,2022,India,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0003131559233297328
Ammonia,2022,Middle East,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007170480951696487
Ammonium nitrate,2022,Middle East,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007170480951696487
Urea,2022,Middle East,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007170480951696487
Ammonia,2022,Africa,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016254278589221815
Ammonium nitrate,2022,Africa,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016254278589221815
Urea,2022,Africa,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016254278589221815
Ammonia,2022,Latin America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007033957866680524
Ammonium nitrate,2022,Latin America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007033957866680524
Urea,2022,Latin America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007033957866680524
Ammonia,2022,Oceania,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031754119236261245
Ammonium nitrate,2022,Oceania,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031754119236261245
Urea,2022,Oceania,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031754119236261245
Ammonia,2022,Brazil,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,Brazil,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,Brazil,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,Brazil,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007033957866680524
Ammonium nitrate,2022,Brazil,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007033957866680524
Urea,2022,Brazil,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007033957866680524
Ammonia,2022,Saudi Arabia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,Saudi Arabia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,Saudi Arabia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,Saudi Arabia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007170480951696487
Ammonium nitrate,2022,Saudi Arabia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007170480951696487
Urea,2022,Saudi Arabia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0007170480951696487
Ammonia,2022,Namibia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,Namibia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,Namibia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,Namibia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016254278589221815
Ammonium nitrate,2022,Namibia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016254278589221815
Urea,2022,Namibia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.0016254278589221815
Ammonia,2022,Australia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonium nitrate,2022,Australia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Urea,2022,Australia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003264
Ammonia,2022,Australia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031754119236261245
Ammonium nitrate,2022,Australia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031754119236261245
Urea,2022,Australia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00031754119236261245
Ammonia,2023,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonium nitrate,2023,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Urea,2023,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonia,2023,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonium nitrate,2023,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Urea,2023,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonia,2023,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonium nitrate,2023,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Urea,2023,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonia,2023,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonium nitrate,2023,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Urea,2023,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonia,2023,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonium nitrate,2023,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Urea,2023,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonia,2023,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonium nitrate,2023,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Urea,2023,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonia,2023,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonium nitrate,2023,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Urea,2023,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonia,2023,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonium nitrate,2023,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Urea,2023,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonia,2023,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonium nitrate,2023,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Urea,2023,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonia,2023,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonium nitrate,2023,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Urea,2023,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.0003196
Ammonia,2023,China,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00030663184159369667
Ammonium nitrate,2023,China,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00030663184159369667
Urea,2023,China,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00030663184159369667
Ammonia,2023,North America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00036149608456017456
Ammonium nitrate,2023,North America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00036149608456017456
Urea,2023,North America,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00036149608456017456
Ammonia,2023,Rest of Asia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00030663184159369667
Ammonium nitrate,2023,Rest of Asia,3_upstream,,tCH4/GJ,Natural gas,Fossil,0.00030663184159369667
