product,technology,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Aluminium,Carbon Anode + Hydro,2020,Rest of Asia,2.74,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,Rest of Asia,2.74,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,Rest of Asia,3.2,,5.41,,
Aluminium,Carbon Anode+CCS + Grid,2020,Rest of Asia,3.2,,10.83,,
Aluminium,Carbon Anode+CCS + Coal,2020,Rest of Asia,17.81,,0,,
Aluminium,Carbon Anode+CCS + Natural gas,2020,Rest of Asia,11.23,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,Rest of Asia,4.66,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,Rest of Asia,4,,0,,
Aluminium,Carbon Anode+CCS + Hydro,2020,Rest of Asia,3.2,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,Rest of Asia,3.2,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,Rest of Asia,2.74,,5.41,,
Aluminium,Inert Anode + Grid,2020,Rest of Asia,2.74,,10.83,,
Aluminium,Inert Anode + Coal,2020,Rest of Asia,17.35,,0,,
Aluminium,Inert Anode + Natural gas,2020,Rest of Asia,10.77,,0,,
Aluminium,Inert Anode + Coal+CCS,2020,Rest of Asia,4.2,,0,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,Rest of Asia,3.54,,0,,
Aluminium,Inert Anode + Hydro,2020,Rest of Asia,2.74,,0,,
Aluminium,Inert Anode + Small Modular Reactor,2020,Rest of Asia,2.74,,0,,
Aluminium,Carbon Anode + PPA+Grid,2020,North America,2.74,,2.96,,
Aluminium,Carbon Anode + Grid,2020,North America,2.74,,5.92,,
Aluminium,Carbon Anode + Coal,2020,North America,18.04,,0,,
Aluminium,Carbon Anode + Natural gas,2020,North America,11.15,,0,,
Aluminium,Carbon Anode + Coal+CCS,2020,North America,4.27,,0,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,North America,3.58,,0,,
Aluminium,Carbon Anode + Hydro,2020,North America,2.74,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,North America,2.74,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,North America,3.2,,2.96,,
Aluminium,Carbon Anode+CCS + Grid,2020,North America,3.2,,5.92,,
Aluminium,Carbon Anode+CCS + Coal,2020,North America,18.5,,0,,
Aluminium,Carbon Anode+CCS + Natural gas,2020,North America,11.61,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,North America,4.73,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,North America,4.04,,0,,
