,shorthand,region,country,coordinates,product,technology,annual_production_capacity,year,capacity_factor,ppa_allowed
0,Alum,South America,Argentina,"-42.737502, -65.046776",Aluminium,Carbon Anode + Natural Gas,0.46,1971,0.8192,TRUE
1,Alum,Oceania,Australia,"-23.928241, 151.339019",Aluminium,Carbon Anode + Grid,0.585,1982,0.8717,TRUE
2,Alum,Oceania,Australia,"-38.386151, 141.631294",Aluminium,Carbon Anode + Grid,0.358,1986,0,TRUE
3,Alum,Oceania,Australia,"-41.124719, 146.869574",Aluminium,Carbon Anode + PPA+Grid,0.195,1955,0.9692,FALSE
4,Alum,Oceania,Australia,"-32.821857, 151.720009",Aluminium,Carbon Anode + Grid,0.597,1983,0.99,FALSE
5,Alum,Middle East,Azerbaijan,"40.690544, 46.423296",Aluminium,Carbon Anode + Grid,0.055,2013,0.9449,FALSE
6,Alum,Middle East,Bahrain,"26.088486, 50.604081",Aluminium,Carbon Anode + Natural Gas,1.561,1971,0.9872,TRUE
7,Alum,Rest of Europe,Bosnia and Herzegovina,"43.280119, 17.824988",Aluminium,Carbon Anode + Grid,0.35,1975,0,FALSE
8,Alum,South America,Brazil,"-2.707227, -44.331490",Aluminium,Carbon Anode + PPA+Grid,0.447,2023,0,FALSE
9,Alum,South America,Brazil,"-1.557386, -48.734998",Aluminium,Carbon Anode + PPA+Grid,0.46,1985,0.9283,FALSE
10,Alum,South America,Brazil,"-23.532415, -47.267933",Aluminium,Carbon Anode + Hydro,0.475,1955,0.6463,FALSE
11,Alum,Africa,Cameroon,"3.819955, 10.124405",Aluminium,Carbon Anode + Grid,0.1,1954,0.493,FALSE
12,Alum,Canada,Canada,"46.694846, -71.948122",Aluminium,Carbon Anode + PPA+Grid,0.287,1992,0,FALSE
13,Alum,Canada,Canada,"49.254464, -68.149013",Aluminium,Carbon Anode + PPA+Grid,0.312,1957,0,FALSE
14,Alum,Canada,Canada,"50.158517, -66.440542",Aluminium,Carbon Anode + PPA+Grid,0.622,1992,1.0113,FALSE
15,Alum,Canada,Canada,"48.585317, -71.689234",Aluminium,Carbon Anode + Hydro,0.473,2000,0.9958,FALSE
16,Alum,Canada,Canada,"48.430413, -71.165668",Aluminium,Carbon Anode + Hydro,0.174,1926,0.9655,FALSE
17,Alum,Canada,Canada,"48.430413, -71.165668",Aluminium,Carbon Anode + Hydro,0.06,1926,0.9655,FALSE
18,Alum,Canada,Canada,"48.305907, -70.925449",Aluminium,Carbon Anode + Hydro,0.233,1980,0.9954,FALSE
19,Alum,Canada,Canada,"54.014473, -128.701677",Aluminium,Carbon Anode + Hydro,0.432,1954,0.7616,FALSE
20,Alum,Canada,Canada,"48.300538, -71.129035",Aluminium,Carbon Anode + Hydro,0.257,1989,0.9727,FALSE
