product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Carbon Anode+CCS + Grid,China - North,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - North,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,China - North,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - North,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,China - North,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - North,30,7%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,China - North,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,China - North,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,China - North,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,China - North,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,China - North,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,China - North,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,China - North,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,China - North,30,7%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,China - North East,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,China - North East,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,China - North East,0,9%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - North East,60,7%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,China - North East,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,China - North East,0,9%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,China - North East,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,China - North East,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,China - North East,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - North East,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,China - North East,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - North East,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,China - North East,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - North East,30,7%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,China - North East,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,China - North East,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,China - North East,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,China - North East,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,China - North East,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,China - North East,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,China - North East,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,China - North East,30,7%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,China - North West,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,China - North West,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,China - North West,0,9%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - North West,60,7%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,China - North West,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,China - North West,0,9%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,China - North West,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,China - North West,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,China - North West,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - North West,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,China - North West,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - North West,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,China - North West,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - North West,30,7%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,China - North West,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,China - North West,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,China - North West,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,China - North West,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,China - North West,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,China - North West,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,China - North West,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,China - North West,30,7%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,China - South,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,China - South,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,China - South,0,9%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - South,60,7%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,China - South,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,China - South,0,9%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,China - South,30,9%,transition,,2030,,2020
