,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,greenfield_bau_score,greenfield_bau_score_binned,greenfield_bau_ranking
4526,4526,Ammonia,New-build,North America,greenfield,Coal Gasification + ammonia synthesis,2038,295.3830833105142,410.4295872,2175.0,0.0,0.0,-3.5948,-0.03893483,-0.48548192,0.0,0.8057738939329978,-3.1192167500000005,0.853152082951436,0.8057738939329978,9,3541.0
4527,4527,Ammonia,New-build,Oceania,greenfield,Coal Gasification + ammonia synthesis,2038,301.8073831316938,420.2845937,2175.0,0.0,0.0,-3.5948,-0.194275983,-0.48548192,0.0,0.7981648598667043,-3.274557903,0.8853255849284871,0.7981648598667043,9,3771.0
4528,4528,Ammonia,New-build,Rest of Asia,greenfield,Coal Gasification + ammonia synthesis,2038,296.73718270254693,409.1317308,2175.0,0.0,0.0,-3.5948,-0.240580104,-0.48548192,0.0,0.8041700789352675,-3.320862024,0.8949158686348218,0.8041700789352675,9,3573.0
4529,4529,Ammonia,New-build,Russia,greenfield,Coal Gasification + ammonia synthesis,2038,300.33102425140123,420.9229747,2175.0,0.0,0.0,-3.5948,-0.020243601,-0.48548192,0.0,0.7999134807790076,-3.100525521,0.8492808467621111,0.7999134807790076,9,3697.0
4530,4530,Ammonia,New-build,Africa,greenfield,Coal Gasification + ammonia synthesis,2039,323.20284946518234,464.2654443,2175.0,0.0,0.0,-3.5948,-0.178228601,-0.48548192,0.0,0.7728237586218596,-3.258510521,0.8820019294351904,0.7728237586218596,8,4338.0
4531,4531,Ammonia,New-build,China,greenfield,Coal Gasification + ammonia synthesis,2039,339.08106556620567,495.8011495,2175.0,0.0,0.0,-3.5948,-0.220605242,-0.48548192,0.0,0.7540173687291674,-3.3008871620000004,0.8907787726390921,0.7540173687291674,8,4521.0
4532,4532,Ammonia,New-build,Europe,greenfield,Coal Gasification + ammonia synthesis,2039,314.0433258059196,448.8545061,2175.0,0.0,0.0,-3.5948,-0.0101218,-0.48548192,0.0,0.7836724315503212,-3.0904037200000003,0.8471844687051979,0.7836724315503212,8,4091.0
4533,4533,Ammonia,New-build,India,greenfield,Coal Gasification + ammonia synthesis,2039,335.6333769651824,489.5224771,2175.0,0.0,0.0,-3.5948,-0.178228601,-0.48548192,0.0,0.7581008612101178,-3.258510521,0.8820019294351904,0.7581008612101178,8,4464.0
4534,4534,Ammonia,New-build,Latin America,greenfield,Coal Gasification + ammonia synthesis,2039,303.08194846518234,423.3826857,2175.0,0.0,0.0,-3.5948,-0.178228601,-0.48548192,0.0,0.7966552461637046,-3.258510521,0.8820019294351904,0.7966552461637046,9,3833.0
4535,4535,Ammonia,New-build,Middle East,greenfield,Coal Gasification + ammonia synthesis,2039,304.69420016518234,426.6585478,2175.0,0.0,0.0,-3.5948,-0.178228601,-0.48548192,0.0,0.794745671820942,-3.258510521,0.8820019294351904,0.794745671820942,9,3883.0
4536,4536,Ammonia,New-build,North America,greenfield,Coal Gasification + ammonia synthesis,2039,295.3195350061136,410.4147512,2175.0,0.0,0.0,-3.5948,-0.029344696,-0.48548192,0.0,0.8058491614682155,-3.109626616,0.8511658211705079,0.8058491614682155,9,3540.0
4537,4537,Ammonia,New-build,Oceania,greenfield,Coal Gasification + ammonia synthesis,2039,301.52782226518235,420.2249261,2175.0,0.0,0.0,-3.5948,-0.178228601,-0.48548192,0.0,0.7984959758195861,-3.258510521,0.8820019294351904,0.7984959758195861,9,3753.0
4538,4538,Ammonia,New-build,Rest of Asia,greenfield,Coal Gasification + ammonia synthesis,2039,295.58587296620567,407.4252133,2175.0,0.0,0.0,-3.5948,-0.220605242,-0.48548192,0.0,0.8055337069178524,-3.3008871620000004,0.8907787726390921,0.8055337069178524,9,3546.0
4539,4539,Ammonia,New-build,Russia,greenfield,Coal Gasification + ammonia synthesis,2039,300.2508754059196,420.830243,2175.0,0.0,0.0,-3.5948,-0.0101218,-0.48548192,0.0,0.8000084102363212,-3.0904037200000003,0.8471844687051979,0.8000084102363212,9,3689.0
4540,4540,Ammonia,New-build,Africa,greenfield,Coal Gasification + ammonia synthesis,2040,322.9014491065398,464.1312682,2175.0,0.0,0.0,-3.5948,-0.162181219,-0.48548192,0.0,0.7731807415865934,-3.242463139,0.8786782739418937,0.7731807415865934,8,4335.0
4541,4541,Ammonia,New-build,China,greenfield,Coal Gasification + ammonia synthesis,2040,338.12490107028043,494.4536297,2175.0,0.0,0.0,-3.5948,-0.20063038,-0.48548192,0.0,0.755149863853148,-3.2809123,0.8866416766433624,0.755149863853148,8,4510.0
4542,4542,Ammonia,New-build,Europe,greenfield,Coal Gasification + ammonia synthesis,2040,313.97302076205995,448.7477372,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.7837557018659432,-3.08028192,0.8450880908553997,0.7837557018659432,8,4090.0
4543,4543,Ammonia,New-build,India,greenfield,Coal Gasification + ammonia synthesis,2040,335.3472157065398,489.4192647,2175.0,0.0,0.0,-3.5948,-0.162181219,-0.48548192,0.0,0.7584397947633568,-3.242463139,0.8786782739418937,0.7584397947633568,8,4462.0
4544,4544,Ammonia,New-build,Latin America,greenfield,Coal Gasification + ammonia synthesis,2040,302.7805482065398,423.2485096,2175.0,0.0,0.0,-3.5948,-0.162181219,-0.48548192,0.0,0.7970122290099971,-3.242463139,0.8786782739418937,0.7970122290099971,9,3820.0
4545,4545,Ammonia,New-build,Middle East,greenfield,Coal Gasification + ammonia synthesis,2040,304.3927998065398,426.5243716,2175.0,0.0,0.0,-3.5948,-0.162181219,-0.48548192,0.0,0.7951026547856759,-3.242463139,0.8786782739418937,0.7951026547856759,9,3874.0
4546,4546,Ammonia,New-build,North America,greenfield,Coal Gasification + ammonia synthesis,2040,295.2586026897296,410.375851,2175.0,0.0,0.0,-3.5948,-0.019754562,-0.48548192,0.0,0.8059213305892107,-3.100036482,0.8491795593895799,0.8059213305892107,9,3537.0
4547,4547,Ammonia,New-build,Oceania,greenfield,Coal Gasification + ammonia synthesis,2040,301.2264219065398,420.09075,2175.0,0.0,0.0,-3.5948,-0.162181219,-0.48548192,0.0,0.79885295878432,-3.242463139,0.8786782739418937,0.79885295878432,9,3730.0
4548,4548,Ammonia,New-build,Rest of Asia,greenfield,Coal Gasification + ammonia synthesis,2040,294.4307494702804,405.6734375,2175.0,0.0,0.0,-3.5948,-0.20063038,-0.48548192,0.0,0.8069018519727104,-3.2809123,0.8866416766433624,0.8069018519727104,9,3514.0
4549,4549,Ammonia,New-build,Russia,greenfield,Coal Gasification + ammonia synthesis,2040,300.16480606205994,420.6914433,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.8001103520179504,-3.08028192,0.8450880908553997,0.8001103520179504,9,3682.0
4550,4550,Ammonia,New-build,Africa,greenfield,Coal Gasification + ammonia synthesis,2041,322.5768990042384,463.9181129,2175.0,0.0,0.0,-3.5948,-0.146133836,-0.48548192,0.0,0.7735651434441296,-3.2264157560000006,0.875354618241482,0.7735651434441296,8,4332.0
4551,4551,Ammonia,New-build,China,greenfield,Coal Gasification + ammonia synthesis,2041,337.17014254719606,493.0692069,2175.0,0.0,0.0,-3.5948,-0.180655518,-0.48548192,0.0,0.7562806937224642,-3.260937438,0.8825045806476327,0.7562806937224642,8,4477.0
4552,4552,Ammonia,New-build,Europe,greenfield,Coal Gasification + ammonia synthesis,2041,313.9019861620599,448.6034052,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.7838398362784599,-3.08028192,0.8450880908553997,0.7838398362784599,8,4089.0
4553,4553,Ammonia,New-build,India,greenfield,Coal Gasification + ammonia synthesis,2041,335.0468749042384,489.2552991,2175.0,0.0,0.0,-3.5948,-0.146133836,-0.48548192,0.0,0.7587955227741627,-3.2264157560000006,0.875354618241482,0.7587955227741627,8,4461.0
4554,4554,Ammonia,New-build,Latin America,greenfield,Coal Gasification + ammonia synthesis,2041,302.45599810423835,423.0353543,2175.0,0.0,0.0,-3.5948,-0.146133836,-0.48548192,0.0,0.7973966308675333,-3.2264157560000006,0.875354618241482,0.7973966308675333,9,3808.0
4555,4555,Ammonia,New-build,Middle East,greenfield,Coal Gasification + ammonia synthesis,2041,304.0682497042384,426.3112164,2175.0,0.0,0.0,-3.5948,-0.146133836,-0.48548192,0.0,0.795487056643212,-3.2264157560000006,0.875354618241482,0.795487056643212,9,3863.0
4556,4556,Ammonia,New-build,North America,greenfield,Coal Gasification + ammonia synthesis,2041,295.20044343064336,410.3114427,2175.0,0.0,0.0,-3.5948,-0.018007859,-0.48548192,0.0,0.8059902152608442,-3.098289779,0.8488177907832671,0.8059902152608442,9,3536.0
4557,4557,Ammonia,New-build,Oceania,greenfield,Coal Gasification + ammonia synthesis,2041,300.90187180423834,419.8775947,2175.0,0.0,0.0,-3.5948,-0.146133836,-0.48548192,0.0,0.7992373606418562,-3.2264157560000006,0.875354618241482,0.7992373606418562,9,3724.0
4558,4558,Ammonia,New-build,Rest of Asia,greenfield,Coal Gasification + ammonia synthesis,2041,293.2715833471961,403.8736878,2175.0,0.0,0.0,-3.5948,-0.180655518,-0.48548192,0.0,0.8082747851739229,-3.260937438,0.8825045806476327,0.8082747851739229,9,3506.0
4559,4559,Ammonia,New-build,Russia,greenfield,Coal Gasification + ammonia synthesis,2041,300.0724610620599,420.5038117,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.8002197267779103,-3.08028192,0.8450880908553997,0.8002197267779103,9,3671.0
4560,4560,Ammonia,New-build,Africa,greenfield,Coal Gasification + ammonia synthesis,2042,322.28672729951813,463.740951,2175.0,0.0,0.0,-3.5948,-0.130086454,-0.48548192,0.0,0.7739088270279829,-3.2103683740000006,0.8720309627481853,0.7739088270279829,8,4329.0
4561,4561,Ammonia,New-build,China,greenfield,Coal Gasification + ammonia synthesis,2042,336.27914748732326,491.7721967,2175.0,0.0,0.0,-3.5948,-0.160680655,-0.48548192,0.0,0.7573360012193404,-3.240962575,0.878367484444788,0.7573360012193404,8,4469.0
4562,4562,Ammonia,New-build,Europe,greenfield,Coal Gasification + ammonia synthesis,2042,313.8330296620599,448.4632956,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.7839215093591375,-3.08028192,0.8450880908553997,0.7839215093591375,8,4088.0
4563,4563,Ammonia,New-build,India,greenfield,Coal Gasification + ammonia synthesis,2042,334.77682439951815,489.1190207,2175.0,0.0,0.0,-3.5948,-0.130086454,-0.48548192,0.0,0.7591153745163342,-3.2103683740000006,0.8720309627481853,0.7591153745163342,8,4460.0
4564,4564,Ammonia,New-build,Latin America,greenfield,Coal Gasification + ammonia synthesis,2042,302.1658263995181,422.8581924,2175.0,0.0,0.0,-3.5948,-0.130086454,-0.48548192,0.0,0.7977403144513866,-3.2103683740000006,0.8720309627481853,0.7977403144513866,9,3795.0
4565,4565,Ammonia,New-build,Middle East,greenfield,Coal Gasification + ammonia synthesis,2042,303.77807799951813,426.1340545,2175.0,0.0,0.0,-3.5948,-0.130086454,-0.48548192,0.0,0.7958307402270652,-3.2103683740000006,0.8720309627481853,0.7958307402270652,8,3859.0
4566,4566,Ammonia,New-build,North America,greenfield,Coal Gasification + ammonia synthesis,2042,295.1398312227136,410.2386763,2175.0,0.0,0.0,-3.5948,-0.016261156,-0.48548192,0.0,0.8060620052407343,-3.0965430760000006,0.8484560221769546,0.8060620052407343,9,3535.0
4567,4567,Ammonia,New-build,Oceania,greenfield,Coal Gasification + ammonia synthesis,2042,300.61170009951815,419.7004328,2175.0,0.0,0.0,-3.5948,-0.130086454,-0.48548192,0.0,0.7995810442257094,-3.2103683740000006,0.8720309627481853,0.7995810442257094,9,3710.0
4568,4568,Ammonia,New-build,Rest of Asia,greenfield,Coal Gasification + ammonia synthesis,2042,292.18908688732324,402.1875747,2175.0,0.0,0.0,-3.5948,-0.160680655,-0.48548192,0.0,0.8095569097118624,-3.240962575,0.878367484444788,0.8095569097118624,9,3499.0
4569,4569,Ammonia,New-build,Russia,greenfield,Coal Gasification + ammonia synthesis,2042,299.9828176620599,420.3216692,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.8003259017235705,-3.08028192,0.8450880908553997,0.8003259017235705,9,3669.0
4570,4570,Ammonia,New-build,Africa,greenfield,Coal Gasification + ammonia synthesis,2043,322.03299662437433,463.6019419,2175.0,0.0,0.0,-3.5948,-0.114039072,-0.48548192,0.0,0.7742093493268438,-3.1943209920000006,0.8687073072548885,0.7742093493268438,8,4328.0
4571,4571,Ammonia,New-build,China,greenfield,Coal Gasification + ammonia synthesis,2043,335.4557415283141,490.5678441,2175.0,0.0,0.0,-3.5948,-0.140705793,-0.48548192,0.0,0.7583112552029473,-3.2209877130000004,0.8742303884490584,0.7583112552029473,8,4463.0
4572,4572,Ammonia,New-build,Europe,greenfield,Coal Gasification + ammonia synthesis,2043,313.7662759620599,448.3276616,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.7840005734114839,-3.08028192,0.8450880908553997,0.7840005734114839,8,4087.0
4573,4573,Ammonia,New-build,India,greenfield,Coal Gasification + ammonia synthesis,2043,334.5388818243744,489.0120907,2175.0,0.0,0.0,-3.5948,-0.114039072,-0.48548192,0.0,0.7593971971601219,-3.1943209920000006,0.8687073072548885,0.7593971971601219,8,4457.0
4574,4574,Ammonia,New-build,Latin America,greenfield,Coal Gasification + ammonia synthesis,2043,301.91209572437435,422.7191833,2175.0,0.0,0.0,-3.5948,-0.114039072,-0.48548192,0.0,0.7980408367502474,-3.1943209920000006,0.8687073072548885,0.7980408367502474,9,3779.0
4575,4575,Ammonia,New-build,Middle East,greenfield,Coal Gasification + ammonia synthesis,2043,303.52434742437435,425.9950454,2175.0,0.0,0.0,-3.5948,-0.114039072,-0.48548192,0.0,0.7961312624074848,-3.1943209920000006,0.8687073072548885,0.7961312624074848,8,3851.0
4576,4576,Ammonia,New-build,North America,greenfield,Coal Gasification + ammonia synthesis,2043,295.0766190050099,410.1570503,2175.0,0.0,0.0,-3.5948,-0.014514454,-0.48548192,0.0,0.8061368747099842,-3.0947963740000004,0.8480942537777569,0.8061368747099842,9,3533.0
4577,4577,Ammonia,New-build,Oceania,greenfield,Coal Gasification + ammonia synthesis,2043,300.3579695243743,419.5614237,2175.0,0.0,0.0,-3.5948,-0.114039072,-0.48548192,0.0,0.799881566406129,-3.1943209920000006,0.8687073072548885,0.799881566406129,9,3699.0
4578,4578,Ammonia,New-build,Rest of Asia,greenfield,Coal Gasification + ammonia synthesis,2043,291.1878603283141,400.6219162,2175.0,0.0,0.0,-3.5948,-0.140705793,-0.48548192,0.0,0.8107427769982027,-3.2209877130000004,0.8742303884490584,0.8107427769982027,9,3491.0
4579,4579,Ammonia,New-build,Russia,greenfield,Coal Gasification + ammonia synthesis,2043,299.89603776206,420.1453451,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.8004286850982181,-3.08028192,0.8450880908553997,0.8004286850982181,9,3664.0
4580,4580,Ammonia,New-build,Africa,greenfield,Coal Gasification + ammonia synthesis,2044,321.8178936025816,463.503375,2175.0,0.0,0.0,-3.5948,-0.097991689,-0.48548192,0.0,0.7744641204717377,-3.1782736090000006,0.8653836515544766,0.7744641204717377,8,4323.0
4581,4581,Ammonia,New-build,China,greenfield,Coal Gasification + ammonia synthesis,2044,334.703980176361,489.4617083,2175.0,0.0,0.0,-3.5948,-0.120730931,-0.48548192,0.0,0.7592016522728157,-3.2010128510000007,0.8700932924533289,0.7592016522728157,8,4459.0
4582,4582,Ammonia,New-build,Europe,greenfield,Coal Gasification + ammonia synthesis,2044,313.7018571620599,448.196772,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.7840768719743396,-3.08028192,0.8450880908553997,0.7840768719743396,8,4085.0
4583,4583,Ammonia,New-build,India,greenfield,Coal Gasification + ammonia synthesis,2044,334.3349736025816,488.9362699,2175.0,0.0,0.0,-3.5948,-0.097991689,-0.48548192,0.0,0.7596387090212128,-3.1782736090000006,0.8653836515544766,0.7596387090212128,8,4456.0
4584,4584,Ammonia,New-build,Latin America,greenfield,Coal Gasification + ammonia synthesis,2044,301.6969927025816,422.6206163,2175.0,0.0,0.0,-3.5948,-0.097991689,-0.48548192,0.0,0.7982956078951413,-3.1782736090000006,0.8653836515544766,0.7982956078951413,9,3765.0
4585,4585,Ammonia,New-build,Middle East,greenfield,Coal Gasification + ammonia synthesis,2044,303.3092444025816,425.8964784,2175.0,0.0,0.0,-3.5948,-0.097991689,-0.48548192,0.0,0.7963860335523787,-3.1782736090000006,0.8653836515544766,0.7963860335523787,8,3841.0
4586,4586,Ammonia,New-build,North America,greenfield,Coal Gasification + ammonia synthesis,2044,295.01065069308606,410.0660331,2175.0,0.0,0.0,-3.5948,-0.012767751,-0.48548192,0.0,0.80621500853728,-3.093049671,0.8477324851714442,0.80621500853728,9,3532.0
4587,4587,Ammonia,New-build,Oceania,greenfield,Coal Gasification + ammonia synthesis,2044,300.1428664025816,419.4628567,2175.0,0.0,0.0,-3.5948,-0.097991689,-0.48548192,0.0,0.8001363376694642,-3.1782736090000006,0.8653836515544766,0.8001363376694642,9,3677.0
4588,4588,Ammonia,New-build,Rest of Asia,greenfield,Coal Gasification + ammonia synthesis,2044,290.27277987636097,399.1839397,2175.0,0.0,0.0,-3.5948,-0.120730931,-0.48548192,0.0,0.8118266115834685,-3.2010128510000007,0.8700932924533289,0.8118266115834685,9,3477.0
4589,4589,Ammonia,New-build,Russia,greenfield,Coal Gasification + ammonia synthesis,2044,299.81229336206,419.9751886,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.8005278731825538,-3.08028192,0.8450880908553997,0.8005278731825538,9,3662.0
4590,4590,Ammonia,New-build,Africa,greenfield,Coal Gasification + ammonia synthesis,2045,321.6437357492005,463.4476766,2175.0,0.0,0.0,-3.5948,-0.081944307,-0.48548192,0.0,0.7746703955641486,-3.1622262270000006,0.8620599960611799,0.7746703955641486,8,4320.0
4591,4591,Ammonia,New-build,China,greenfield,Coal Gasification + ammonia synthesis,2045,334.02816199188715,488.4596824,2175.0,0.0,0.0,-3.5948,-0.100756069,-0.48548192,0.0,0.7600021011515135,-3.181037989,0.865956196457599,0.7600021011515135,8,4451.0
4592,4592,Ammonia,New-build,Europe,greenfield,Coal Gasification + ammonia synthesis,2045,313.63991336206,448.0709112,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.7841502391112284,-3.08028192,0.8450880908553997,0.7841502391112284,8,4084.0
4593,4593,Ammonia,New-build,India,greenfield,Coal Gasification + ammonia synthesis,2045,334.16714174920054,488.893425,2175.0,0.0,0.0,-3.5948,-0.081944307,-0.48548192,0.0,0.7598374915072941,-3.1622262270000006,0.8620599960611799,0.7598374915072941,8,4453.0
4594,4594,Ammonia,New-build,Latin America,greenfield,Coal Gasification + ammonia synthesis,2045,301.52283484920054,422.5649179,2175.0,0.0,0.0,-3.5948,-0.081944307,-0.48548192,0.0,0.7985018829875522,-3.1622262270000006,0.8620599960611799,0.7985018829875522,8,3750.0
4595,4595,Ammonia,New-build,Middle East,greenfield,Coal Gasification + ammonia synthesis,2045,303.13508654920054,425.84078,2175.0,0.0,0.0,-3.5948,-0.081944307,-0.48548192,0.0,0.7965923086447895,-3.1622262270000006,0.8620599960611799,0.7965923086447895,8,3835.0
4596,4596,Ammonia,New-build,North America,greenfield,Coal Gasification + ammonia synthesis,2045,294.9417608431485,409.9650613,2175.0,0.0,0.0,-3.5948,-0.011021049,-0.48548192,0.0,0.8062966026766551,-3.091302969,0.8473707167722465,0.8062966026766551,9,3525.0
4597,4597,Ammonia,New-build,Oceania,greenfield,Coal Gasification + ammonia synthesis,2045,299.9687085492005,419.4071583,2175.0,0.0,0.0,-3.5948,-0.081944307,-0.48548192,0.0,0.8003426127618751,-3.1622262270000006,0.8620599960611799,0.8003426127618751,9,3668.0
4598,4598,Ammonia,New-build,Rest of Asia,greenfield,Coal Gasification + ammonia synthesis,2045,289.4490141918872,397.881306,2175.0,0.0,0.0,-3.5948,-0.100756069,-0.48548192,0.0,0.812802291631143,-3.181037989,0.865956196457599,0.812802291631143,9,3458.0
4599,4599,Ammonia,New-build,Russia,greenfield,Coal Gasification + ammonia synthesis,2045,299.73176646206,419.8115696,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.8006232504131328,-3.08028192,0.8450880908553997,0.8006232504131328,9,3658.0
4600,4600,Ammonia,New-build,Africa,greenfield,Coal Gasification + ammonia synthesis,2046,321.5129798804763,463.4374188,2175.0,0.0,0.0,-3.5948,-0.065896925,-0.48548192,0.0,0.7748252647152132,-3.1461788450000006,0.8587363405678832,0.7748252647152132,8,4315.0
4601,4601,Ammonia,New-build,China,greenfield,Coal Gasification + ammonia synthesis,2046,333.43284363694136,487.568013,2175.0,0.0,0.0,-3.5948,-0.080781207,-0.48548192,0.0,0.7607072048622927,-3.1610631270000003,0.8618191004618695,0.7607072048622927,8,4441.0
4602,4602,Ammonia,New-build,Europe,greenfield,Coal Gasification + ammonia synthesis,2046,313.5805931620599,447.9503811,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.7842204988181511,-3.08028192,0.8450880908553997,0.7842204988181511,8,4083.0
4603,4603,Ammonia,New-build,India,greenfield,Coal Gasification + ammonia synthesis,2046,334.03755088047626,488.8855344,2175.0,0.0,0.0,-3.5948,-0.065896925,-0.48548192,0.0,0.7599909808154289,-3.1461788450000006,0.8587363405678832,0.7599909808154289,8,4452.0
4604,4604,Ammonia,New-build,Latin America,greenfield,Coal Gasification + ammonia synthesis,2046,301.3920788804763,422.5546602,2175.0,0.0,0.0,-3.5948,-0.065896925,-0.48548192,0.0,0.7986567522570583,-3.1461788450000006,0.8587363405678832,0.7986567522570583,8,3738.0
4605,4605,Ammonia,New-build,Middle East,greenfield,Coal Gasification + ammonia synthesis,2046,303.0043305804763,425.8305223,2175.0,0.0,0.0,-3.5948,-0.065896925,-0.48548192,0.0,0.7967471779142956,-3.1461788450000006,0.8587363405678832,0.7967471779142956,8,3831.0
4606,4606,Ammonia,New-build,North America,greenfield,Coal Gasification + ammonia synthesis,2046,294.8697744250568,409.8535375,2175.0,0.0,0.0,-3.5948,-0.008838273,-0.48548192,0.0,0.8063818644363514,-3.0891201930000003,0.8469186308529959,0.8063818644363514,9,3524.0
4607,4607,Ammonia,New-build,Oceania,greenfield,Coal Gasification + ammonia synthesis,2046,299.8379526804763,419.3969006,2175.0,0.0,0.0,-3.5948,-0.065896925,-0.48548192,0.0,0.8004974819129398,-3.1461788450000006,0.8587363405678832,0.8004974819129398,9,3663.0
4608,4608,Ammonia,New-build,Rest of Asia,greenfield,Coal Gasification + ammonia synthesis,2046,288.72204233694134,396.7221358,2175.0,0.0,0.0,-3.5948,-0.080781207,-0.48548192,0.0,0.8136633276605144,-3.1610631270000003,0.8618191004618695,0.8136633276605144,9,3434.0
4609,4609,Ammonia,New-build,Russia,greenfield,Coal Gasification + ammonia synthesis,2046,299.65465016206,419.6548804,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.8007145880795088,-3.08028192,0.8450880908553997,0.8007145880795088,9,3654.0
4610,4610,Ammonia,New-build,Africa,greenfield,Coal Gasification + ammonia synthesis,2047,321.4054195634882,463.4289808,2175.0,0.0,0.0,-3.5948,-0.049849542,-0.48548192,0.0,0.7749526607177232,-3.1301314620000005,0.8554126848674714,0.7749526607177232,8,4312.0
4611,4611,Ammonia,New-build,China,greenfield,Coal Gasification + ammonia synthesis,2047,332.94313260929533,486.8345226,2175.0,0.0,0.0,-3.5948,-0.060806345,-0.48548192,0.0,0.7612872257199298,-3.1410882650000005,0.8576820044661398,0.7612872257199298,8,4438.0
4612,4612,Ammonia,New-build,Europe,greenfield,Coal Gasification + ammonia synthesis,2047,313.5317960620599,447.8512325,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.7842782948125118,-3.08028192,0.8450880908553997,0.7842782948125118,8,4082.0
4613,4613,Ammonia,New-build,India,greenfield,Coal Gasification + ammonia synthesis,2047,333.9309489634882,488.8790437,2175.0,0.0,0.0,-3.5948,-0.049849542,-0.48548192,0.0,0.7601172416750513,-3.1301314620000005,0.8554126848674714,0.7601172416750513,8,4450.0
4614,4614,Ammonia,New-build,Latin America,greenfield,Coal Gasification + ammonia synthesis,2047,301.28451866348826,422.5462222,2175.0,0.0,0.0,-3.5948,-0.049849542,-0.48548192,0.0,0.7987841481411267,-3.1301314620000005,0.8554126848674714,0.7987841481411267,8,3732.0
4615,4615,Ammonia,New-build,Middle East,greenfield,Coal Gasification + ammonia synthesis,2047,302.89677036348826,425.8220843,2175.0,0.0,0.0,-3.5948,-0.049849542,-0.48548192,0.0,0.796874573798364,-3.1301314620000005,0.8554126848674714,0.796874573798364,8,3825.0
4616,4616,Ammonia,New-build,North America,greenfield,Coal Gasification + ammonia synthesis,2047,294.8105580753533,409.7617976,2175.0,0.0,0.0,-3.5948,-0.006655496,-0.48548192,0.0,0.8064520011414738,-3.0869374160000005,0.8464665447266302,0.8064520011414738,9,3522.0
4617,4617,Ammonia,New-build,Oceania,greenfield,Coal Gasification + ammonia synthesis,2047,299.73039236348825,419.3884626,2175.0,0.0,0.0,-3.5948,-0.049849542,-0.48548192,0.0,0.8006248779154497,-3.1301314620000005,0.8554126848674714,0.8006248779154497,9,3657.0
4618,4618,Ammonia,New-build,Rest of Asia,greenfield,Coal Gasification + ammonia synthesis,2047,288.1240327092953,395.7685983,2175.0,0.0,0.0,-3.5948,-0.060806345,-0.48548192,0.0,0.8143716189537895,-3.1410882650000005,0.8576820044661398,0.8143716189537895,9,3419.0
4619,4619,Ammonia,New-build,Russia,greenfield,Coal Gasification + ammonia synthesis,2047,299.59121396205995,419.5259873,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.8007897228366454,-3.08028192,0.8450880908553997,0.8007897228366454,9,3652.0
4620,4620,Ammonia,New-build,Africa,greenfield,Coal Gasification + ammonia synthesis,2048,321.32244670320017,463.4224717,2175.0,0.0,0.0,-3.5948,-0.03380216,-0.48548192,0.0,0.7750509349792121,-3.1140840800000005,0.8520890293741746,0.7750509349792121,8,4309.0
4621,4621,Ammonia,New-build,China,greenfield,Coal Gasification + ammonia synthesis,2048,332.565365278587,486.2687018,2175.0,0.0,0.0,-3.5948,-0.040831482,-0.48548192,0.0,0.7617346588361451,-3.1211134020000006,0.8535449082632951,0.7617346588361451,8,4434.0
4622,4622,Ammonia,New-build,Europe,greenfield,Coal Gasification + ammonia synthesis,2048,313.49415366205994,447.7747485,2175.0,0.0,0.0,-3.5948,0.0,-0.48548192,0.0,0.7843228790180921,-3.08028192,0.8450880908553997,0.7843228790180921,8,4081.0
4623,4623,Ammonia,New-build,India,greenfield,Coal Gasification + ammonia synthesis,2048,333.8487153032001,488.8740366,2175.0,0.0,0.0,-3.5948,-0.03380216,-0.48548192,0.0,0.7602146404173182,-3.1140840800000005,0.8520890293741746,0.7602146404173182,8,4449.0
4624,4624,Ammonia,New-build,Latin America,greenfield,Coal Gasification + ammonia synthesis,2048,301.20154570320017,422.539713,2175.0,0.0,0.0,-3.5948,-0.03380216,-0.48548192,0.0,0.7988824225210571,-3.1140840800000005,0.8520890293741746,0.7988824225210571,8,3729.0
4625,4625,Ammonia,New-build,Middle East,greenfield,Coal Gasification + ammonia synthesis,2048,302.81379740320017,425.8155751,2175.0,0.0,0.0,-3.5948,-0.03380216,-0.48548192,0.0,0.7969728481782944,-3.1140840800000005,0.8520890293741746,0.7969728481782944,8,3822.0
