,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,greenfield_bau_score,greenfield_bau_score_binned,greenfield_bau_ranking
181,181,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2022,969.4477265,1969.777473,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.007401935014832439,1.0,0.0,0.007401935014832439,1,5206.0
188,188,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2022,598.006483,1215.062625,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.44734234160983,1.0,0.0,0.44734234160983,5,5071.0
195,195,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2022,676.9802751,1375.52594,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.3538046345974347,1.0,0.0,0.3538046345974347,4,5175.0
202,202,Ammonia,New-build,Rest of Asia,greenfield,Biomass Digestion + ammonia synthesis,2022,591.7801947,1202.411708,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4547168479529299,1.0,0.0,0.4547168479529299,5,5048.5
209,209,Ammonia,New-build,Russia,greenfield,Biomass Digestion + ammonia synthesis,2022,975.1717597,1981.40788,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0006223069109564383,1.0,0.0,0.0006223069109564383,1,5265.5
216,216,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2023,612.5137064,1244.539203,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4301597753955305,1.0,0.0,0.4301597753955305,5,5139.5
223,223,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2023,591.4572563,1201.755544,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4550993408868389,1.0,0.0,0.4550993408868389,5,5046.5
230,230,Ammonia,New-build,Europe,greenfield,Biomass Digestion + ammonia synthesis,2023,974.9316444,1980.92,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.000906702961638195,1.0,0.0,0.000906702961638195,1,5263.5
237,237,Ammonia,New-build,India,greenfield,Biomass Digestion + ammonia synthesis,2023,527.7663281,1072.344796,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.5305358018051074,1.0,0.0,0.5305358018051074,6,4955.0
244,244,Ammonia,New-build,Latin America,greenfield,Biomass Digestion + ammonia synthesis,2023,612.5137064,1244.539203,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4301597753955305,1.0,0.0,0.4301597753955305,5,5139.5
251,251,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2023,969.1919026,1969.257676,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.007704936559631892,1.0,0.0,0.007704936559631892,1,5205.0
258,258,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2023,597.7185643,1214.477615,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.44768335670215176,1.0,0.0,0.44768335670215176,5,5066.0
265,265,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2023,676.7244512,1375.006143,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.35410763614223406,1.0,0.0,0.35410763614223406,4,5174.0
272,272,Ammonia,New-build,Rest of Asia,greenfield,Biomass Digestion + ammonia synthesis,2023,591.4572563,1201.755544,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4550993408868389,1.0,0.0,0.4550993408868389,5,5046.5
279,279,Ammonia,New-build,Russia,greenfield,Biomass Digestion + ammonia synthesis,2023,974.9316444,1980.92,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.000906702961638195,1.0,0.0,0.000906702961638195,1,5263.5
286,286,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2024,612.2434536,1243.990088,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.43047986673917116,1.0,0.0,0.43047986673917116,5,5137.5
293,293,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2024,591.1125155,1201.05508,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.45550765690014106,1.0,0.0,0.45550765690014106,5,5044.5
300,300,Ammonia,New-build,Europe,greenfield,Biomass Digestion + ammonia synthesis,2024,974.7078004,1980.465182,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0011718270481448911,1.0,0.0,0.0011718270481448911,1,5261.5
307,307,Ammonia,New-build,India,greenfield,Biomass Digestion + ammonia synthesis,2024,527.4960752,1071.795681,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.5308558932671894,1.0,0.0,0.5308558932671894,6,4954.0
314,314,Ammonia,New-build,Latin America,greenfield,Biomass Digestion + ammonia synthesis,2024,612.2434536,1243.990088,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.43047986673917116,1.0,0.0,0.43047986673917116,5,5137.5
321,321,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2024,968.9216497,1968.708561,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.008025028021714009,1.0,0.0,0.008025028021714009,1,5204.0
328,328,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2024,597.4913926,1214.016035,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4479524221648967,1.0,0.0,0.4479524221648967,5,5062.0
335,335,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2024,676.4541984,1374.457029,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.3544277274858746,1.0,0.0,0.3544277274858746,4,5173.0
342,342,Ammonia,New-build,Rest of Asia,greenfield,Biomass Digestion + ammonia synthesis,2024,591.1125155,1201.05508,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.45550765690014106,1.0,0.0,0.45550765690014106,5,5044.5
349,349,Ammonia,New-build,Russia,greenfield,Biomass Digestion + ammonia synthesis,2024,974.7078004,1980.465182,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0011718270481448911,1.0,0.0,0.0011718270481448911,1,5261.5
356,356,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2025,611.9579061,1243.409897,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4308180733477547,1.0,0.0,0.4308180733477547,5,5135.5
363,363,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2025,590.7446642,1200.30766,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4559433453254855,1.0,0.0,0.4559433453254855,5,5042.5
370,370,Ammonia,New-build,Europe,greenfield,Biomass Digestion + ammonia synthesis,2025,974.5012043,1980.045408,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0014165224712445745,1.0,0.0,0.0014165224712445745,1,5259.5
377,377,Ammonia,New-build,India,greenfield,Biomass Digestion + ammonia synthesis,2025,527.2105278,1071.21549,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.5311940997573315,1.0,0.0,0.5311940997573315,6,4953.0
384,384,Ammonia,New-build,Latin America,greenfield,Biomass Digestion + ammonia synthesis,2025,611.9579061,1243.409897,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4308180733477547,1.0,0.0,0.4308180733477547,5,5135.5
391,391,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2025,968.6361023,1968.12837,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.008363234511856166,1.0,0.0,0.008363234511856166,1,5203.0
398,398,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2025,597.3286128,1213.68529,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.448145220925537,1.0,0.0,0.448145220925537,5,5060.0
405,405,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2025,676.1686509,1373.876837,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.3547659340944581,1.0,0.0,0.3547659340944581,4,5172.0
412,412,Ammonia,New-build,Rest of Asia,greenfield,Biomass Digestion + ammonia synthesis,2025,590.7446642,1200.30766,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4559433453254855,1.0,0.0,0.4559433453254855,5,5042.5
419,419,Ammonia,New-build,Russia,greenfield,Biomass Digestion + ammonia synthesis,2025,974.5012043,1980.045408,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0014165224712445745,1.0,0.0,0.0014165224712445745,1,5259.5
426,426,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2026,611.6561463,1242.796765,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.43117548204005574,1.0,0.0,0.43117548204005574,5,5123.5
433,433,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2026,590.3523157,1199.510464,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4564080485905039,1.0,0.0,0.4564080485905039,5,5040.5
440,440,Ammonia,New-build,Europe,greenfield,Biomass Digestion + ammonia synthesis,2026,974.3128907,1979.662782,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0016395638356626607,1.0,0.0,0.0016395638356626607,1,5257.5
447,447,Ammonia,New-build,India,greenfield,Biomass Digestion + ammonia synthesis,2026,526.908768,1070.602358,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.5315515084496325,1.0,0.0,0.5315515084496325,6,4947.0
454,454,Ammonia,New-build,Latin America,greenfield,Biomass Digestion + ammonia synthesis,2026,611.6561463,1242.796765,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.43117548204005574,1.0,0.0,0.43117548204005574,5,5123.5
461,461,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2026,968.3343425,1967.515238,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.008720643204157108,1.0,0.0,0.008720643204157108,1,5197.0
468,468,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2026,597.2340883,1213.49323,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.44825717711696933,1.0,0.0,0.44825717711696933,5,5058.0
475,475,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2026,675.8668911,1373.263705,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.3551233427867593,1.0,0.0,0.3551233427867593,4,5166.0
482,482,Ammonia,New-build,Rest of Asia,greenfield,Biomass Digestion + ammonia synthesis,2026,590.3523157,1199.510464,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4564080485905039,1.0,0.0,0.4564080485905039,5,5040.5
489,489,Ammonia,New-build,Russia,greenfield,Biomass Digestion + ammonia synthesis,2026,974.3128907,1979.662782,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0016395638356626607,1.0,0.0,0.0016395638356626607,1,5257.5
496,496,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2027,611.4043125,1242.285075,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.431473757652431,1.0,0.0,0.431473757652431,5,5115.5
503,503,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2027,589.9961732,1198.786834,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4568298689429756,1.0,0.0,0.4568298689429756,5,5038.5
510,510,Ammonia,New-build,Europe,greenfield,Biomass Digestion + ammonia synthesis,2027,974.1471422,1979.326006,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.001835878767724064,1.0,0.0,0.001835878767724064,1,5255.5
517,517,Ammonia,New-build,India,greenfield,Biomass Digestion + ammonia synthesis,2027,526.6569342,1070.090668,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.5318497840620078,1.0,0.0,0.5318497840620078,6,4943.0
524,524,Ammonia,New-build,Latin America,greenfield,Biomass Digestion + ammonia synthesis,2027,611.4043125,1242.285075,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.431473757652431,1.0,0.0,0.431473757652431,5,5115.5
531,531,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2027,968.0825087,1967.003548,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.009018918816532384,1.0,0.0,0.009018918816532384,1,5193.0
538,538,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2027,597.1739768,1213.371093,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.44832837405111126,1.0,0.0,0.44832837405111126,5,5056.0
545,545,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2027,675.6150573,1372.752015,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.35542161839913444,1.0,0.0,0.35542161839913444,4,5162.0
552,552,Ammonia,New-build,Rest of Asia,greenfield,Biomass Digestion + ammonia synthesis,2027,589.9961732,1198.786834,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4568298689429756,1.0,0.0,0.4568298689429756,5,5038.5
559,559,Ammonia,New-build,Russia,greenfield,Biomass Digestion + ammonia synthesis,2027,974.1471422,1979.326006,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.001835878767724064,1.0,0.0,0.001835878767724064,1,5255.5
566,566,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2028,611.2054001,1241.880914,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.43170935238959096,1.0,0.0,0.43170935238959096,5,5107.5
573,573,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2028,589.6784091,1198.141184,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4572062333607717,1.0,0.0,0.4572062333607717,5,5036.5
