,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,decommission_bau_score,decommission_bau_score_binned,decommission_bau_ranking
5602,5602,Ammonia,Electrolyser + SMR + ammonia synthesis,China,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,1.4448555,0.0,0.3476925,0.0,0.0,2.792548,0.6287362008832309,0.0,6,2480.5
5603,5603,Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,China,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,3.05558,0.0,0.412659632,0.0,0.0,4.4682396319999995,0.2816751227729104,0.0,6,2480.5
5604,5604,Ammonia,GHR + CCS + ammonia synthesis,China,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.09246402,0.0,0.335421,0.0,0.0,1.42788502,0.9113785415451331,0.0,6,2480.5
5605,5605,Ammonia,Electrolyser - grid PPA + ammonia synthesis,China,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5606,5606,Ammonia,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,China,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5607,5607,Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,China,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5608,5608,Ammonia,Biomass Digestion + ammonia synthesis,China,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5609,5609,Ammonia,Biomass Gasification + ammonia synthesis,China,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5610,5610,Ammonia,ESMR Gas + CCS + ammonia synthesis,China,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.057222,0.0,0.2754,0.0,0.0,1.332622,0.9311089536292373,0.0,6,2480.5
5611,5611,Ammonia,Methane Pyrolysis + ammonia synthesis,China,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,2.27205,0.0,0.54675,0.0,0.0,3.8188,0.41618389189558735,0.0,6,2480.5
5612,5612,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,1.95228,0.03273587,0.39672,0.0,0.0,3.38173587,0.5067064828451548,0.0,6,2480.5
5613,5613,Ammonia,Coal Gasification + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,3.5948,0.242245441,0.48548192,0.0,0.0,5.322527361000001,0.10473921488794591,0.0,6,2480.5
5614,5614,Ammonia,Natural Gas ATR + CCS + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.08415,0.0,0.31806,0.0,0.0,1.40221,0.9166962264649228,0.0,6,2480.5
5615,5615,Ammonia,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.865062,0.045830219,0.39672,0.0,0.0,2.307612219,0.7291737347075511,0.0,6,2480.5
5616,5616,Ammonia,Natural Gas SMR + CCS + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.112761,0.0,0.34542,0.0,0.0,1.458181,0.9051037859275621,0.0,6,2480.5
5617,5617,Ammonia,Coal Gasification+ CCS + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.261569,0.0,0.48548192,0.0,0.0,1.74705092,0.8452744569780684,0.0,6,2480.5
5618,5618,Ammonia,Electrolyser + SMR + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,1.4448555,0.0,0.293607,0.0,0.0,2.7384625,0.6399381258565817,0.0,6,2480.5
5619,5619,Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,3.05558,0.0,0.412659632,0.0,0.0,4.4682396319999995,0.2816751227729104,0.0,6,2480.5
5620,5620,Ammonia,GHR + CCS + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.09246402,0.0,0.2832444,0.0,0.0,1.37570842,0.9221851044606009,0.0,6,2480.5
5621,5621,Ammonia,Electrolyser - grid PPA + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5622,5622,Ammonia,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5623,5623,Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5624,5624,Ammonia,Biomass Digestion + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5625,5625,Ammonia,Biomass Gasification + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2480.5
5626,5626,Ammonia,ESMR Gas + CCS + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,0.057222,0.0,0.23256,0.0,0.0,1.289782,0.9399817654893171,0.0,6,2480.5
5627,5627,Ammonia,Methane Pyrolysis + ammonia synthesis,Europe,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,2.27205,0.0,0.4617,0.0,0.0,3.73375,0.43379903308839285,0.0,6,2480.5
5628,5628,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,1.95228,0.101074424,0.42456,0.0,0.0,3.477914424,0.4867864498242275,0.0,6,2480.5
5629,5629,Ammonia,Coal Gasification + ammonia synthesis,India,decommission,decommissioned,2020,0.0,0.0,0.0,0.0,0.0,3.5948,0.747950739,0.48548192,0.0,0.0,5.828232659,0.0,0.0,6,2480.5
