variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
emissions_ch4_scope1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_ch4_scope2,20.41283957170766,13.70852039436808,14.604262307495356,13.83411549396534,12.378747054159774,12.105881454658501,10.6690187417114,13.165032483871242,11.594823254239195,10.118089015356405,8.716692957961268,7.088797426631303,5.576712351983801,4.1860308616079385,2.248523892125498,1.3950976070243881,0.6353622519107556,0.27308875574733643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_ch4_scope3_downstream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_ch4_scope3_upstream,1.5866181966458395,1.3083285404609302,1.4306478484160718,1.4237679783717223,1.4702658050136261,1.6717741969145965,1.5453835619729765,1.6799197015919713,1.61657830079995,1.5525809806352286,1.4389241297497815,1.312125384006691,1.1957698655081632,1.114415064447886,1.027582902827523,0.8935219767611601,0.822255767530376,0.7671056614128001,0.7273348426605489,0.7296021537943159,0.7315253552288734,0.7335299125490075,0.7351069377253445,0.7270305054540951,0.7036339625871868,0.7248708432174276,0.7277314694142364,0.7377785552877318,0.7443090503417557,0.7455672195045501,0.7266244350511144
emissions_co2_scope1,193.0602954079898,145.26248916388553,160.73886562072872,154.37278304407593,157.4692909969207,173.55036363949293,156.57072918816738,172.4101049123692,157.2178623577777,141.0172746501675,123.40809465392438,102.90716139609903,80.83073000443237,57.30067147398835,35.31723582341371,23.229905140876056,14.025418806201984,8.17724912386526,3.4455949002167823,3.455486194299422,3.465377488382062,3.4684066472233823,3.472344463446022,3.4684634715549687,3.4074083999692917,3.447192752777608,3.447192752777608,3.454065002777608,3.454065002777608,3.454065002777608,3.447192752777608
emissions_co2_scope1_captured,0.0,2.52321634328622,3.5312094628265256,7.278294846132135,8.976648214712744,10.992634453793356,18.403109826390747,24.97486258738144,33.728695930585076,39.099775285033786,43.2953163913371,43.707282159322176,43.707282159322176,46.70187408532593,47.180747828073464,42.63023538009226,39.65372393848562,40.42807089129519,39.8090468436879,39.89806849043166,39.98709013717542,40.044644155160505,40.08008450116426,40.00215789388171,38.86786166196732,39.55863607488548,39.55863607488548,39.689208824885476,39.689208824885476,39.689208824885476,39.55863607488548
emissions_co2_scope2,20.41283957170766,13.70852039436808,14.604262307495356,13.83411549396534,12.378747054159774,12.105881454658501,10.6690187417114,13.165032483871242,11.594823254239195,10.118089015356405,8.716692957961268,7.088797426631303,5.576712351983801,4.1860308616079385,2.248523892125498,1.3950976070243881,0.6353622519107556,0.27308875574733643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_co2_scope3_downstream,27.232076742444445,25.252076742444444,27.684298964666667,28.14874340911111,27.415410075777775,27.87985452022222,28.344298964666667,30.947632298000002,31.17985452022222,31.644298964666664,32.108743409111106,32.34096563133333,32.80541007577778,33.037632298,33.502076742444444,33.037632298,33.26985452022222,33.502076742444444,33.96652118688889,34.19874340911111,34.43096563133333,34.663187853555556,34.895410075777775,32.73207674244444,32.8853201996,33.110965631333336,33.257632298,35.82429896466667,35.79985452022222,36.28874340911111,33.89318785355555
emissions_co2_scope3_upstream,5.64185733952657,23.892452243542618,26.420633308042607,25.958768278042616,28.106786308042604,31.933975468042593,31.07435398702961,31.897196873143983,32.04083345163101,30.726133089918022,29.120686154938223,27.778573692938227,26.21090316793823,24.616328950738236,23.86917115615587,22.009416236973493,20.830924425635967,19.78525698170225,18.584650659689014,18.67485486968901,18.743244989689014,18.82299562768901,18.88197621048901,18.560048000489015,18.208075325079193,18.589787583289013,18.703596633289013,19.10392663328901,19.137482533289013,19.18453793328901,18.507322933289014
emissions_n2o_scope1,0.0,0.007216673225640982,0.007216673225640982,0.00866000787076918,0.00866000787076918,0.00866000787076918,0.010103342515897376,0.010103342515897376,0.010103342515897376,0.011546677161025573,0.011546677161025573,0.01299001180615377,0.01299001180615377,0.01299001180615377,0.018763350386666554,0.030348610208804135,0.03179194485393233,0.03179194485393233,0.028905275563675937,0.028905275563675937,0.028905275563675937,0.028905275563675937,0.028905275563675937,0.028905275563675937,0.027472495215020862,0.028905275563675937,0.028905275563675937,0.028905275563675937,0.028905275563675937,0.030348610208804135,0.030348610208804135
