product,year,region,technology,ch4_scope1,co2_scope1,ch4_scope1_captured,co2_scope1_captured,ch4_scope2,co2_scope2,ch4_scope3_upstream,co2_scope3_upstream,co2e_scope1,co2e_scope1_captured,co2e_scope2,co2e_scope3_upstream
Clinker,2020,Africa,Dry kiln alternative fuels + direct separation + storage,0.0,0.08404924999999996,0.0,-0.7564432499999998,0.0,0.032469349568614324,0.00011389999999999998,0.0,0.08404924999999996,-0.7564432499999998,0.032469349568614324,0.0033942199999999994
Clinker,2020,Africa,Dry kiln alternative fuels + direct separation + usage,0.0,0.08404924999999996,0.0,-0.7564432499999998,0.0,0.032469349568614324,0.00011389999999999998,0.0,0.08404924999999996,-0.7564432499999998,0.032469349568614324,0.0033942199999999994
Clinker,2020,Africa,Dry kiln alternative fuels + oxyfuel + storage,0.0,0.08404924999999996,0.0,-0.7564432499999998,0.0,0.032469349568614324,0.00011389999999999998,0.0,0.08404924999999996,-0.7564432499999998,0.032469349568614324,0.0033942199999999994
Clinker,2020,Africa,Dry kiln alternative fuels + oxyfuel + usage,0.0,0.08404924999999996,0.0,-0.7564432499999998,0.0,0.032469349568614324,0.00011389999999999998,0.0,0.08404924999999996,-0.7564432499999998,0.032469349568614324,0.0033942199999999994
Clinker,2020,Africa,Dry kiln alternative fuels + post combustion + storage,0.0,0.08404924999999996,0.0,-0.7564432499999998,0.0,0.032469349568614324,0.00011389999999999998,0.0,0.08404924999999996,-0.7564432499999998,0.032469349568614324,0.0033942199999999994
Clinker,2020,Africa,Dry kiln alternative fuels + post combustion + usage,0.0,0.16809849999999993,0.0,-0.6723939999999998,0.0,0.032469349568614324,0.00011389999999999998,0.0,0.16809849999999993,-0.6723939999999998,0.032469349568614324,0.0033942199999999994
Clinker,2020,Africa,Dry kiln alternative fuels 43%,0.0,0.8318327499999999,0.0,-0.0,0.0,0.032469349568614324,0.00064923,0.0,0.8318327499999999,-0.0,0.032469349568614324,0.019347054
Clinker,2020,Africa,Dry kiln alternative fuels 90%,0.0,0.8404924999999998,0.0,-0.0,0.0,0.032469349568614324,0.00011389999999999998,0.0,0.8404924999999998,-0.0,0.032469349568614324,0.0033942199999999994
Clinker,2020,Africa,Dry kiln coal,0.0,0.8409765,0.0,-0.0,0.0,0.031134992737027436,0.00107406,0.0,0.8409765,-0.0,0.031134992737027436,0.032006988
Clinker,2020,Africa,Dry kiln coal + direct separation + storage,0.0,0.08466313800000003,0.0,-0.7619682419999999,0.0,0.031134992737027436,0.0012447299251868284,0.0010374498325255378,0.08466313800000003,-0.7619682419999999,0.031134992737027436,0.03813040160309302
Clinker,2020,Africa,Dry kiln coal + direct separation + usage,0.0,0.08409765000000002,0.0,-0.75687885,0.0,0.031134992737027436,0.00107406,0.0,0.08409765000000002,-0.75687885,0.031134992737027436,0.032006988
Clinker,2020,Africa,Dry kiln coal + oxyfuel + storage,0.0,0.08409765000000002,0.0,-0.75687885,0.0,0.031134992737027436,0.00107406,0.0,0.08409765000000002,-0.75687885,0.031134992737027436,0.032006988
Clinker,2020,Africa,Dry kiln coal + oxyfuel + usage,0.0,0.08409765000000002,0.0,-0.75687885,0.0,0.031134992737027436,0.00107406,0.0,0.08409765000000002,-0.75687885,0.031134992737027436,0.032006988
