product,region,year,value
Clinker,China,2020,1789.7220000000002
Clinker,Rest of Asia,2020,228.988
Clinker,North America,2020,74.57175
Clinker,Russia,2020,76.83149999999999
Clinker,Europe,2020,140.1045
Clinker,India,2020,250.83224999999996
Clinker,Middle East,2020,178.52025000000003
Clinker,Africa,2020,155.92274999999995
Clinker,Latin America,2020,146.88375
Clinker,Oceania,2020,114.494
Clinker,Global,2020,3156.87075
Clinker,China,2021,1742.8193687351738
Clinker,Rest of Asia,2021,229.42236053407242
Clinker,North America,2021,74.22449373866559
Clinker,Russia,2021,76.0783687041406
Clinker,Europe,2021,136.7854559637858
Clinker,India,2021,259.7600621620488
Clinker,Middle East,2021,176.44225338451656
Clinker,Africa,2021,170.43655285947344
Clinker,Latin America,2021,147.27580240433045
Clinker,Oceania,2021,114.71118026703621
Clinker,Global,2021,3127.9558987532437
Clinker,China,2022,1696.8496002737356
Clinker,Rest of Asia,2022,229.81741502064074
Clinker,North America,2022,73.86595630203107
Clinker,Russia,2022,75.31946784318681
Clinker,Europe,2022,133.52172420165925
Clinker,India,2022,268.95867510958857
Clinker,Middle East,2022,174.3579990635765
Clinker,Africa,2022,186.2688226089251
Clinker,Latin America,2022,147.64312028529852
Clinker,Oceania,2022,114.90870751032037
Clinker,Global,2022,3101.511488218963
Clinker,China,2023,1651.7993639447618
Clinker,Rest of Asia,2023,230.17232166209803
Clinker,North America,2023,73.4961139746144
Clinker,Russia,2023,74.55491261217176
Clinker,Europe,2023,130.3127508566504
Clinker,India,2023,278.433640238304
Clinker,Middle East,2023,172.26780838203496
Clinker,Africa,2023,203.53568746988097
Clinker,Latin America,2023,147.98510459669882
Clinker,Oceania,2023,115.08616083104901
Clinker,Global,2023,3077.6438645682642
Clinker,China,2024,1607.6554614126528
Clinker,Rest of Asia,2024,230.48623979522117
Clinker,North America,2024,73.11494716960937
Clinker,Russia,2024,73.78482127706602
Clinker,Europe,2024,127.15798436038452
Clinker,India,2024,288.19045693768675
Clinker,Middle East,2024,170.17200756210397
Clinker,Africa,2024,222.36309437118172
Clinker,Latin America,2024,148.30115526407707
Clinker,Oceania,2024,115.24311989761058
Clinker,Global,2024,3056.469288047594
Clinker,China,2025,1564.4048256978356
Clinker,Rest of Asia,2025,230.7583305514406
Clinker,North America,2025,72.7224405459407
Clinker,Russia,2025,73.00931519250469
Clinker,Europe,2025,124.0568754323058
Clinker,India,2025,298.23455860464907
Clinker,Middle East,2025,168.07092768835165
Clinker,Africa,2025,242.88759275271977
Clinker,Latin America,2025,148.59067160937508
Clinker,Oceania,2025,115.3791652757203
Clinker,Global,2025,3038.114703350843
Clinker,China,2026,1522.0345202034234
Clinker,Rest of Asia,2026,230.9877575423577
Clinker,North America,2026,72.31858312644202
Clinker,Russia,2026,72.22851881861311
Clinker,Europe,2026,121.0088770789023
Clinker,India,2026,308.5712977195276
Clinker,Middle East,2026,165.96490469050562
Clinker,Africa,2026,265.25717561534134
Clinker,Latin America,2026,148.85305279381424
Clinker,Oceania,2026,115.49387877117886
Clinker,Global,2026,3022.7185663601053
Clinker,China,2027,1480.5317377477656
Clinker,Rest of Asia,2027,231.17368757098578
Clinker,North America,2027,71.90336841711161
Clinker,Russia,2027,71.44255973689268
Clinker,Europe,2027,118.01344459293037
Clinker,India,2027,319.205929945252
Clinker,Middle East,2027,163.8542793240001
Clinker,Africa,2027,289.6321813699203
Clinker,Latin America,2027,149.0876982794163
Clinker,Oceania,2027,115.58684378549289
Clinker,Global,2027,3010.431730769767
Clinker,China,2028,1439.8837996028897
Clinker,Rest of Asia,2028,231.31529136918505
Clinker,North America,2028,71.47679452739857
Clinker,Russia,2028,70.65156866512721
Clinker,Europe,2028,115.07003555263955
Clinker,India,2028,330.14359720993156
Clinker,Middle East,2028,161.7393971482064
Clinker,Africa,2028,316.1862601806853
Clinker,Latin America,2028,149.29400830956124
Clinker,Oceania,2028,115.65764568459252
Clinker,Global,2028,3001.4183982502173
Clinker,China,2029,1400.0781545387742
Clinker,Rest of Asia,2029,231.41174436175774
Clinker,North America,2029,71.03886429146957
Clinker,Russia,2029,69.85567947126893
Clinker,Europe,2029,112.17810982099782
Clinker,India,2029,341.38930973265917
Clinker,Middle East,2029,159.6206085022835
Clinker,Africa,2029,345.107408634446
Clinker,Latin America,2029,149.4713844089789
Clinker,Oceania,2029,115.70587218087887
Clinker,Global,2029,2995.8571359435145
Clinker,China,2030,1361.102377873446
Clinker,Rest of Asia,2030,231.46222745765922
Clinker,North America,2030,70.58958539040215
Clinker,Russia,2030,69.05502918626296
Clinker,Europe,2030,109.33712954491634
Clinker,India,2030,352.9479269520108
Clinker,Middle East,2030,157.4982684785854
Clinker,Africa,2030,376.59907669621765
Clinker,Latin America,2030,149.61922990356982
Clinker,Oceania,2030,115.73111372882961
Clinker,Global,2030,2993.9419652118995
Clinker,China,2031,1315.9880951322177
Clinker,Rest of Asia,2031,230.61577379589713
Clinker,North America,2031,70.39499331781172
Clinker,Russia,2031,67.62203645465344
Clinker,Europe,2031,108.32619345522107
Clinker,India,2031,363.57623448996907
Clinker,Middle East,2031,154.9738483978611
Clinker,Africa,2031,377.79729579148864
Clinker,Latin America,2031,149.43246696938593
Clinker,Oceania,2031,115.30788689794856
Clinker,Global,2031,2954.034824702455
Clinker,China,2032,1272.234733481565
Clinker,Rest of Asia,2032,229.74814302516697
Clinker,North America,2032,70.19352182163273
Clinker,Russia,2032,66.21178523117605
Clinker,Europe,2032,107.31326702714892
Clinker,India,2032,374.4850280196995
Clinker,Middle East,2032,152.47378168251134
Clinker,Africa,2032,378.95929071103234
Clinker,Latin America,2032,149.2301711998644
Clinker,Oceania,2032,114.87407151258348
Clinker,Global,2032,2915.7237937123814
Clinker,China,2033,1229.8044726038709
Clinker,Rest of Asia,2033,228.85928824051538
Clinker,North America,2033,69.985138437932
Clinker,Russia,2033,64.8240084104269
Clinker,Europe,2033,106.29843810397591
Clinker,India,2033,385.6798623037874
Clinker,Middle East,2033,149.9979965217311
Clinker,Africa,2033,380.08419008162747
Clinker,Latin America,2033,149.01220478842495
Clinker,Oceania,2033,114.42964412025769
Clinker,Global,2033,2878.9752436125495
Clinker,China,2034,1188.6604724750466
Clinker,Rest of Asia,2034,227.94916666043306
Clinker,North America,2034,69.76981188060641
Clinker,Russia,2034,63.45844116539608
Clinker,Europe,2034,105.28179544371372
Clinker,India,2034,397.16630860035656
Clinker,Middle East,2034,147.54642039901375
Clinker,Africa,2034,381.1711164549508
Clinker,Latin America,2034,148.7784318161958
Clinker,Oceania,2034,113.97458333021653
Clinker,Global,2034,2843.7565482259292
Clinker,China,2035,1148.7668493941576
Clinker,Rest of Asia,2035,227.0177397174748
Clinker,North America,2035,69.54751207468074
Clinker,Russia,2035,62.114820932714366
Clinker,Europe,2035,104.26342871534204
Clinker,India,2035,408.9499486772803
Clinker,Middle East,2035,145.11898009193968
Clinker,Africa,2035,382.2191865374774
Clinker,Latin America,2035,148.52871834002417
Clinker,Oceania,2035,113.5088698587374
Clinker,Global,2035,2810.0360543398288
Clinker,China,2036,1110.0886525713615
Clinker,Rest of Asia,2036,226.0649731495389
Clinker,North America,2036,69.31821018997437
Clinker,Russia,2036,60.79288739797861
Clinker,Europe,2036,103.2434284947869
Clinker,India,2036,421.0363684166979
Clinker,Middle East,2036,142.71560167198984
Clinker,Africa,2036,383.2275114309061
Clinker,Latin America,2036,148.2629324820009
Clinker,Oceania,2036,113.03248657476945
Clinker,Global,2036,2777.783052380005
Clinker,China,2037,1072.5918412616754
Clinker,Rest of Asia,2037,225.09083709179092
Clinker,North America,2037,69.08187867513209
Clinker,Russia,2037,59.49238248115571
Clinker,Europe,2037,102.22188626064185
Clinker,India,2037,433.431150991717
Clinker,Middle East,2037,140.33621050438398
Clinker,Africa,2037,384.1951968833385
Clinker,Latin America,2037,147.98094452050236
Clinker,Oceania,2037,112.54541854589546
Clinker,Global,2037,2746.9677472162334
Clinker,China,2038,1036.243262432354
Clinker,Rest of Asia,2038,224.09530616920807
Clinker,North America,2038,68.83849129201498
Clinker,Russia,2038,58.213050322064404
Clinker,Europe,2038,101.19889438962657
Clinker,India,2038,446.13986959663765
Clinker,Middle East,2038,137.9807312479442
Clinker,Africa,2038,385.12134355144724
Clinker,Latin America,2038,147.6826269827508
Clinker,Oceania,2038,112.04765308460404
Clinker,Global,2038,2717.5612290686527
Clinker,China,2039,1001.0106289519331
Clinker,Rest of Asia,2039,223.07835958972476
Clinker,North America,2039,68.58802315044633
Clinker,Russia,2039,56.95463726593505
Clinker,Europe,2039,100.17454615177844
Clinker,India,2039,459.16807971147557
Clinker,Middle East,2039,135.64908785498432
Clinker,Africa,2039,386.0050472738683
Clinker,Latin America,2039,147.3678547388973
Clinker,Oceania,2039,111.53917979486238
Clinker,Global,2039,2689.5354444839054
Clinker,China,2040,966.862498289239
Clinker,Rest of Asia,2040,222.03998123795733
Clinker,North America,2040,68.33045074330798
Clinker,Russia,2040,55.71689184904661
Clinker,Europe,2040,99.14893570537264
Clinker,India,2040,472.52131088100685
Clinker,Middle East,2040,133.34120357122447
Clinker,Africa,2040,386.84539935605454
Clinker,Latin America,2040,147.03650509762622
Clinker,Oceania,2040,111.01999061897867
Clinker,Global,2040,2662.8631673498144
Clinker,China,2041,933.7682517109295
Clinker,Rest of Asia,2041,220.98015976948318
Clinker,North America,2041,68.0657519819805
Clinker,Russia,2041,54.49956478444066
Clinker,Europe,2041,98.12215809156531
Clinker,India,2041,486.20505798799144
Clinker,Middle East,2041,131.05700093573188
Clinker,Africa,2041,387.64148686682785
Clinker,Latin America,2041,146.6884579032818
Clinker,Oceania,2041,110.49007988474159
Clinker,Global,2041,2637.517969916974
Clinker,China,2042,901.6980739663716
Clinker,Rest of Asia,2042,219.89888870565258
Clinker,North America,2042,67.79390623212313
Clinker,Russia,2042,53.30240894771209
Clinker,Europe,2042,97.09430922875622
Clinker,India,2042,500.22477199967784
Clinker,Middle East,2042,128.79640178088795
Clinker,Africa,2042,388.3923929468715
Clinker,Latin America,2042,146.32359563451672
Clinker,Oceania,2042,109.94944435282629
Clinker,Global,2042,2613.474193795396
Clinker,China,2043,870.6229334489115
Clinker,Rest of Asia,2043,218.7961665289057
Clinker,North America,2043,67.51489434978515
Clinker,Russia,2043,52.1251793628759
Clinker,Europe,2043,96.06548590666429
Clinker,India,2043,514.585850166121
Clinker,Middle East,2043,126.5593272323812
Clinker,Africa,2043,389.09719712939926
Clinker,Latin America,2043,145.94180350446015
Clinker,Oceania,2043,109.39808326445285
Clinker,Global,2043,2590.706920893957
Clinker,China,2044,840.5145628228166
Clinker,Rest of Asia,2044,217.67199677856945
Clinker,North America,2044,67.22869871784391
Clinker,Russia,2044,50.96763318831023
Clinker,Europe,2044,95.03578578011303
Clinker,India,2044,529.293625648291
Clinker,Middle East,2044,124.34569770922766
Clinker,Africa,2044,389.75497567324703
Clinker,Latin America,2044,145.54296956240265
Clinker,Oceania,2044,108.83599838928473
Clinker,Global,2044,2569.191944270106
Clinker,China,2045,811.3454401054189
Clinker,Rest of Asia,2045,216.52638814710673
Clinker,North America,2045,66.93530328276118
Clinker,Russia,2045,49.8295297027746
Clinker,Europe,2045,94.0053073625191
Clinker,India,2045,544.3533565533859
Clinker,Middle East,2045,122.15543292381757
Clinker,Africa,2045,390.36480190862517
Clinker,Latin America,2045,145.12698479699532
Clinker,Oceania,2045,108.26319407355336
Clinker,Global,2045,2548.9057388569577
Clinker,China,2046,783.0887701942048
Clinker,Rest of Asia,2046,215.35935457678815
