product,technology_destination,year,region,technology_origin,switch_type,tco,lcox,switch_capex,marginal_cost,technology_classification,co2_scope1_origin,co2_scope2_origin,co2_scope3_upstream_origin,co2_scope3_downstream_origin,ch4_scope1_origin,ch4_scope2_origin,ch4_scope3_upstream_origin,ch4_scope3_downstream_origin,n2o_scope1_origin,n2o_scope2_origin,n2o_scope3_upstream_origin,n2o_scope3_downstream_origin,co2_scope1_destination,co2_scope2_destination,co2_scope3_upstream_destination,co2_scope3_downstream_destination,ch4_scope1_destination,ch4_scope2_destination,ch4_scope3_upstream_destination,ch4_scope3_downstream_destination,n2o_scope1_destination,n2o_scope2_destination,n2o_scope3_upstream_destination,n2o_scope3_downstream_destination,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,delta_ch4_scope1,delta_ch4_scope2,delta_ch4_scope3_upstream,delta_ch4_scope3_downstream,delta_n2o_scope1,delta_n2o_scope2,delta_n2o_scope3_upstream,delta_n2o_scope3_downstream,cost_digitized,cost_normalized,sum_emissions_delta,emissions_delta_normalized,rank
Ammonia,Biomass Digestion + ammonia synthesis,2031,Africa,New-build,greenfield,507.7454107402343,1031.665189118702,3413.1078416928403,761.6472165031845,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.7391304347826086,-0.0,0.0,0.591304347826087
Ammonia,Biomass Digestion + ammonia synthesis,2031,China,New-build,greenfield,522.2092570312872,1061.0536314435446,3413.1078416928403,780.9697887807052,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.7391304347826086,-0.0,0.0,0.591304347826087
Ammonia,Biomass Digestion + ammonia synthesis,2031,Europe,New-build,greenfield,856.8690278857349,1741.033850832688,3413.1078416928403,1430.2368431247585,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.9565217391304348,-0.0,0.0,0.7652173913043478
Ammonia,Biomass Digestion + ammonia synthesis,2031,India,New-build,greenfield,437.84330893183056,889.6342351080584,3413.1078416928403,620.2665241393927,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.6521739130434783,-0.0,0.0,0.5217391304347826
Ammonia,Biomass Digestion + ammonia synthesis,2031,Latin America,New-build,greenfield,498.61438037399006,1013.1122569397456,3413.1078416928403,737.0458183492733,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.7391304347826086,-0.0,0.0,0.591304347826087
Ammonia,Biomass Digestion + ammonia synthesis,2031,Middle East,New-build,greenfield,865.7676093240556,1759.114480432214,3413.1078416928403,1455.9155550799833,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.9565217391304348,-0.0,0.0,0.7652173913043478
Ammonia,Biomass Digestion + ammonia synthesis,2031,North America,New-build,greenfield,483.7942551564764,982.9999074002412,3413.1078416928403,693.0932172212805,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.6956521739130435,-0.0,0.0,0.5565217391304348
Ammonia,Biomass Digestion + ammonia synthesis,2031,Oceania,New-build,greenfield,564.5635595790321,1147.1114443230488,3413.1078416928403,870.4422747339761,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.782608695652174,-0.0,0.0,0.6260869565217392
Ammonia,Biomass Digestion + ammonia synthesis,2031,Rest of Asia,New-build,greenfield,479.1702194829145,973.6045361438038,3413.1078416928403,700.8395937197681,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.6956521739130435,-0.0,0.0,0.5565217391304348
Ammonia,Biomass Digestion + ammonia synthesis,2031,Russia,New-build,greenfield,894.9445489018256,1818.3977989038108,3413.1078416928403,1501.5407532045344,end-state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1.0,-0.0,0.0,0.8
