product,technology,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Alumina,Carbon Anode+CCS + Coal,2020,China - Central,16.49,,0,,
Alumina,Carbon Anode+CCS + Natural gas,2020,China - Central,10.51,,0,,
Alumina,Carbon Anode+CCS + Coal+CCS,2020,China - Central,4.53,,0,,
Alumina,Carbon Anode+CCS + Natural Gas+CCS,2020,China - Central,3.93,,0,,
Alumina,Carbon Anode+CCS + Hydro,2020,China - Central,3.2,,0,,
Alumina,Carbon Anode+CCS + Small Modular Reactor,2020,China - Central,3.2,,0,,
Alumina,Inert Anode + PPA+Grid,2020,China - Central,2.74,,3.79,,
Alumina,Inert Anode + Grid,2020,China - Central,2.74,,7.58,,
Alumina,Inert Anode + Coal,2020,China - Central,16.03,,0,,
Alumina,Inert Anode + Natural gas,2020,China - Central,10.05,,0,,
Alumina,Inert Anode + Coal+CCS,2020,China - Central,4.07,,0,,
Alumina,Inert Anode + Natural Gas+CCS,2020,China - Central,3.47,,0,,
Alumina,Inert Anode + Hydro,2020,China - Central,2.74,,0,,
Alumina,Inert Anode + Small Modular Reactor,2020,China - Central,2.74,,0,,
Alumina,Carbon Anode + PPA+Grid,2020,China - South,2.74,,4.13,,
Alumina,Carbon Anode + Grid,2020,China - South,2.74,,8.26,,
Alumina,Carbon Anode + Coal,2020,China - South,16.03,,0,,
Alumina,Carbon Anode + Natural gas,2020,China - South,10.05,,0,,
Alumina,Carbon Anode + Coal+CCS,2020,China - South,4.07,,0,,
Alumina,Carbon Anode + Natural Gas+CCS,2020,China - South,3.47,,0,,
Alumina,Carbon Anode + Hydro,2020,China - South,2.74,,0,,
Alumina,Carbon Anode + Small Modular Reactor,2020,China - South,2.74,,0,,
Alumina,Carbon Anode+CCS + PPA+Grid,2020,China - South,3.2,,4.13,,
Alumina,Carbon Anode+CCS + Grid,2020,China - South,3.2,,8.26,,
Alumina,Carbon Anode+CCS + Coal,2020,China - South,16.49,,0,,
Alumina,Carbon Anode+CCS + Natural gas,2020,China - South,10.51,,0,,
Alumina,Carbon Anode+CCS + Coal+CCS,2020,China - South,4.53,,0,,
Alumina,Carbon Anode+CCS + Natural Gas+CCS,2020,China - South,3.93,,0,,
Alumina,Carbon Anode+CCS + Hydro,2020,China - South,3.2,,0,,
Alumina,Carbon Anode+CCS + Small Modular Reactor,2020,China - South,3.2,,0,,
Alumina,Inert Anode + PPA+Grid,2020,China - South,2.74,,4.13,,
Alumina,Inert Anode + Grid,2020,China - South,2.74,,8.26,,
Alumina,Inert Anode + Coal,2020,China - South,16.03,,0,,
Alumina,Inert Anode + Natural gas,2020,China - South,10.05,,0,,
Alumina,Inert Anode + Coal+CCS,2020,China - South,4.07,,0,,
Alumina,Inert Anode + Natural Gas+CCS,2020,China - South,3.47,,0,,
Alumina,Inert Anode + Hydro,2020,China - South,2.74,,0,,
Alumina,Inert Anode + Small Modular Reactor,2020,China - South,2.74,,0,,
Alumina,Carbon Anode + PPA+Grid,2020,China - East,2.74,,5.62,,
Alumina,Carbon Anode + Grid,2020,China - East,2.74,,11.24,,
Alumina,Carbon Anode + Coal,2020,China - East,16.03,,0,,
Alumina,Carbon Anode + Natural gas,2020,China - East,10.05,,0,,
Alumina,Carbon Anode + Coal+CCS,2020,China - East,4.07,,0,,
Alumina,Carbon Anode + Natural Gas+CCS,2020,China - East,3.47,,0,,
Alumina,Carbon Anode + Hydro,2020,China - East,2.74,,0,,
Alumina,Carbon Anode + Small Modular Reactor,2020,China - East,2.74,,0,,
Alumina,Carbon Anode+CCS + PPA+Grid,2020,China - East,3.2,,5.62,,
Alumina,Carbon Anode+CCS + Grid,2020,China - East,3.2,,11.24,,
Alumina,Carbon Anode+CCS + Coal,2020,China - East,16.49,,0,,
Alumina,Carbon Anode+CCS + Natural gas,2020,China - East,10.51,,0,,
Alumina,Carbon Anode+CCS + Coal+CCS,2020,China - East,4.53,,0,,
Alumina,Carbon Anode+CCS + Natural Gas+CCS,2020,China - East,3.93,,0,,
Alumina,Carbon Anode+CCS + Hydro,2020,China - East,3.2,,0,,
Alumina,Carbon Anode+CCS + Small Modular Reactor,2020,China - East,3.2,,0,,
Alumina,Inert Anode + PPA+Grid,2020,China - East,2.74,,5.62,,
Alumina,Inert Anode + Grid,2020,China - East,2.74,,11.24,,
Alumina,Inert Anode + Coal,2020,China - East,16.03,,0,,
Alumina,Inert Anode + Natural gas,2020,China - East,10.05,,0,,
Alumina,Inert Anode + Coal+CCS,2020,China - East,4.07,,0,,
Alumina,Inert Anode + Natural Gas+CCS,2020,China - East,3.47,,0,,
Alumina,Inert Anode + Hydro,2020,China - East,2.74,,0,,
Alumina,Inert Anode + Small Modular Reactor,2020,China - East,2.74,,0,,
Alumina,Carbon Anode + PPA+Grid,2020,Rest of Asia,2.74,,5.41,,
Alumina,Carbon Anode + Grid,2020,Rest of Asia,2.74,,10.83,,
Alumina,Carbon Anode + Coal,2020,Rest of Asia,17.35,,0,,
Alumina,Carbon Anode + Natural gas,2020,Rest of Asia,10.77,,0,,
Alumina,Carbon Anode + Coal+CCS,2020,Rest of Asia,4.2,,0,,
Alumina,Carbon Anode + Natural Gas+CCS,2020,Rest of Asia,3.54,,0,,
Alumina,Carbon Anode + Hydro,2020,Rest of Asia,2.74,,0,,
Alumina,Carbon Anode + Small Modular Reactor,2020,Rest of Asia,2.74,,0,,
Alumina,Carbon Anode+CCS + PPA+Grid,2020,Rest of Asia,3.2,,5.41,,
Alumina,Carbon Anode+CCS + Grid,2020,Rest of Asia,3.2,,10.83,,
Alumina,Carbon Anode+CCS + Coal,2020,Rest of Asia,17.81,,0,,
Alumina,Carbon Anode+CCS + Natural gas,2020,Rest of Asia,11.23,,0,,
Alumina,Carbon Anode+CCS + Coal+CCS,2020,Rest of Asia,4.66,,0,,
Alumina,Carbon Anode+CCS + Natural Gas+CCS,2020,Rest of Asia,4,,0,,
Alumina,Carbon Anode+CCS + Hydro,2020,Rest of Asia,3.2,,0,,
Alumina,Carbon Anode+CCS + Small Modular Reactor,2020,Rest of Asia,3.2,,0,,
Alumina,Inert Anode + PPA+Grid,2020,Rest of Asia,2.74,,5.41,,
Alumina,Inert Anode + Grid,2020,Rest of Asia,2.74,,10.83,,
Alumina,Inert Anode + Coal,2020,Rest of Asia,17.35,,0,,
Alumina,Inert Anode + Natural gas,2020,Rest of Asia,10.77,,0,,
Alumina,Inert Anode + Coal+CCS,2020,Rest of Asia,4.2,,0,,
Alumina,Inert Anode + Natural Gas+CCS,2020,Rest of Asia,3.54,,0,,
Alumina,Inert Anode + Hydro,2020,Rest of Asia,2.74,,0,,
Alumina,Inert Anode + Small Modular Reactor,2020,Rest of Asia,2.74,,0,,
Alumina,Carbon Anode + PPA+Grid,2020,North America,2.74,,2.96,,
Alumina,Carbon Anode + Grid,2020,North America,2.74,,5.92,,
Alumina,Carbon Anode + Coal,2020,North America,18.04,,0,,
Alumina,Carbon Anode + Natural gas,2020,North America,11.15,,0,,
Alumina,Carbon Anode + Coal+CCS,2020,North America,4.27,,0,,
Alumina,Carbon Anode + Natural Gas+CCS,2020,North America,3.58,,0,,
Alumina,Carbon Anode + Hydro,2020,North America,2.74,,0,,
Alumina,Carbon Anode + Small Modular Reactor,2020,North America,2.74,,0,,
Alumina,Carbon Anode+CCS + PPA+Grid,2020,North America,3.2,,2.96,,
Alumina,Carbon Anode+CCS + Grid,2020,North America,3.2,,5.92,,
Alumina,Carbon Anode+CCS + Coal,2020,North America,18.5,,0,,
Alumina,Carbon Anode+CCS + Natural gas,2020,North America,11.61,,0,,
Alumina,Carbon Anode+CCS + Coal+CCS,2020,North America,4.73,,0,,
Alumina,Carbon Anode+CCS + Natural Gas+CCS,2020,North America,4.04,,0,,
Alumina,Carbon Anode+CCS + Hydro,2020,North America,3.2,,0,,
Alumina,Carbon Anode+CCS + Small Modular Reactor,2020,North America,3.2,,0,,
Alumina,Inert Anode + PPA+Grid,2020,North America,2.74,,2.96,,
Alumina,Inert Anode + Grid,2020,North America,2.74,,5.92,,
Alumina,Inert Anode + Coal,2020,North America,18.04,,0,,
Alumina,Inert Anode + Natural gas,2020,North America,11.15,,0,,
Alumina,Inert Anode + Coal+CCS,2020,North America,4.27,,0,,
Alumina,Inert Anode + Natural Gas+CCS,2020,North America,3.58,,0,,
Alumina,Inert Anode + Hydro,2020,North America,2.74,,0,,
Alumina,Inert Anode + Small Modular Reactor,2020,North America,2.74,,0,,
Alumina,Carbon Anode + PPA+Grid,2020,Russia,2.74,,2.56,,
Alumina,Carbon Anode + Grid,2020,Russia,2.74,,5.12,,
Alumina,Carbon Anode + Coal,2020,Russia,17.95,,0,,
Alumina,Carbon Anode + Natural gas,2020,Russia,11.1,,0,,
Alumina,Carbon Anode + Coal+CCS,2020,Russia,4.26,,0,,
Alumina,Carbon Anode + Natural Gas+CCS,2020,Russia,3.57,,0,,
Alumina,Carbon Anode + Hydro,2020,Russia,2.74,,0,,
Alumina,Carbon Anode + Small Modular Reactor,2020,Russia,2.74,,0,,
Alumina,Carbon Anode+CCS + PPA+Grid,2020,Russia,3.2,,2.56,,
Alumina,Carbon Anode+CCS + Grid,2020,Russia,3.2,,5.12,,
Alumina,Carbon Anode+CCS + Coal,2020,Russia,18.41,,0,,
Alumina,Carbon Anode+CCS + Natural gas,2020,Russia,11.56,,0,,
Alumina,Carbon Anode+CCS + Coal+CCS,2020,Russia,4.72,,0,,
Alumina,Carbon Anode+CCS + Natural Gas+CCS,2020,Russia,4.03,,0,,
Alumina,Carbon Anode+CCS + Hydro,2020,Russia,3.2,,0,,
Alumina,Carbon Anode+CCS + Small Modular Reactor,2020,Russia,3.2,,0,,
Alumina,Inert Anode + PPA+Grid,2020,Russia,2.74,,2.56,,
Alumina,Inert Anode + Grid,2020,Russia,2.74,,5.12,,
Alumina,Inert Anode + Coal,2020,Russia,17.95,,0,,
Alumina,Inert Anode + Natural gas,2020,Russia,11.1,,0,,
Alumina,Inert Anode + Coal+CCS,2020,Russia,4.26,,0,,
Alumina,Inert Anode + Natural Gas+CCS,2020,Russia,3.57,,0,,
Alumina,Inert Anode + Hydro,2020,Russia,2.74,,0,,
Alumina,Inert Anode + Small Modular Reactor,2020,Russia,2.74,,0,,
Alumina,Carbon Anode + PPA+Grid,2020,Europe,2.74,,1.83,,
Alumina,Carbon Anode + Grid,2020,Europe,2.74,,3.65,,
Alumina,Carbon Anode + Coal,2020,Europe,17.95,,0,,
Alumina,Carbon Anode + Natural gas,2020,Europe,11.1,,0,,
Alumina,Carbon Anode + Coal+CCS,2020,Europe,4.26,,0,,
Alumina,Carbon Anode + Natural Gas+CCS,2020,Europe,3.57,,0,,
Alumina,Carbon Anode + Hydro,2020,Europe,2.74,,0,,
Alumina,Carbon Anode + Small Modular Reactor,2020,Europe,2.74,,0,,
Alumina,Carbon Anode+CCS + PPA+Grid,2020,Europe,3.2,,1.83,,
Alumina,Carbon Anode+CCS + Grid,2020,Europe,3.2,,3.65,,
Alumina,Carbon Anode+CCS + Coal,2020,Europe,18.41,,0,,
Alumina,Carbon Anode+CCS + Natural gas,2020,Europe,11.56,,0,,
Alumina,Carbon Anode+CCS + Coal+CCS,2020,Europe,4.72,,0,,
Alumina,Carbon Anode+CCS + Natural Gas+CCS,2020,Europe,4.03,,0,,
Alumina,Carbon Anode+CCS + Hydro,2020,Europe,3.2,,0,,
Alumina,Carbon Anode+CCS + Small Modular Reactor,2020,Europe,3.2,,0,,
Alumina,Inert Anode + PPA+Grid,2020,Europe,2.74,,1.83,,
Alumina,Inert Anode + Grid,2020,Europe,2.74,,3.65,,
Alumina,Inert Anode + Coal,2020,Europe,17.95,,0,,
Alumina,Inert Anode + Natural gas,2020,Europe,11.1,,0,,
Alumina,Inert Anode + Coal+CCS,2020,Europe,4.26,,0,,
Alumina,Inert Anode + Natural Gas+CCS,2020,Europe,3.57,,0,,
Alumina,Inert Anode + Hydro,2020,Europe,2.74,,0,,
Alumina,Inert Anode + Small Modular Reactor,2020,Europe,2.74,,0,,
Alumina,Carbon Anode + PPA+Grid,2020,Middle East,2.74,,2.17,,
Alumina,Carbon Anode + Grid,2020,Middle East,2.74,,4.34,,
Alumina,Carbon Anode + Coal,2020,Middle East,17.59,,0,,
Alumina,Carbon Anode + Natural gas,2020,Middle East,10.9,,0,,
Alumina,Carbon Anode + Coal+CCS,2020,Middle East,4.22,,0,,
