product,technology,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,China - North East,3.4221635,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,China - North East,1.8227008,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Hydro,2020,China - North East,1.1354857,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,China - North East,1.1354857,,0.0000000,,,
Aluminium,Inert Anode + PPA+Grid,2020,China - North East,0.0627075,,11.5112188,,,
Aluminium,Inert Anode + Grid,2020,China - North East,0.0627075,,11.5112188,,,
Aluminium,Inert Anode + Coal,2020,China - North East,22.9294859,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas,2020,China - North East,6.9348588,,0.0000000,,,
Aluminium,Inert Anode + Coal+CCS,2020,China - North East,2.3493854,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,China - North East,0.7499227,,0.0000000,,,
Aluminium,Inert Anode + Hydro,2020,China - North East,0.0627075,,0.0000000,,,
Aluminium,Inert Anode + Small Modular Reactor,2020,China - North East,0.0627075,,0.0000000,,,
Aluminium,Carbon Anode + PPA+Grid,2020,China - Central,2.0927075,,5.4170441,,,
Aluminium,Carbon Anode + Grid,2020,China - Central,2.0927075,,5.4170441,,,
Aluminium,Carbon Anode + Coal,2020,China - Central,24.9594859,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas,2020,China - Central,8.9648588,,0.0000000,,,
Aluminium,Carbon Anode + Coal+CCS,2020,China - Central,4.3793854,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,China - Central,2.7799227,,0.0000000,,,
Aluminium,Carbon Anode + Hydro,2020,China - Central,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,China - Central,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,China - Central,1.1354857,,5.4170441,,,
Aluminium,Carbon Anode+CCS + Grid,2020,China - Central,1.1354857,,5.4170441,,,
Aluminium,Carbon Anode+CCS + Coal,2020,China - Central,24.0022640,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,China - Central,8.0076369,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,China - Central,3.4221635,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,China - Central,1.8227008,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Hydro,2020,China - Central,1.1354857,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,China - Central,1.1354857,,0.0000000,,,
Aluminium,Inert Anode + PPA+Grid,2020,China - Central,0.0627075,,5.4170441,,,
Aluminium,Inert Anode + Grid,2020,China - Central,0.0627075,,5.4170441,,,
Aluminium,Inert Anode + Coal,2020,China - Central,22.9294859,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas,2020,China - Central,6.9348588,,0.0000000,,,
Aluminium,Inert Anode + Coal+CCS,2020,China - Central,2.3493854,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,China - Central,0.7499227,,0.0000000,,,
Aluminium,Inert Anode + Hydro,2020,China - Central,0.0627075,,0.0000000,,,
Aluminium,Inert Anode + Small Modular Reactor,2020,China - Central,0.0627075,,0.0000000,,,
Aluminium,Carbon Anode + PPA+Grid,2020,China - South,2.0927075,,5.9007088,,,
Aluminium,Carbon Anode + Grid,2020,China - South,2.0927075,,5.9007088,,,
Aluminium,Carbon Anode + Coal,2020,China - South,24.9594859,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas,2020,China - South,8.9648588,,0.0000000,,,
Aluminium,Carbon Anode + Coal+CCS,2020,China - South,4.3793854,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,China - South,2.7799227,,0.0000000,,,
Aluminium,Carbon Anode + Hydro,2020,China - South,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,China - South,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,China - South,1.1354857,,5.9007088,,,
Aluminium,Carbon Anode+CCS + Grid,2020,China - South,1.1354857,,5.9007088,,,
Aluminium,Carbon Anode+CCS + Coal,2020,China - South,24.0022640,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,China - South,8.0076369,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,China - South,3.4221635,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,China - South,1.8227008,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Hydro,2020,China - South,1.1354857,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,China - South,1.1354857,,0.0000000,,,
Aluminium,Inert Anode + PPA+Grid,2020,China - South,0.0627075,,5.9007088,,,
Aluminium,Inert Anode + Grid,2020,China - South,0.0627075,,5.9007088,,,
Aluminium,Inert Anode + Coal,2020,China - South,22.9294859,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas,2020,China - South,6.9348588,,0.0000000,,,
Aluminium,Inert Anode + Coal+CCS,2020,China - South,2.3493854,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,China - South,0.7499227,,0.0000000,,,
Aluminium,Inert Anode + Hydro,2020,China - South,0.0627075,,0.0000000,,,
Aluminium,Inert Anode + Small Modular Reactor,2020,China - South,0.0627075,,0.0000000,,,
Aluminium,Carbon Anode + PPA+Grid,2020,China - East,2.0927075,,8.0288333,,,
Aluminium,Carbon Anode + Grid,2020,China - East,2.0927075,,8.0288333,,,
Aluminium,Carbon Anode + Coal,2020,China - East,24.9594859,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas,2020,China - East,8.9648588,,0.0000000,,,
Aluminium,Carbon Anode + Coal+CCS,2020,China - East,4.3793854,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,China - East,2.7799227,,0.0000000,,,
Aluminium,Carbon Anode + Hydro,2020,China - East,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,China - East,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,China - East,1.1354857,,8.0288333,,,
Aluminium,Carbon Anode+CCS + Grid,2020,China - East,1.1354857,,8.0288333,,,
Aluminium,Carbon Anode+CCS + Coal,2020,China - East,24.0022640,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,China - East,8.0076369,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,China - East,3.4221635,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,China - East,1.8227008,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Hydro,2020,China - East,1.1354857,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,China - East,1.1354857,,0.0000000,,,
Aluminium,Inert Anode + PPA+Grid,2020,China - East,0.0627075,,8.0288333,,,
Aluminium,Inert Anode + Grid,2020,China - East,0.0627075,,8.0288333,,,
Aluminium,Inert Anode + Coal,2020,China - East,22.9294859,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas,2020,China - East,6.9348588,,0.0000000,,,
Aluminium,Inert Anode + Coal+CCS,2020,China - East,2.3493854,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,China - East,0.7499227,,0.0000000,,,
Aluminium,Inert Anode + Hydro,2020,China - East,0.0627075,,0.0000000,,,
Aluminium,Inert Anode + Small Modular Reactor,2020,China - East,0.0627075,,0.0000000,,,
Aluminium,Carbon Anode + PPA+Grid,2020,Rest of Asia,2.0927075,,9.9623071,,,
Aluminium,Carbon Anode + Grid,2020,Rest of Asia,2.0927075,,9.9623071,,,
Aluminium,Carbon Anode + Coal,2020,US,28.4039390,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas,2020,Rest of Asia,9.6473548,,0.0000000,,,
Aluminium,Carbon Anode + Coal+CCS,2020,Rest of Asia,4.6064829,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,Rest of Asia,2.8481723,,0.0000000,,,
Aluminium,Carbon Anode + Hydro,2020,Rest of Asia,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,Rest of Asia,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,Rest of Asia,1.1354857,,9.9623071,,,
Aluminium,Carbon Anode+CCS + Grid,2020,Rest of Asia,1.1354857,,9.9623071,,,
Aluminium,Carbon Anode+CCS + Coal,2020,Rest of Asia,26.2732392,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,Rest of Asia,8.6901329,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,Rest of Asia,3.6492610,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,Rest of Asia,1.8909504,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Hydro,2020,Rest of Asia,1.1354857,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,Rest of Asia,1.1354857,,0.0000000,,,
Aluminium,Inert Anode + PPA+Grid,2020,Rest of Asia,0.0627075,,9.9623071,,,
Aluminium,Inert Anode + Grid,2020,Rest of Asia,0.0627075,,9.9623071,,,
