product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Carbon Anode+CCS + PPA+Grid,China - Central,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - Central,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,China - Central,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,China - Central,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,China - Central,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,China - Central,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,China - Central,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,China - Central,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,China - Central,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,China - Central,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,China - East,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,China - East,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,China - East,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,China - East,60,0.0495,transition,,2020,,
Aluminium,Carbon Anode + Natural Gas,China - East,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,China - East,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,China - East,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,China - East,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,China - East,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,China - East,60,0.0495,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas,China - East,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - East,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,China - East,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - East,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,China - East,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,China - East,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,China - East,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,China - East,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,China - East,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,China - East,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,China - East,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,China - East,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,China - North,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,China - North,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,China - North,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,China - North,60,0.0495,transition,,2020,,
Aluminium,Carbon Anode + Natural Gas,China - North,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,China - North,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,China - North,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,China - North,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,China - North,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,China - North,60,0.0495,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas,China - North,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - North,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,China - North,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - North,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,China - North,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,China - North,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,China - North,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,China - North,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,China - North,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,China - North,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,China - North,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,China - North,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,China - North East,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,China - North East,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,China - North East,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,China - North East,60,0.0495,transition,,2020,,
Aluminium,Carbon Anode + Natural Gas,China - North East,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,China - North East,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,China - North East,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,China - North East,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,China - North East,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,China - North East,60,0.0495,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas,China - North East,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - North East,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,China - North East,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - North East,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,China - North East,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,China - North East,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,China - North East,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,China - North East,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,China - North East,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,China - North East,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,China - North East,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,China - North East,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,China - North West,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,China - North West,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,China - North West,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,China - North West,60,0.0495,transition,,2020,,
Aluminium,Carbon Anode + Natural Gas,China - North West,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,China - North West,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,China - North West,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,China - North West,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,China - North West,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,China - North West,60,0.0495,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas,China - North West,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - North West,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,China - North West,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - North West,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,China - North West,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,China - North West,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,China - North West,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,China - North West,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,China - North West,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,China - North West,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,China - North West,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,China - North West,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,China - South,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,China - South,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,China - South,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,China - South,60,0.0495,transition,,2020,,
Aluminium,Carbon Anode + Natural Gas,China - South,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,China - South,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,China - South,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,China - South,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,China - South,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,China - South,60,0.0495,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas,China - South,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - South,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,China - South,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - South,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,China - South,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,China - South,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,China - South,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,China - South,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,China - South,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,China - South,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,China - South,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,China - South,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,Europe,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,Europe,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,Europe,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,Europe,60,0.0495,transition,,2020,,
Aluminium,Carbon Anode + Natural Gas,Europe,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,Europe,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,Europe,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,Europe,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,Europe,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,Europe,60,0.0495,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas,Europe,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Europe,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,Europe,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Europe,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,Europe,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,Europe,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,Europe,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,Europe,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,Europe,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,Europe,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,Europe,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,Europe,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,Middle East,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,Middle East,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,Middle East,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,Middle East,60,0.0495,transition,,2020,,
Aluminium,Carbon Anode + Natural Gas,Middle East,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,Middle East,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,Middle East,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,Middle East,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,Middle East,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,Middle East,60,0.0495,end-state,,2030,,
