,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,decommission_bau_score,decommission_bau_score_binned,rank
474,474,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2043,149.9398141,228.6109754,80,0,0,0.5074245,0.015410685,0.110349,0,0.855319146,1.633184185,0.960849409,0.855319146,9,202.5
476,476,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2043,174.1391451,277.7805135,80,0,0,0.5074245,0.019014296,0.110349,0,0.761969919,1.636787796,0.9590311,0.761969919,8,280
478,478,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2043,154.0726307,237.0082604,80,0,0,0.5074245,0,0.104922,0,0.839376754,1.6123465,0.971363688,0.839376754,9,233
480,480,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2044,180.7328957,291.1780605,80,0,0,0.5074245,0.01324212,0.0786915,0,0.736534442,1.59935812,0.977917365,0.736534442,7,361
482,482,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2044,188.5757279,307.1135605,80,0,0,0.5074245,0.016314991,0.1221075,0,0.706280617,1.645846991,0.954460011,0.706280617,7,513
484,484,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2044,186.6822938,303.2663764,80,0,0,0.5074245,0,0.103113,0,0.713584563,1.6105375,0.972276473,0.713584563,7,487
486,486,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2044,180.7328957,291.1780605,80,0,0,0.5074245,0.01324212,0.110349,0,0.736534442,1.63101562,0.961943624,0.736534442,7,361
488,488,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2044,180.7328957,291.1780605,80,0,0,0.5074245,0.01324212,0.0515565,0,0.736534442,1.57222312,0.991609142,0.736534442,7,361
490,490,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2044,149.9887187,228.7103423,80,0,0,0.5074245,0.01324212,0.0479385,0,0.855130496,1.56860512,0.993434713,0.855130496,9,204.5
492,492,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2044,139.7621835,207.931503,80,0,0,0.5074245,0.001725372,0.1383885,0,0.894579486,1.647538372,0.953606574,0.894579486,9,149
494,494,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2044,149.9887187,228.7103423,80,0,0,0.5074245,0.01324212,0.110349,0,0.855130496,1.63101562,0.961943624,0.855130496,9,204.5
496,496,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2044,173.9697134,277.4362528,80,0,0,0.5074245,0.016314991,0.110349,0,0.762623504,1.634088491,0.960393115,0.762623504,8,278
498,498,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2044,154.0520406,236.9664244,80,0,0,0.5074245,0,0.104922,0,0.83945618,1.6123465,0.971363688,0.83945618,9,232
500,500,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2045,180.6641174,291.0383129,80,0,0,0.5074245,0.011073555,0.0786915,0,0.736799755,1.597189555,0.979011579,0.736799755,7,357
502,502,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2045,188.4507529,306.8596293,80,0,0,0.5074245,0.013615685,0.1221075,0,0.706762709,1.643147685,0.955822027,0.706762709,7,512
504,504,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2045,186.3827042,302.6576537,80,0,0,0.5074245,0,0.103113,0,0.714740234,1.6105375,0.972276473,0.714740234,7,477
506,506,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2045,180.6641174,291.0383129,80,0,0,0.5074245,0.011073555,0.110349,0,0.736799755,1.628847055,0.963037838,0.736799755,7,357
508,508,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2045,180.6641174,291.0383129,80,0,0,0.5074245,0.011073555,0.0515565,0,0.736799755,1.570054555,0.992703357,0.736799755,7,357
510,510,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2045,150.0409777,228.8165251,80,0,0,0.5074245,0.011073555,0.0479385,0,0.854928906,1.566436555,0.994528927,0.854928906,9,206.5
512,512,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2045,139.786871,207.9816643,80,0,0,0.5074245,0.001489331,0.1383885,0,0.894484254,1.647302331,0.953725676,0.894484254,9,150
514,514,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2045,150.0409777,228.8165251,80,0,0,0.5074245,0.011073555,0.110349,0,0.854928906,1.628847055,0.963037838,0.854928906,9,206.5
516,516,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2045,173.8262909,277.144839,80,0,0,0.5074245,0.013615685,0.110349,0,0.763176758,1.631389185,0.961755131,0.763176758,8,276
518,518,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2045,154.0319703,236.9256445,80,0,0,0.5074245,0,0.104922,0,0.839533602,1.6123465,0.971363688,0.839533602,9,231
520,520,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2046,180.6162597,290.9410731,80,0,0,0.5074245,0.00890499,0.0786915,0,0.736984367,1.59502099,0.980105794,0.736984367,7,354
522,522,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2046,188.3506453,306.6562251,80,0,0,0.5074245,0.010916379,0.1221075,0,0.707148876,1.640448379,0.957184043,0.707148876,7,511
524,524,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2046,186.1237492,302.1314947,80,0,0,0.5074245,0,0.103113,0,0.715739156,1.6105375,0.972276473,0.715739156,7,471
526,526,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2046,180.6162597,290.9410731,80,0,0,0.5074245,0.00890499,0.110349,0,0.736984367,1.62667849,0.964132053,0.736984367,7,354
528,528,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2046,180.6162597,290.9410731,80,0,0,0.5074245,0.00890499,0.0515565,0,0.736984367,1.56788599,0.993797571,0.736984367,7,354
530,530,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2046,150.0968052,228.9299586,80,0,0,0.5074245,0.00890499,0.0479385,0,0.854713551,1.56426799,0.995623142,0.854713551,9,208.5
532,532,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2046,139.806433,208.0214115,80,0,0,0.5074245,0.001194361,0.1383885,0,0.894408793,1.647007361,0.953874512,0.894408793,9,151
534,534,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2046,150.0968052,228.9299586,80,0,0,0.5074245,0.00890499,0.110349,0,0.854713551,1.62667849,0.964132053,0.854713551,9,208.5
536,536,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2046,173.7103804,276.9093258,80,0,0,0.5074245,0.010916379,0.110349,0,0.763623884,1.628689879,0.963117146,0.763623884,8,275
538,538,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2046,154.012462,236.8860064,80,0,0,0.5074245,0,0.104922,0,0.839608855,1.6123465,0.971363688,0.839608855,9,230
540,540,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2047,180.5767173,290.8607286,80,0,0,0.5074245,0.006736425,0.0786915,0,0.737136902,1.592852425,0.981200008,0.737136902,7,350
542,542,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2047,188.2683125,306.4889368,80,0,0,0.5074245,0.008217074,0.1221075,0,0.707466476,1.637749074,0.958546058,0.707466476,7,510
544,544,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2047,185.9107423,301.6986954,80,0,0,0.5074245,0,0.103113,0,0.716560833,1.6105375,0.972276473,0.716560833,7,464
546,546,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2047,180.5767173,290.8607286,80,0,0,0.5074245,0.006736425,0.110349,0,0.737136902,1.624509925,0.965226267,0.737136902,7,350
548,548,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2047,180.5767173,290.8607286,80,0,0,0.5074245,0.006736425,0.0515565,0,0.737136902,1.565717425,0.994891786,0.737136902,7,350
550,550,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2047,150.1425546,229.0229146,80,0,0,0.5074245,0.006736425,0.0479385,0,0.854537072,1.562099425,0.996717356,0.854537072,9,211.5
552,552,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2047,139.8224668,208.0539898,80,0,0,0.5074245,0.000899391,0.1383885,0,0.894346942,1.646712391,0.954023348,0.894346942,9,152
554,554,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2047,150.1425546,229.0229146,80,0,0,0.5074245,0.006736425,0.110349,0,0.854537072,1.624509925,0.965226267,0.854537072,9,211.5
556,556,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2047,173.6150482,276.7156245,80,0,0,0.5074245,0.008217074,0.110349,0,0.763991629,1.625990574,0.964479162,0.763991629,8,274
558,558,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2047,153.9964247,236.8534209,80,0,0,0.5074245,0,0.104922,0,0.839670719,1.6123465,0.971363688,0.839670719,9,229
560,560,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2048,180.5460817,290.7984814,80,0,0,0.5074245,0.004567859,0.0786915,0,0.737255079,1.590683859,0.982294223,0.737255079,7,347
562,562,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2048,188.2048125,306.3599141,80,0,0,0.5074245,0.005517768,0.1221075,0,0.707711428,1.635049768,0.959908074,0.707711428,7,508
564,564,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2048,185.7464348,301.3648463,80,0,0,0.5074245,0,0.103113,0,0.717194651,1.6105375,0.972276473,0.717194651,7,461
566,566,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2048,180.5460817,290.7984814,80,0,0,0.5074245,0.004567859,0.110349,0,0.737255079,1.622341359,0.966320482,0.737255079,7,347
568,568,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2048,180.5460817,290.7984814,80,0,0,0.5074245,0.004567859,0.0515565,0,0.737255079,1.563548859,0.995986001,0.737255079,7,347
570,570,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2048,150.1777137,229.0943529,80,0,0,0.5074245,0.004567859,0.0479385,0,0.854401446,1.559930859,0.997811571,0.854401446,9,213.5
572,572,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2048,139.8347914,208.0790317,80,0,0,0.5074245,0.000604422,0.1383885,0,0.8942994,1.646417422,0.954172183,0.8942994,9,153
574,574,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2048,150.1777137,229.0943529,80,0,0,0.5074245,0.004567859,0.110349,0,0.854401446,1.622341359,0.966320482,0.854401446,9,213.5
576,576,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2048,173.5415203,276.5662265,80,0,0,0.5074245,0.005517768,0.110349,0,0.764275264,1.623291268,0.965841177,0.764275264,8,272
578,578,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2048,153.9840613,236.8283002,80,0,0,0.5074245,0,0.104922,0,0.839718411,1.6123465,0.971363688,0.839718411,9,228
580,580,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2049,180.5249799,290.7556057,80,0,0,0.5074245,0.002399294,0.0786915,0,0.73733648,1.588515294,0.983388437,0.73733648,7,343
582,582,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2049,188.1612667,306.2714353,80,0,0,0.5074245,0.002818462,0.1221075,0,0.707879406,1.632350462,0.961270089,0.707879406,7,507
584,584,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2049,185.6337432,301.1358732,80,0,0,0.5074245,0,0.103113,0,0.71762936,1.6105375,0.972276473,0.71762936,7,456
586,586,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2049,180.5249799,290.7556057,80,0,0,0.5074245,0.002399294,0.110349,0,0.73733648,1.620172794,0.967414697,0.73733648,7,343
588,588,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2049,180.5249799,290.7556057,80,0,0,0.5074245,0.002399294,0.0515565,0,0.73733648,1.561380294,0.997080215,0.73733648,7,343
590,590,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2049,150.20174,229.1431708,80,0,0,0.5074245,0.002399294,0.0479385,0,0.854308764,1.557762294,0.998905786,0.854308764,9,215.5
592,592,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2049,139.8432152,208.0961476,80,0,0,0.5074245,0.000309452,0.1383885,0,0.894266905,1.646122452,0.954321019,0.894266905,9,154
594,594,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2049,150.20174,229.1431708,80,0,0,0.5074245,0.002399294,0.110349,0,0.854308764,1.620172794,0.967414697,0.854308764,9,215.5
596,596,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2049,173.4910965,276.4637726,80,0,0,0.5074245,0.002818462,0.110349,0,0.764469775,1.620591962,0.967203193,0.764469775,8,271
598,598,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2049,153.9755866,236.8110809,80,0,0,0.5074245,0,0.104922,0,0.839751102,1.6123465,0.971363688,0.839751102,9,227
600,600,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2050,180.5140767,290.733452,80,0,0,0.5074245,0.000230729,0.0786915,0,0.737378539,1.586346729,0.984482652,0.737378539,7,340
602,602,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2050,188.1388638,306.2259159,80,0,0,0.5074245,0.000119156,0.1221075,0,0.707965826,1.629651156,0.962632105,0.707965826,7,506
604,604,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2050,185.5757589,301.0180575,80,0,0,0.5074245,0,0.103113,0,0.717853035,1.6105375,0.972276473,0.717853035,7,454
606,606,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2050,180.5140767,290.733452,80,0,0,0.5074245,0.000230729,0.110349,0,0.737378539,1.618004229,0.968508911,0.737378539,7,340
608,608,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2050,180.5140767,290.733452,80,0,0,0.5074245,0.000230729,0.0515565,0,0.737378539,1.559211729,0.99817443,0.737378539,7,340
610,610,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2050,150.214058,229.1681992,80,0,0,0.5074245,0.000230729,0.0479385,0,0.854261247,1.555593729,1,0.854261247,9,217.5
612,612,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2050,139.8475348,208.1049244,80,0,0,0.5074245,1.45E-05,0.1383885,0,0.894250242,1.6458275,0.954469846,0.894250242,9,155
614,614,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2050,150.214058,229.1681992,80,0,0,0.5074245,0.000230729,0.110349,0,0.854261247,1.618004229,0.968508911,0.854261247,9,217.5
616,616,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2050,173.4651544,276.4110621,80,0,0,0.5074245,0.000119156,0.110349,0,0.764569847,1.617892656,0.968565209,0.764569847,8,270
618,618,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2050,153.9712285,236.8022259,80,0,0,0.5074245,0,0.104922,0,0.839767914,1.6123465,0.971363688,0.839767914,9,226
620,620,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2020,337.2804685,685.3050978,1726.299207,0,0,1.95228,0.101074424,0.30276,0,0.132650187,3.356114424,0.091493309,0.132650187,2,1525.5
621,621,Ammonia,Electrolyser + SMR + ammonia synthesis,Africa,decommission,Decommissioned,2020,337.2804685,685.3050978,1726.299207,0,0,1.4448555,0,0.2240685,0,0.132650187,2.668924,0.438235837,0.132650187,2,1525.5
623,623,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2020,278.7303974,566.3398271,1084.678404,0,0,1.95228,0.091303984,0.4698,0,0.358507831,3.513383984,0.012138238,0.358507831,4,1268.5
624,624,Ammonia,Electrolyser + SMR + ammonia synthesis,China,decommission,Decommissioned,2020,278.7303974,566.3398271,1084.678404,0,0,1.4448555,0,0.3476925,0,0.358507831,2.792548,0.375857642,0.358507831,4,1268.5
626,626,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2020,371.6679601,755.1755037,1726.299207,0,0,1.95228,0.03273587,0.39672,0,0,3.38173587,0.07856524,0,1,1548.5
627,627,Ammonia,Electrolyser + SMR + ammonia synthesis,Europe,decommission,Decommissioned,2020,371.6679601,755.1755037,1726.299207,0,0,1.4448555,0,0.293607,0,0,2.7384625,0.403148103,0,1,1548.5
629,629,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2020,337.2804685,685.3050978,1726.299207,0,0,1.95228,0.101074424,0.42456,0,0.132650187,3.477914424,0.030035468,0.132650187,2,1525.5
630,630,Ammonia,Electrolyser + SMR + ammonia synthesis,India,decommission,Decommissioned,2020,337.2804685,685.3050978,1726.299207,0,0,1.4448555,0,0.314211,0,0.132650187,2.7590665,0.392751737,0.132650187,2,1525.5
632,632,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2020,337.2804685,685.3050978,1726.299207,0,0,1.95228,0.101074424,0.19836,0,0.132650187,3.251714424,0.144171459,0.132650187,2,1525.5
633,633,Ammonia,Electrolyser + SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2020,337.2804685,685.3050978,1726.299207,0,0,1.4448555,0,0.1468035,0,0.132650187,2.591659,0.477222209,0.132650187,2,1525.5
635,635,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2020,337.2804685,685.3050978,1726.299207,0,0,1.95228,0.101074424,0.18444,0,0.132650187,3.237794424,0.151195212,0.132650187,2,1525.5
636,636,Ammonia,Electrolyser + SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2020,337.2804685,685.3050978,1726.299207,0,0,1.4448555,0,0.1365015,0,0.132650187,2.581357,0.482420392,0.132650187,2,1525.5
638,638,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2020,250.7083504,509.4030832,1726.299207,0,0,1.95228,0.052720107,0.53244,0,0.466603235,3.537440107,0,0.466603235,5,978.5
639,639,Ammonia,Electrolyser + SMR + ammonia synthesis,North America,decommission,Decommissioned,2020,250.7083504,509.4030832,1726.299207,0,0,1.4448555,0,0.3940515,0,0.466603235,2.838907,0.352465819,0.466603235,5,978.5
641,641,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2020,337.2804685,685.3050978,1726.299207,0,0,1.95228,0.101074424,0.42456,0,0.132650187,3.477914424,0.030035468,0.132650187,2,1525.5
642,642,Ammonia,Electrolyser + SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2020,337.2804685,685.3050978,1726.299207,0,0,1.4448555,0,0.314211,0,0.132650187,2.7590665,0.392751737,0.132650187,2,1525.5
644,644,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2020,302.899872,615.4487015,1726.299207,0,0,1.95228,0.091303984,0.42456,0,0.265273775,3.468143984,0.034965436,0.265273775,3,1380.5
645,645,Ammonia,Electrolyser + SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2020,302.899872,615.4487015,1726.299207,0,0,1.4448555,0,0.314211,0,0.265273775,2.7590665,0.392751737,0.265273775,3,1380.5
647,647,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2020,371.6679601,755.1755037,1726.299207,0,0,1.95228,0.03273587,0.40368,0,0,3.38869587,0.075053364,0,1,1548.5
648,648,Ammonia,Electrolyser + SMR + ammonia synthesis,Russia,decommission,Decommissioned,2020,371.6679601,755.1755037,1726.299207,0,0,1.4448555,0,0.298758,0,0,2.7436135,0.400549011,0,1,1548.5
650,650,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2021,327.9687465,666.3850263,1557.770908,0,0,1.95228,0.095327185,0.30276,0,0.168570273,3.350367185,0.094393251,0.168570273,2,1507.5
651,651,Ammonia,Electrolyser + SMR + ammonia synthesis,Africa,decommission,Decommissioned,2021,327.9687465,666.3850263,1557.770908,0,0,1.4448555,0,0.2240685,0,0.168570273,2.668924,0.438235837,0.168570273,2,1507.5
653,653,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2021,274.3706875,557.4815276,1050.01613,0,0,1.95228,0.087584113,0.4698,0,0.375325468,3.509664113,0.01401521,0.375325468,4,1214.5
654,654,Ammonia,Electrolyser + SMR + ammonia synthesis,China,decommission,Decommissioned,2021,274.3706875,557.4815276,1050.01613,0,0,1.4448555,0,0.3476925,0,0.375325468,2.792548,0.375857642,0.375325468,4,1214.5
656,656,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2021,361.9060873,735.3407912,1557.770908,0,0,1.95228,0.030770092,0.39672,0,0.037656549,3.379770092,0.079557133,0.037656549,1,1544.5
657,657,Ammonia,Electrolyser + SMR + ammonia synthesis,Europe,decommission,Decommissioned,2021,361.9060873,735.3407912,1557.770908,0,0,1.4448555,0,0.293607,0,0.037656549,2.7384625,0.403148103,0.037656549,1,1544.5
659,659,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2021,327.9687465,666.3850263,1557.770908,0,0,1.95228,0.095327185,0.42456,0,0.168570273,3.472167185,0.032935409,0.168570273,2,1507.5
660,660,Ammonia,Electrolyser + SMR + ammonia synthesis,India,decommission,Decommissioned,2021,327.9687465,666.3850263,1557.770908,0,0,1.4448555,0,0.314211,0,0.168570273,2.7590665,0.392751737,0.168570273,2,1507.5
662,662,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2021,327.9687465,666.3850263,1557.770908,0,0,1.95228,0.095327185,0.19836,0,0.168570273,3.245967185,0.1470714,0.168570273,2,1507.5
663,663,Ammonia,Electrolyser + SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2021,327.9687465,666.3850263,1557.770908,0,0,1.4448555,0,0.1468035,0,0.168570273,2.591659,0.477222209,0.168570273,2,1507.5
665,665,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2021,327.9687465,666.3850263,1557.770908,0,0,1.95228,0.095327185,0.18444,0,0.168570273,3.232047185,0.154095154,0.168570273,2,1507.5
666,666,Ammonia,Electrolyser + SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2021,327.9687465,666.3850263,1557.770908,0,0,1.4448555,0,0.1365015,0,0.168570273,2.581357,0.482420392,0.168570273,2,1507.5
668,668,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2021,240.7914585,489.2533941,1557.770908,0,0,1.95228,0.048790155,0.53244,0,0.504857771,3.533510155,0.001982975,0.504857771,5,872.5
669,669,Ammonia,Electrolyser + SMR + ammonia synthesis,North America,decommission,Decommissioned,2021,240.7914585,489.2533941,1557.770908,0,0,1.4448555,0,0.3940515,0,0.504857771,2.838907,0.352465819,0.504857771,5,872.5
671,671,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2021,327.9687465,666.3850263,1557.770908,0,0,1.95228,0.095327185,0.42456,0,0.168570273,3.472167185,0.032935409,0.168570273,2,1507.5
672,672,Ammonia,Electrolyser + SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2021,327.9687465,666.3850263,1557.770908,0,0,1.4448555,0,0.314211,0,0.168570273,2.7590665,0.392751737,0.168570273,2,1507.5
674,674,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2021,293.4890844,596.3273432,1557.770908,0,0,1.95228,0.087584113,0.42456,0,0.301576008,3.464424113,0.036842409,0.301576008,3,1322.5
675,675,Ammonia,Electrolyser + SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2021,293.4890844,596.3273432,1557.770908,0,0,1.4448555,0,0.314211,0,0.301576008,2.7590665,0.392751737,0.301576008,3,1322.5
677,677,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2021,361.9060873,735.3407912,1557.770908,0,0,1.95228,0.030770092,0.40368,0,0.037656549,3.386730092,0.076045256,0.037656549,1,1544.5
678,678,Ammonia,Electrolyser + SMR + ammonia synthesis,Russia,decommission,Decommissioned,2021,361.9060873,735.3407912,1557.770908,0,0,1.4448555,0,0.298758,0,0.037656549,2.7436135,0.400549011,0.037656549,1,1544.5
680,680,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2022,319.8047673,649.7970021,1419.867219,0,0,1.95228,0.089579946,0.30276,0,0.200062927,3.344619946,0.097293192,0.200062927,2,1489.5
681,681,Ammonia,Electrolyser + SMR + ammonia synthesis,Africa,decommission,Decommissioned,2022,319.8047673,649.7970021,1419.867219,0,0,1.4448555,0,0.2240685,0,0.200062927,2.668924,0.438235837,0.200062927,2,1489.5
683,683,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2022,270.1070199,548.818372,1019.379175,0,0,1.95228,0.083864241,0.4698,0,0.39177262,3.505944241,0.015892183,0.39177262,4,1059.5
684,684,Ammonia,Electrolyser + SMR + ammonia synthesis,China,decommission,Decommissioned,2022,270.1070199,548.818372,1019.379175,0,0,1.4448555,0,0.3476925,0,0.39177262,2.792548,0.375857642,0.39177262,4,1059.5
686,686,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2022,353.472673,718.2053138,1419.867219,0,0,1.95228,0.028804313,0.39672,0,0.070188552,3.377804313,0.080549025,0.070188552,1,1540.5
687,687,Ammonia,Electrolyser + SMR + ammonia synthesis,Europe,decommission,Decommissioned,2022,353.472673,718.2053138,1419.867219,0,0,1.4448555,0,0.293607,0,0.070188552,2.7384625,0.403148103,0.070188552,1,1540.5
689,689,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2022,319.8047673,649.7970021,1419.867219,0,0,1.95228,0.089579946,0.42456,0,0.200062927,3.466419946,0.035835351,0.200062927,2,1489.5
690,690,Ammonia,Electrolyser + SMR + ammonia synthesis,India,decommission,Decommissioned,2022,319.8047673,649.7970021,1419.867219,0,0,1.4448555,0,0.314211,0,0.200062927,2.7590665,0.392751737,0.200062927,2,1489.5
