product,year,region,emissivity_type,unit,name,scenario,scope,emission_factor_n2o
Ammonium nitrate,2021,North America,0.0,tN2O/tAN,Ammonium nitrate,"BAU,LC",3_downstream,0.0043185083249444
Ammonium nitrate,2021,Rest of Asia,0.0,tN2O/tAN,Ammonium nitrate,"BAU,LC",3_downstream,0.0055840109494088
Ammonium nitrate,2021,Russia,0.0,tN2O/tAN,Ammonium nitrate,"BAU,LC",3_downstream,0.0042953930380067
Ammonium nitrate,2021,Europe,0.0,tN2O/tAN,Ammonium nitrate,"BAU,LC",3_downstream,0.0042755681470621
Ammonium nitrate,2021,India,0.0,tN2O/tAN,Ammonium nitrate,"BAU,LC",3_downstream,0.0052238587639143
Ammonium nitrate,2021,Middle East,0.0,tN2O/tAN,Ammonium nitrate,"BAU,LC",3_downstream,0.004467208759527
Ammonium nitrate,2021,Africa,0.0,tN2O/tAN,Ammonium nitrate,"BAU,LC",3_downstream,0.004262351553099
Ammonium nitrate,2021,Latin America,0.0,tN2O/tAN,Ammonium nitrate,"BAU,LC",3_downstream,0.0044174963047992
Ammonium nitrate,2021,Oceania,0.0,tN2O/tAN,Ammonium nitrate,"BAU,LC",3_downstream,0.0042821883382417
Ammonia,2021,China,,tN2O/tNH3,Ammonia,"BAU,LC",3_downstream,0.0112199999999999
Ammonia,2021,North America,,tN2O/tNH3,Ammonia,"BAU,LC",3_downstream,0.0101484382700448
Ammonia,2021,Latin America,,tN2O/tNH3,Ammonia,"BAU,LC",3_downstream,0.0103810587323537
Ammonia,2021,Africa,,tN2O/tNH3,Ammonia,"BAU,LC",3_downstream,0.0100164705882352
Ammonia,2021,Middle East,,tN2O/tNH3,Ammonia,"BAU,LC",3_downstream,0.0104978823529411
Ammonia,2021,Rest of Asia,,tN2O/tNH3,Ammonia,"BAU,LC",3_downstream,0.0131223529411764
Ammonia,2021,India,,tN2O/tNH3,Ammonia,"BAU,LC",3_downstream,0.0122759999999999
Ammonia,2021,Oceania,,tN2O/tNH3,Ammonia,"BAU,LC",3_downstream,0.0100630867747397
Ammonia,2021,Russia,,tN2O/tNH3,Ammonia,"BAU,LC",3_downstream,0.0100941176470588
