product,technology,year,region,co2_scope1_pre_process_input_pre_ccs,scope1_pre_ccs,external_co2_input,co2_scope1,co2_scope1_captured,n2o_scope1,co2_scope2,n2o_scope2,ch4_scope2,co2_scope3_upstream,n2o_scope3_upstream,ch4_scope3_upstream,co2_scope3_downstream,n2o_scope3_downstream,ch4_scope3_downstream,ch4_scope1
Ammonia,Biomass Digestion + ammonia synthesis,2023,Australia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Brazil,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,China,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Europe,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,India,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Latin America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Middle East,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Namibia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,North America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Oceania,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Rest of Asia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Russia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Saudi Arabia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Africa,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Australia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Brazil,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,China,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Europe,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,India,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Latin America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Middle East,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Namibia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
