product,scenario,region,year,value
Ammonium nitrate,NZ,Europe,2023,4.66745061
Ammonium nitrate,NZ,China,2023,12.01917706
Ammonium nitrate,NZ,India,2023,5.006846731
Ammonium nitrate,NZ,Rest of Asia,2023,8.910934095
Ammonium nitrate,NZ,Oceania,2023,0.621948114
Urea,NZ,Global,2023,189.0219791
Urea,NZ,North America,2023,18.35115727
Urea,NZ,Latin America,2023,11.21029683
Urea,NZ,Africa,2023,10.36708099
Urea,NZ,Middle East,2023,21.86694961
Urea,NZ,Russia,2023,13.58972104
Urea,NZ,Europe,2023,16.98545987
Urea,NZ,China,2023,43.73934865
Urea,NZ,India,2023,18.2205665
Urea,NZ,Rest of Asia,2023,32.42804822
Urea,NZ,Oceania,2023,2.263350084
Ammonia,NZ,Global,2024,71.30071008
Ammonia,NZ,North America,2024,6.488671628
Ammonia,NZ,Latin America,2024,4.087248771
Ammonia,NZ,Africa,2024,3.773191893
Ammonia,NZ,Middle East,2024,7.941103636
Ammonia,NZ,Russia,2024,4.753307976
Ammonia,NZ,Europe,2024,6.335004179
Ammonia,NZ,China,2024,15.78794717
Ammonia,NZ,India,2024,6.464820731
Ammonia,NZ,Rest of Asia,2024,14.88401314
Ammonia,NZ,Oceania,2024,0.78540096
Ammonium nitrate,NZ,Global,2024,52.81315679
Ammonium nitrate,NZ,North America,2024,5.093302448
Ammonium nitrate,NZ,Latin America,2024,3.208298303
Ammonium nitrate,NZ,Africa,2024,2.961778405
Ammonium nitrate,NZ,Middle East,2024,6.233393352
Ammonium nitrate,NZ,Russia,2024,3.731123493
Ammonium nitrate,NZ,Europe,2024,4.698911453
Ammonium nitrate,NZ,China,2024,12.39279695
Ammonium nitrate,NZ,India,2024,5.074580614
Ammonium nitrate,NZ,Rest of Asia,2024,8.802468905
Ammonium nitrate,NZ,Oceania,2024,0.616502862
Urea,NZ,Global,2024,192.193947
Urea,NZ,North America,2024,18.5351901
Urea,NZ,Latin America,2024,11.67541483
Urea,NZ,Africa,2024,10.77829686
Urea,NZ,Middle East,2024,22.68412919
Urea,NZ,Russia,2024,13.5780437
Urea,NZ,Europe,2024,17.09994997
Urea,NZ,China,2024,45.09900004
Urea,NZ,India,2024,18.46705891
Urea,NZ,Rest of Asia,2024,32.03332929
Urea,NZ,Oceania,2024,2.243534104
Ammonia,NZ,Global,2025,80.84963819
Ammonia,NZ,North America,2025,7.334070654
Ammonia,NZ,Latin America,2025,4.516180196
Ammonia,NZ,Africa,2025,4.194953895
Ammonia,NZ,Middle East,2025,8.759796945
Ammonia,NZ,Russia,2025,4.814675972
Ammonia,NZ,Europe,2025,7.837778924
Ammonia,NZ,China,2025,16.83579417
Ammonia,NZ,India,2025,6.549026615
Ammonia,NZ,Rest of Asia,2025,19.22960008
Ammonia,NZ,Oceania,2025,0.777760743
Ammonium nitrate,NZ,Global,2025,53.66138892
Ammonium nitrate,NZ,North America,2025,5.141920597
Ammonium nitrate,NZ,Latin America,2025,3.334010655
Ammonium nitrate,NZ,Africa,2025,3.072885281
Ammonium nitrate,NZ,Middle East,2025,6.454071806
Ammonium nitrate,NZ,Russia,2025,3.725427593
Ammonium nitrate,NZ,Europe,2025,4.728710635
Ammonium nitrate,NZ,China,2025,12.76641684
Ammonium nitrate,NZ,India,2025,5.140678278
Ammonium nitrate,NZ,Rest of Asia,2025,8.686761579
Ammonium nitrate,NZ,Oceania,2025,0.610505651
Urea,NZ,Global,2025,195.280774
Urea,NZ,North America,2025,18.71211786
Urea,NZ,Latin America,2025,12.13289843
Urea,NZ,Africa,2025,11.18262923
Urea,NZ,Middle East,2025,23.48720679
Urea,NZ,Russia,2025,13.55731558
Urea,NZ,Europe,2025,17.20839307
Urea,NZ,China,2025,46.45865142
Urea,NZ,India,2025,18.7075969
Urea,NZ,Rest of Asia,2025,31.61225528
Urea,NZ,Oceania,2025,2.221709472
Ammonia,NZ,Global,2026,85.85237584
Ammonia,NZ,North America,2026,7.670009366
Ammonia,NZ,Latin America,2026,4.768517903
Ammonia,NZ,Africa,2026,4.432986582
Ammonia,NZ,Middle East,2026,9.225737505
Ammonia,NZ,Russia,2026,4.870686834
Ammonia,NZ,Europe,2026,8.523994684
Ammonia,NZ,China,2026,17.51360789
Ammonia,NZ,India,2026,6.617305835
Ammonia,NZ,Rest of Asia,2026,21.4638419
Ammonia,NZ,Oceania,2026,0.765687337
Ammonium nitrate,NZ,Global,2026,54.48614933
Ammonium nitrate,NZ,North America,2026,5.188564809
Ammonium nitrate,NZ,Latin America,2026,3.457620842
Ammonium nitrate,NZ,Africa,2026,3.182098059
Ammonium nitrate,NZ,Middle East,2026,6.67088714
Ammonium nitrate,NZ,Russia,2026,3.750381644
Ammonium nitrate,NZ,Europe,2026,4.75683834
Ammonium nitrate,NZ,China,2026,13.14003673
Ammonium nitrate,NZ,India,2026,5.194274259
Ammonium nitrate,NZ,Rest of Asia,2026,8.54441891
Ammonium nitrate,NZ,Oceania,2026,0.601028594
Urea,NZ,Global,2026,198.2821845
Urea,NZ,North America,2026,18.88186222
Urea,NZ,Latin America,2026,12.58273198
Urea,NZ,Africa,2026,11.58006873
Urea,NZ,Middle East,2026,24.27622599
Urea,NZ,Russia,2026,13.64812662
Urea,NZ,Europe,2026,17.31075344
Urea,NZ,China,2026,47.8183028
Urea,NZ,India,2026,18.90263965
Urea,NZ,Rest of Asia,2026,31.09425179
Urea,NZ,Oceania,2026,2.18722123
Ammonia,NZ,Global,2027,100.0736393
Ammonia,NZ,North America,2027,8.971273676
Ammonia,NZ,Latin America,2027,5.350206621
Ammonia,NZ,Africa,2027,5.014758099
Ammonia,NZ,Middle East,2027,10.3508205
Ammonia,NZ,Russia,2027,5.022648779
Ammonia,NZ,Europe,2027,10.91688369
Ammonia,NZ,China,2027,18.89784878
Ammonia,NZ,India,2027,6.678783001
Ammonia,NZ,Rest of Asia,2027,28.11868173
Ammonia,NZ,Oceania,2027,0.751734415
Ammonium nitrate,NZ,Global,2027,55.28747901
Ammonium nitrate,NZ,North America,2027,5.233262631
Ammonium nitrate,NZ,Latin America,2027,3.579135394
Ammonium nitrate,NZ,Africa,2027,3.289418721
Ammonium nitrate,NZ,Middle East,2027,6.883856909
Ammonium nitrate,NZ,Russia,2027,3.784111331
Ammonium nitrate,NZ,Europe,2027,4.783298293
Ammonium nitrate,NZ,China,2027,13.51365662
Ammonium nitrate,NZ,India,2027,5.242530947
Ammonium nitrate,NZ,Rest of Asia,2027,8.388131952
Ammonium nitrate,NZ,Oceania,2027,0.590076206
Urea,NZ,Global,2027,201.1983274
Urea,NZ,North America,2027,19.04452341
Urea,NZ,Latin America,2027,13.02493924
Urea,NZ,Africa,2027,11.97062258
Urea,NZ,Middle East,2027,25.05125068
Urea,NZ,Russia,2027,13.77087333
Urea,NZ,Europe,2027,17.40704465
Urea,NZ,China,2027,49.17795418
Urea,NZ,India,2027,19.07825201
Urea,NZ,Rest of Asia,2027,30.52550322
Urea,NZ,Oceania,2027,2.147364065
Ammonia,NZ,Global,2028,117.1634465
Ammonia,NZ,North America,2028,10.54658372
Ammonia,NZ,Latin America,2028,6.024079464
Ammonia,NZ,Africa,2028,5.693010444
Ammonia,NZ,Middle East,2028,11.660681
Ammonia,NZ,Russia,2028,5.203272375
Ammonia,NZ,Europe,2028,13.85879326
Ammonia,NZ,China,2028,20.48392601
Ammonia,NZ,India,2028,6.7356875
Ammonia,NZ,Rest of Asia,2028,36.22088125
Ammonia,NZ,Oceania,2028,0.736531509
Ammonium nitrate,NZ,Global,2028,56.06541413
Ammonium nitrate,NZ,North America,2028,5.276021586
Ammonium nitrate,NZ,Latin America,2028,3.698547095
Ammonium nitrate,NZ,Africa,2028,3.3948406
Ammonium nitrate,NZ,Middle East,2028,7.092942214
Ammonium nitrate,NZ,Russia,2028,3.821327221
Ammonium nitrate,NZ,Europe,2028,4.80808824
Ammonium nitrate,NZ,China,2028,13.88727652
Ammonium nitrate,NZ,India,2028,5.287198305
Ammonium nitrate,NZ,Rest of Asia,2028,8.221029716
Ammonium nitrate,NZ,Oceania,2028,0.578142639
Urea,NZ,Global,2028,204.0293345
Urea,NZ,North America,2028,19.20012881
Urea,NZ,Latin America,2028,13.45949395
Urea,NZ,Africa,2028,12.35426651
Urea,NZ,Middle East,2028,25.8121393
Urea,NZ,Russia,2028,13.9063068
Urea,NZ,Europe,2028,17.4972585
Urea,NZ,China,2028,50.53760557
Urea,NZ,India,2028,19.24080234
Urea,NZ,Rest of Asia,2028,29.91739645
Urea,NZ,Oceania,2028,2.103936262
Ammonia,NZ,Global,2029,135.0626003
Ammonia,NZ,North America,2029,12.16547391
Ammonia,NZ,Latin America,2029,6.711072616
Ammonia,NZ,Africa,2029,6.385305922
Ammonia,NZ,Middle East,2029,12.99721245
Ammonia,NZ,Russia,2029,5.389710047
Ammonia,NZ,Europe,2029,16.97800709
Ammonia,NZ,China,2029,22.10364263
Ammonia,NZ,India,2029,6.788889786
Ammonia,NZ,Rest of Asia,2029,44.8229599
Ammonia,NZ,Oceania,2029,0.720325924
Ammonium nitrate,NZ,Global,2029,56.81990974
Ammonium nitrate,NZ,North America,2029,5.31681359
Ammonium nitrate,NZ,Latin America,2029,3.815847112
Ammonium nitrate,NZ,Africa,2029,3.498347062
Ammonium nitrate,NZ,Middle East,2029,7.298141948
Ammonium nitrate,NZ,Russia,2029,3.859938248
Ammonium nitrate,NZ,Europe,2029,4.831226348
Ammonium nitrate,NZ,China,2029,14.26089641
Ammonium nitrate,NZ,India,2029,5.328959601
Ammonium nitrate,NZ,Rest of Asia,2029,8.044317406
Ammonium nitrate,NZ,Oceania,2029,0.565422016
Urea,NZ,Global,2029,206.7750421
Urea,NZ,North America,2029,19.34857621
Urea,NZ,Latin America,2029,13.88636397
Urea,NZ,Africa,2029,12.73093999
Urea,NZ,Middle East,2029,26.55888782
Urea,NZ,Russia,2029,14.04681735
Urea,NZ,Europe,2029,17.58146108
Urea,NZ,China,2029,51.89725695
Urea,NZ,India,2029,19.39277713
Urea,NZ,Rest of Asia,2029,29.27431737
Urea,NZ,Oceania,2029,2.057644259
Ammonia,NZ,Global,2030,152.9964624
Ammonia,NZ,North America,2030,13.7358126
Ammonia,NZ,Latin America,2030,7.379530877
Ammonia,NZ,Africa,2030,7.058694079
Ammonia,NZ,Middle East,2030,14.29715731
Ammonia,NZ,Russia,2030,5.572567176
Ammonia,NZ,Europe,2030,20.13787293
Ammonia,NZ,China,2030,23.68971985
Ammonia,NZ,India,2030,6.838817925
Ammonia,NZ,Rest of Asia,2030,53.58304981
Ammonia,NZ,Oceania,2030,0.703239802
Ammonium nitrate,NZ,Global,2030,57.55094238
Ammonium nitrate,NZ,North America,2030,5.355670264
Ammonium nitrate,NZ,Latin America,2030,3.931008619
Ammonium nitrate,NZ,Africa,2030,3.599950781
Ammonium nitrate,NZ,Middle East,2030,7.499443949
Ammonium nitrate,NZ,Russia,2030,3.898907357
Ammonium nitrate,NZ,Europe,2030,4.852701922
Ammonium nitrate,NZ,China,2030,14.6345163
Ammonium nitrate,NZ,India,2030,5.368150845
Ammonium nitrate,NZ,Rest of Asia,2030,7.858582134
Ammonium nitrate,NZ,Oceania,2030,0.552010212
Urea,NZ,Global,2030,209.435365
Urea,NZ,North America,2030,19.48998071
Urea,NZ,Latin America,2030,14.30545167
Urea,NZ,Africa,2030,13.10068914
Urea,NZ,Middle East,2030,27.29145199
Urea,NZ,Russia,2030,14.188631
Urea,NZ,Europe,2030,17.65961349
Urea,NZ,China,2030,53.25690833
Urea,NZ,India,2030,19.53539916
Urea,NZ,Rest of Asia,2030,28.59840255
Urea,NZ,Oceania,2030,2.008836963
Ammonia,NZ,Global,2031,191.0385022
Ammonia,NZ,North America,2031,17.14710062
Ammonia,NZ,Latin America,2031,8.67769468
Ammonia,NZ,Africa,2031,8.388973622
Ammonia,NZ,Middle East,2031,16.85692614
Ammonia,NZ,Russia,2031,5.910640815
Ammonia,NZ,Europe,2031,26.56821026
Ammonia,NZ,China,2031,25.93120543
Ammonia,NZ,India,2031,7.17483381
Ammonia,NZ,Rest of Asia,2031,73.65179467
Ammonia,NZ,Oceania,2031,0.731122197
Ammonium nitrate,NZ,Global,2031,58.25860895
Ammonium nitrate,NZ,North America,2031,5.392573036
Ammonium nitrate,NZ,Latin America,2031,4.044039
Ammonium nitrate,NZ,Africa,2031,3.699638713
Ammonium nitrate,NZ,Middle East,2031,7.696807783
Ammonium nitrate,NZ,Russia,2031,3.932968503
Ammonium nitrate,NZ,Europe,2031,4.872545556
Ammonium nitrate,NZ,China,2031,14.46638735
Ammonium nitrate,NZ,India,2031,5.631907532
Ammonium nitrate,NZ,Rest of Asia,2031,7.947844891
Ammonium nitrate,NZ,Oceania,2031,0.573896583
Urea,NZ,Global,2031,212.0106557
Urea,NZ,North America,2031,19.62427469
Urea,NZ,Latin America,2031,14.71678393
Urea,NZ,Africa,2031,13.46346649
Urea,NZ,Middle East,2031,28.00968465
Urea,NZ,Russia,2031,14.31258394
Urea,NZ,Europe,2031,17.73182705
Urea,NZ,China,2031,52.64506521
Urea,NZ,India,2031,20.49524405
Urea,NZ,Rest of Asia,2031,28.92324134
Urea,NZ,Oceania,2031,2.088484312
Ammonia,NZ,Global,2032,224.4981511
Ammonia,NZ,North America,2032,20.00293041
Ammonia,NZ,Latin America,2032,9.783378794
Ammonia,NZ,Africa,2032,9.51893117
Ammonia,NZ,Middle East,2032,19.03218762
Ammonia,NZ,Russia,2032,6.198411649
Ammonia,NZ,Europe,2032,32.20002539
Ammonia,NZ,China,2032,27.76901834
Ammonia,NZ,India,2032,7.510849695
Ammonia,NZ,Rest of Asia,2032,91.7241308
Ammonia,NZ,Oceania,2032,0.758287225
Ammonium nitrate,NZ,Global,2032,58.94279078
Ammonium nitrate,NZ,North America,2032,5.427570991
Ammonium nitrate,NZ,Latin America,2032,4.154907987
Ammonium nitrate,NZ,Africa,2032,3.797346691
Ammonium nitrate,NZ,Middle East,2032,7.890203657
Ammonium nitrate,NZ,Russia,2032,3.965568
Ammonium nitrate,NZ,Europe,2032,4.890750556
Ammonium nitrate,NZ,China,2032,14.2982584
Ammonium nitrate,NZ,India,2032,5.895664218
Ammonium nitrate,NZ,Rest of Asia,2032,8.027300433
Ammonium nitrate,NZ,Oceania,2032,0.595219854
Urea,NZ,Global,2032,214.5004824
Urea,NZ,North America,2032,19.7516368
Urea,NZ,Latin America,2032,15.12025059
Urea,NZ,Africa,2032,13.81903853
Urea,NZ,Middle East,2032,28.71347739
Urea,NZ,Russia,2032,14.43121775
