product,scenario,region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonia,NZ,Global,62.76627512,64.51101085,67.0711943,69.14717505,71.30071008,80.84963819,85.85237584,100.0736393,117.1634465,135.0626003,152.9964624,191.0385022,224.4981511,263.6174579,303.1415581,342.4490722,384.2961475,431.0106103,472.121721,519.9323097,571.8372705,623.1536064,673.947259,681.477144,683.5095179,685.6845766,687.2074191,703.1149169,718.4568952,736.6877943,750.1209681
Ammonia,NZ,North America,6.180138522,6.287942022,6.357310255,6.424246685,6.488671628,7.334070654,7.670009366,8.971273676,10.54658372,12.16547391,13.7358126,17.14710062,20.00293041,23.40931133,26.81329121,30.16870184,33.79827761,37.97845493,41.60320672,46.00904769,50.91947359,55.82758396,60.73330912,61.02815016,60.76761173,60.55090089,60.28580996,61.5853601,62.83656493,64.40813466,65.47053609
Ammonia,NZ,Latin America,3.529098848,3.590654714,3.758895293,3.924423466,4.087248771,4.516180196,4.768517903,5.350206621,6.024079464,6.711072616,7.379530877,8.67769468,9.783378794,11.07601914,12.36585581,13.63705114,15.00028071,16.55032168,17.90772335,19.53100123,21.32520823,23.11640113,24.90460532,25.1086832,25.11993711,25.14386637,25.14889375,25.68827582,26.2086739,26.83650464,27.28715881
Ammonia,NZ,Africa,3.276861053,3.334012471,3.482854391,3.629236276,3.773191893,4.194953895,4.432986582,5.014758099,5.693010444,6.385305922,7.058694079,8.388973622,9.51893117,10.84424175,12.16699473,13.47073785,14.8708166,16.46610629,17.86097879,19.53343066,21.38452543,23.23294667,25.07867509,25.27329151,25.26739179,25.27513689,25.26361557,25.80968924,26.33642034,26.97562257,27.43064814
Ammonia,NZ,Middle East,6.946810399,7.067945329,7.363992097,7.655031041,7.941103636,8.759796945,9.225737505,10.3508205,11.660681,12.99721245,14.29715731,16.85692614,19.03218762,21.58181016,24.12631622,26.63403446,29.32626403,32.39268095,35.07435353,38.28823276,41.84453718,45.3953841,48.94072813,49.31846011,49.31114215,49.32977895,49.31112746,50.36187643,51.37521397,52.60407463,53.47922804
Ammonia,NZ,Russia,4.673955684,4.755469543,4.758192403,4.7573959,4.753307976,4.814675972,4.870686834,5.022648779,5.203272375,5.389710047,5.572567176,5.910640815,6.198411649,6.532756505,6.865237765,7.191843719,7.540801783,7.936357329,8.281669075,8.693747527,9.148415245,9.601266194,10.05231853,10.09787144,10.0931991,10.09077054,10.08252878,10.20974117,10.33115595,10.47905412,10.58078155
Ammonia,NZ,Europe,5.759207806,5.859656168,6.085864664,6.198286782,6.335004179,7.837778924,8.523994684,10.91688369,13.85879326,16.97800709,20.13787293,26.56821026,32.20002539,38.90570341,45.716201,52.50564536,59.76336958,67.90026278,74.98776245,83.27039521,92.2691345,101.1285942,109.8649906,110.6604934,110.4326993,110.2185994,109.8765282,112.1618535,114.3405707,117.0467932,118.8749531
Ammonia,NZ,China,14.36001501,14.36001501,14.36001501,14.36001501,14.36001501,14.93188462,15.13372096,16.04198446,17.1520843,18.29582353,19.40592337,21.86159877,23.91360151,26.36927691,28.82495231,31.24698833,33.87086068,36.89840569,39.52227804,42.71802001,46.28379525,49.84957049,53.41534574,53.61718207,53.41534574,53.24714879,53.04531246,53.98721535,54.89547886,56.03921808,56.81292403
Ammonia,NZ,India,6.093615316,6.199901996,6.29019916,6.378530366,6.464820731,6.549026615,6.617305835,6.678783001,6.7356875,6.788889786,6.838817925,6.887703928,6.934099886,6.978047182,7.019514728,7.058538208,7.095117966,7.129290202,7.161036547,7.190394993,7.217366676,7.241956377,7.264179633,7.284059132,7.301611683,7.316825907,7.329728015,7.340336096,7.348652576,7.354692438,7.35847673
Ammonia,NZ,Rest of Asia,11.17214137,12.2512379,13.78432909,14.96556371,16.21848242,21.00848929,23.68732533,30.78684963,39.33380695,48.38071048,57.585689,77.74152538,95.90343139,116.8968063,138.208079,159.489477,181.9740559,206.6928594,228.6479583,253.6150757,280.354314,306.6625376,332.5895429,337.9798504,340.6865932,343.3933371,345.7420878,354.8458514,363.6571595,373.8150481,381.6965956
Ammonia,NZ,Oceania,0.774431113,0.804175698,0.829541946,0.854445815,0.878863843,0.902781086,0.922090847,0.939430841,0.955447525,0.970394438,0.984397098,0.998128027,1.011153286,1.02348522,1.035115391,1.046054286,1.05630261,1.065870967,1.074754194,1.08296391,1.090500484,1.097365626,1.103563966,1.109102521,1.113986081,1.11821172,1.121787092,1.124717785,1.127004473,1.128651793,1.129665957
Ammonium nitrate,NZ,Global,49.26857777,50.1278939,51.04643817,51.94152872,52.81315679,53.66138892,54.48614933,55.28747901,56.06541413,56.81990974,57.55094238,58.25860895,58.94279078,59.60364403,60.24098166,60.85487953,61.44537377,62.01242855,62.5560544,63.07629057,63.5730795,64.04643234,64.4963508,64.92284066,65.32594905,65.7055192,66.06173583,66.39452415,66.70388521,66.98978179,67.25231206
Ammonium nitrate,NZ,North America,4.851118452,4.935739136,4.99018994,5.042731894,5.093302448,5.141920597,5.188564809,5.233262631,5.276021586,5.31681359,5.355670264,5.392573036,5.427570991,5.460621918,5.491788148,5.521005111,5.548376936,5.57384132,5.597426542,5.61914971,5.639019871,5.657072445,5.673252739,5.687637209,5.700178676,5.710947432,5.719915398,5.727092362,5.732495845,5.736143512,5.738046454
