variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
emissions_ch4_scope1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_ch4_scope2,18.179876030433487,17.487637769989323,16.67168658048025,15.808333298814999,14.988090727114,14.26590565509268,11.567834682697494,9.26251506753323,7.664182481371444,6.478707505772714,5.472985363142226,4.396145785730403,3.622278394624981,2.97623187546917,2.3812278416756936,1.8495266752261204,1.3863053624360173,0.9805256834753052,0.6218581629057365,0.3257804296744039,0.1295741007368749,0.11665450596065301,0.1037349111844309,0.0908153164082091,0.0778957216319869,0.06497612685576509,0.05205653207954291,0.0391369373033211,0.02621734252709929,0.0132977477508771,0.0003781529746555202
emissions_ch4_scope3_downstream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emissions_ch4_scope3_upstream,1.171351971775952,1.2019767381621589,1.2108855512212966,1.2077166212241475,1.217815168657429,1.22616558019005,1.0156650490670058,0.9576263071866308,0.8890521708913394,0.8658874258892294,0.8583093395234366,0.8358859272101459,0.8009130405436053,0.7946167826286542,0.7886689611233466,0.7718682378427131,0.7636723024588871,0.7583820493322051,0.7530917962055231,0.7458080683681176,0.7441004248490574,0.7465500033329913,0.7514491603008588,0.7514491603008588,0.7538987387847925,0.7563483172687263,0.75879789575266,0.7612474742365939,0.7636970527205276,0.7661466312044615,0.7685962096883951
emissions_co2_scope1,119.4512832205749,121.17844072510637,121.75415989328353,119.57893814258982,118.74546166057166,118.15380440457864,79.9847595592167,60.811527289964566,49.68830894790337,43.555166808344104,38.28093791209282,31.708278445274846,26.94750429701536,24.027000641338333,21.46214838285051,18.780422281405734,16.469324679053127,14.215959957148888,11.962595235244649,9.756586871455397,8.120216248671262,8.125404509837953,8.135781032171332,8.135781032171332,8.140969293338024,8.146157554504713,8.151345815671403,8.156534076838094,8.161722338004784,8.166910599171475,8.172098860338165
emissions_co2_scope1_captured,0.0,2.171617900731442,2.895490534308589,5.502646327722755,7.313339838779322,9.34180229617725,20.569343765905053,27.98815927326362,31.11933860926114,32.69696511907176,35.036070364498535,36.80960253671724,37.89713568269288,38.55361207084659,38.983630280525844,39.32025978920468,39.734575192724236,40.22148024502425,40.70838529732427,41.17449129740431,41.68729164798457,41.733985998484776,41.827374699485205,41.827374699485205,41.874069049985415,41.92076340048563,41.96745775098584,42.014152101486054,42.060846451986265,42.107540802486476,42.15423515298669
emissions_co2_scope2,18.179876030433487,17.487637769989323,16.67168658048025,15.808333298814999,14.988090727114,14.26590565509268,11.567834682697494,9.26251506753323,7.664182481371444,6.478707505772714,5.472985363142226,4.396145785730403,3.622278394624981,2.97623187546917,2.3812278416756936,1.8495266752261204,1.3863053624360173,0.9805256834753052,0.6218581629057365,0.3257804296744039,0.1295741007368749,0.11665450596065301,0.1037349111844309,0.0908153164082091,0.0778957216319869,0.06497612685576509,0.05205653207954291,0.0391369373033211,0.02621734252709929,0.0132977477508771,0.0003781529746555202
emissions_co2_scope3_downstream,47.118437809092626,47.118437809092626,47.118437809092626,47.118437809092626,47.118437809092626,48.036329454724296,48.648257218478754,49.566148864110424,50.17807662786487,50.79000439161933,51.707896037251,52.31982380100545,52.9317515647599,53.543679328514344,54.15560709226879,54.76753485602325,55.07349873790047,55.685426501654916,56.297354265409375,56.60331814728659,57.215245911041045,57.52120979291826,58.13313755667272,58.43910143854995,58.745065320427166,59.05102920230439,59.35699308418162,59.662956966058836,59.96892084793607,60.274884729813294,60.58084861169052
emissions_co2_scope3_upstream,4.058264965407383,20.453006577442057,20.807440705193233,21.0464643313005,21.164565203784147,21.6993839978194,17.627259514612643,16.413132434841902,15.334919267389566,15.116790540594318,15.32844931870504,15.359994078731745,15.340752451007141,15.376029803647432,15.415758521396368,15.491395908821332,15.555574023190175,15.733427098303835,15.911280173417495,16.008735828570185,16.203647138875564,16.301102794028253,16.49601410433363,16.49601410433363,16.59346975948632,16.69092541463901,16.788381069791697,16.885836724944387,16.98329238009708,17.08074803524977,17.178203690402455
emissions_n2o_scope1,0.0,0.007584466097818957,0.01011262146375861,0.025281553659396525,0.03539417512315513,0.0480349519528534,0.10365437000352574,0.12893592366292228,0.13146407902886192,0.13146407902886192,0.1339922343948016,0.1339922343948016,0.1339922343948016,0.1339922343948016,0.1339922343948016,0.1339922343948016,0.1339922343948016,0.13652038976074124,0.13652038976074124,0.13652038976074124,0.13904854512668088,0.13904854512668088,0.13904854512668088,0.14157670049262053,0.14157670049262053,0.14157670049262053,0.14157670049262053,0.14157670049262053,0.1441048558585602,0.1441048558585602,0.1441048558585602
emissions_n2o_scope2,18.179876030433487,17.487637769989323,16.67168658048025,15.808333298814999,14.988090727114,14.26590565509268,11.567834682697494,9.26251506753323,7.664182481371444,6.478707505772714,5.472985363142226,4.396145785730403,3.622278394624981,2.97623187546917,2.3812278416756936,1.8495266752261204,1.3863053624360173,0.9805256834753052,0.6218581629057365,0.3257804296744039,0.1295741007368749,0.11665450596065301,0.1037349111844309,0.0908153164082091,0.0778957216319869,0.06497612685576509,0.05205653207954291,0.0391369373033211,0.02621734252709929,0.0132977477508771,0.0003781529746555202
emissions_n2o_scope3_downstream,0.5211505716911286,0.529176015650425,0.5315713869132721,0.5315713869132721,0.5339667581761192,0.5435482359571697,0.5483389736359721,0.5580029319220884,0.5627936696008906,0.5675844072796928,0.5772207912793889,0.5820115289581912,0.5892525441184859,0.5940432817972883,0.6019862403490773,0.6067769780278797,0.6091723468672808,0.6164133620275756,0.6212040997063779,0.623599468545779,0.6308404837060738,0.633235852545475,0.6380265902242773,0.6429271427082667,0.6453225115476678,0.6477178803870689,0.6501132492264701,0.6525086180658712,0.6573542643867648,0.659749633226166,0.6621450020655671
emissions_n2o_scope3_upstream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
